"npts","degree","parity","convergence_diff","iteration_time","coefs_json","coefs_recovered_json","constraint_violated_coef","constraint_violated_rec","max_abs_coef","max_abs_rec","diff_coef_vs_gt262144","diff_rec_vs_gt262144","sup_diff_vs_gt262144","sup_diff_rec_vs_gt262144"
"25","25","1","inf","436.5237991809845","[-0.03250683903999145, -0.08432100106865952, 0.019235783889856264, -0.19408844290207178, 0.08408679952092517, -0.33356012119296724, 0.062400427663147774, -0.3697089685227878, -0.16569949455894498, -0.18405491741886354, -0.6170984812475964, 0.316259579696866, 0.4998159831079331]","[0.0, -0.045917729519024675, 0.0, -0.13173327015769393, 0.0, 0.027051167397474134, 0.0, -0.2218903607857609, 0.0, 0.0735704272533191, 0.0, -0.30037154455253257, 0.0, 0.056262770196092396, 0.0, -0.3208526519659632, 0.0, -0.11511608819663532, 0.0, -0.18026875456286945, 0.0, -0.6024989669978394, 0.0, 0.29180342214906374, 0.0, 0.4720787566031257]","True","False","0.17576682787485431","-5.0039447150318495e-05","0.6608750378422839","0.639396169081797","1.9992396913739137","1.9978828224400034"
"32","25","1","0.523685946637606","303.80691027641296","[-0.03511286601306479, -0.1406967418265605, 0.010067254032921214, -0.17682815782545297, 0.14617922987586868, -0.24868338659932976, 0.12161030359279583, -0.20554415151979136, 0.042730736618396825, -0.01969391911926149, -0.35260025039686743, 0.5946063493576418, 0.6059791214194261]","[0.0, -0.03133143864723213, 0.0, -0.1102588970063027, 0.0, 0.049029717738431615, 0.0, -0.18828125741292198, 0.0, 0.11319741299820538, 0.0, -0.23825179069715172, 0.0, 0.1343984883756803, 0.0, -0.21378148683629433, 0.0, 0.027757107333495193, 0.0, -0.0033764329900112457, 0.0, -0.3376084445673189, 0.0, 0.5603605476380786, 0.0, 0.5723611180719326]","True","False","0.17459315619822346","-3.8099161459026476e-05","0.20911551188754113","0.18910880360602256","0.657986477704037","0.6657853553021686"
"64","25","1","0.2052147018177023","299.7776508331299","[0.020344819947290357, -0.05941529286867641, 0.09809144893290012, -0.1330235162064773, 0.16937122894876014, -0.1869262607814563, 0.17939080606435948, -0.16811947182111867, 0.08859462424746133, 0.04415425190989349, -0.2743195408712133, 0.6291014300970751, 0.592755290195993]","[0.0, 0.019844242960100986, 0.0, -0.05932937613900652, 0.0, 0.09789836912800909, 0.0, -0.13414821935076787, 0.0, 0.1649795432953067, 0.0, -0.18556175932444718, 0.0, 0.1880997724269079, 0.0, -0.16116016264567484, 0.0, 0.08956224073417607, 0.0, 0.047146500292625244, 0.0, -0.2740167138947599, 0.0, 0.6209525404489248, 0.0, 0.5856933466840779]","True","False","0.028899558429674954","-1.9903274259824855e-06","0.016873809436473004","0.0023428963625959495","0.030430516059950063","0.0045407011698065936"
"128","25","1","0.0158429463593831","298.57065510749817","[0.017723444697217774, -0.06076451976288473, 0.09834151216788681, -0.13519111870648046, 0.16403203370453928, -0.18483070425095804, 0.18833904169944352, -0.16181086161513958, 0.09004492874108978, 0.04812147177504195, -0.2747900195706156, 0.6219192961456509, 0.5888653757898428]","[0.0, 0.01991318205517765, 0.0, -0.05951312265420945, 0.0, 0.0982062616185299, 0.0, -0.13444615364871348, 0.0, 0.16529409134393097, 0.0, -0.1857270241882741, 0.0, 0.18798260076885726, 0.0, -0.1608301291769857, 0.0, 0.0888985866088029, 0.0, 0.0478254240009677, 0.0, -0.27424623794889225, 0.0, 0.6197301990612512, 0.0, 0.5869085092964748]","True","False","0.008226455807965882","-2.7745384989508182e-08","0.0045872079567692995","0.0002639610292504428","0.008234424690726772","0.0004320048485909958"
"256","25","1","0.0043005663858246","298.8374650478363","[0.01987539729314619, -0.05957660189293913, 0.09855351219311806, -0.1348664979918231, 0.1653547540419041, -0.18550066687811514, 0.18808775120463372, -0.16130440233590668, 0.08869868968568405, 0.04837872899615297, -0.2750516802973322, 0.6192170806638525, 0.5881336400903694]","[0.0, 0.01995807549995952, 0.0, -0.05965233596727728, 0.0, 0.09840788326669976, 0.0, -0.13468028619054856, 0.0, 0.16550453475429583, 0.0, -0.18585619883805932, 0.0, 0.18796602436440588, 0.0, -0.16062217446075888, 0.0, 0.08851395058558047, 0.0, 0.04826364832426559, 0.0, -0.2743820270616898, 0.0, 0.6188747744554473, 0.0, 0.5877033730314261]","True","False","0.0021626238598075886","-1.704727448093024e-08","0.001648913383129809","0.0011471633397224876","0.003240904684897128","0.002245551826117697"
"512","25","1","0.0014330454505513","298.5882480144501","[0.019963814609001516, -0.059595888096714365, 0.09824341650947332, -0.13452042469802533, 0.16539512291659383, -0.18572264178676728, 0.18796270062564624, -0.16097180549656054, 0.08883962740362908, 0.047854306752472146, -0.27439221047386114, 0.6196616844515576, 0.5872822367140715]","[0.0, 0.01992446637997447, 0.0, -0.059556670344542255, 0.0, 0.09826687266264636, 0.0, -0.134521454202329, 0.0, 0.16536605766115875, 0.0, -0.18578397233454383, 0.0, 0.18800698882855443, 0.0, -0.1608070778339955, 0.0, 0.08883013161264221, 0.0, 0.04791805955246824, 0.0, -0.27426484558591013, 0.0, 0.6194975563446898, 0.0, 0.587123784243947]","True","False","0.0004713712495674205","-4.162583611133641e-10","0.00033426236575848155","0.0001117430360276111","0.000487300800754098","0.000221268927797013"
"1024","25","1","0.000306609594829","300.5074441432953","[0.01993646139273982, -0.05954719296304347, 0.0982374346778987, -0.13452497135221622, 0.16533984880574526, -0.18577871280091424, 0.18801273124172915, -0.16085075746439903, 0.08884125278122847, 0.04786950266551328, -0.27423006515599796, 0.6196070761085107, 0.5870873727427205]","[0.0, 0.019920679531340153, 0.0, -0.059545925825184906, 0.0, 0.0982510482785764, 0.0, -0.13450372043552533, 0.0, 0.16535085836545566, 0.0, -0.18577651879089735, 0.0, 0.18801256407541683, 0.0, -0.1608291322704788, 0.0, 0.08886715587433547, 0.0, 0.047877772113837556, 0.0, -0.2742507848562481, 0.0, 0.6195682327744834, 0.0, 0.587057768523372]","True","False","0.0001269465702469219","-6.803586583004062e-10","7.203554088445598e-05","8.741786672894769e-06","0.00014122572880059803","1.712468710735049e-05"
"2048","25","1","7.217377235539474e-05","300.8012797832489","[0.01991286149804438, -0.05954965547684484, 0.09825163422984781, -0.1345121573612637, 0.16535446581242247, -0.18577302942792842, 0.1880093703723696, -0.1608349354439341, 0.08887586749207511, 0.04788213678635563, -0.2742543668334879, 0.6195682887725998, 0.5870694900356275]","[0.0, 0.01992105791588092, 0.0, -0.059547033712029795, 0.0, 0.09825281277779851, 0.0, -0.13450595558680442, 0.0, 0.1653533161873918, 0.0, -0.18577883968557954, 0.0, 0.18801429514149848, 0.0, -0.16082987381586525, 0.0, 0.08886676096311509, 0.0, 0.04787878011817791, 0.0, -0.27425052105628467, 0.0, 0.6195623783883409, 0.0, 0.5870628135306768]","True","False","4.0342818230731936e-05","-8.596501288593572e-11","1.963527781386234e-05","7.9707853961372e-07","4.0712275128140796e-05","1.5981280486326854e-06"
"4096","25","1","1.8499082606980698e-05","307.58303809165955","[0.019919484379352707, -0.05954666885066946, 0.09825188492445261, -0.13450437632058296, 0.16535460946805813, -0.18577929454080355, 0.18801497713548365, -0.16083168693239344, 0.08886666895288346, 0.04787852227459027, -0.2742523610364109, 0.6195637502167402, 0.5870644635361687]","[0.0, 0.01992105171060533, 0.0, -0.059547011499498315, 0.0, 0.09825277676813539, 0.0, -0.13450593835085684, 0.0, 0.1653532961350402, 0.0, -0.18577887415306887, 0.0, 0.1880144202244433, 0.0, -0.16083005348533227, 0.0, 0.08886700437039333, 0.0, 0.047878535308252396, 0.0, -0.27425040723349525, 0.0, 0.6195626338549993, 0.0, 0.5870625607695259]","True","False","7.4539812620066925e-06","-2.2020163470415355e-11","4.407807552845531e-06","2.554957944535133e-07","7.649181781754777e-06","5.103506897502497e-07"
"8192","25","1","3.832548823143861e-06","316.426481962204","[0.019921049408302194, -0.05954705770107361, 0.09825218291888875, -0.13450588620927467, 0.16535332450017468, -0.1857789094246027, 0.18801497410656134, -0.16083000922818033, 0.08886681657664759, 0.047877992274567925, -0.2742507934482532, 0.6195633112103651, 0.5870629964178683]","[0.0, 0.0199210290519506, 0.0, -0.059546956926495115, 0.0, 0.09825274545324963, 0.0, -0.13450588204259334, 0.0, 0.16535326182743576, 0.0, -0.18577885247256543, 0.0, 0.1880144320988803, 0.0, -0.16083012409001063, 0.0, 0.08886708461629043, 0.0, 0.047878431830734515, 0.0, -0.2742503750116605, 0.0, 0.6195628139673861, 0.0, 0.5870623841065933]","True","False","2.5829142957789486e-06","-5.707634365137437e-11","1.2867448808637943e-06","6.810681243599387e-08","2.6118645798378637e-06","1.1599661431382913e-07"
"16384","25","1","1.1744663719528077e-06","341.8137118816376","[0.01992089563771318, -0.05954714791643073, 0.0982527215301612, -0.13450589466223517, 0.1653532796507487, -0.18577902000449317, 0.18801442365995627, -0.16082990623921775, 0.0888671072833489, 0.047878450742132435, -0.27425044229656986, 0.6195628561701504, 0.5870626731471945]","[0.0, 0.01992104661881714, 0.0, -0.059547005466198816, 0.0, 0.09825276021383224, 0.0, -0.1345059220123228, 0.0, 0.16535329889164063, 0.0, -0.18577887791332842, 0.0, 0.18801442225272735, 0.0, -0.1608300872795455, 0.0, 0.0888670240366009, 0.0, 0.047878500428649745, 0.0, -0.2742504037971598, 0.0, 0.6195626749968746, 0.0, 0.5870625217280885]","True","False","6.7138825854407e-07","-4.688109900286008e-10","4.205511098404934e-07","1.8060692944809706e-07","6.801512983933833e-07","3.396014915113543e-07"
"32768","25","1","4.094775618206171e-07","344.027370929718","[0.019921034658055402, -0.059546982950579086, 0.09825272670649698, -0.1345059007822295, 0.16535330270274018, -0.18577884070286443, 0.18801442049074168, -0.1608301084875024, 0.08886706161685116, 0.047878414074180434, -0.27425041452596194, 0.6195628184118273, 0.5870624685854904]","[0.0, 0.019921016908127667, 0.0, -0.05954701518010573, 0.0, 0.09825272460980297, 0.0, -0.13450591854037214, 0.0, 0.16535325002750506, 0.0, -0.1857788834412014, 0.0, 0.18801437506153088, 0.0, -0.16083011249191642, 0.0, 0.08886703494682907, 0.0, 0.04787842881529855, 0.0, -0.27425042056565563, 0.0, 0.6195627449899781, 0.0, 0.5870624299515499]","True","False","1.3434785062216292e-07","-1.6659462698243033e-10","7.713697228117919e-08","1.092671234182728e-07","1.3974852930420667e-07","3.442093891026232e-07"
"65536","25","1","7.855964141113525e-08","318.4802508354187","[0.01992103942933123, -0.059546986995333194, 0.09825274198093596, -0.13450588385407303, 0.16535326446770318, -0.18577886387985856, 0.1880144241034, -0.16083010716289065, 0.08886708030633002, 0.0478784483096068, -0.274250391064106, 0.6195628002124438, 0.5870624340067846]","[0.0, 0.019921013189188777, 0.0, -0.059547007200937314, 0.0, 0.09825271433593685, 0.0, -0.13450591185210076, 0.0, 0.16535324283134908, 0.0, -0.18577889199768538, 0.0, 0.18801438754814315, 0.0, -0.16083013417732644, 0.0, 0.08886703154710184, 0.0, 0.047878424705280864, 0.0, -0.274250430999909, 0.0, 0.6195627434681721, 0.0, 0.587062413510028]","True","False","2.924264452808245e-08","-2.6809476860734094e-10","1.4684650019175393e-08","1.1840369970729264e-07","2.8766710680194763e-08","4.043935177833191e-07"
