degree,fig7_fit_seconds,exact_bound_sdp_seconds,sdp_timing_source
31,222.42459106445312,0.5894015836529434,saved sweep
45,272.6077239513397,0.7848724997602403,saved sweep
63,338.0321066379547,2.6477722912095487,saved sweep
91,494.19596886634827,20.99095133319497,exact-degree supplemental benchmark
127,684.5193901062012,51.38264437485486,saved sweep
181,1064.6719138622284,234.65638487506655,saved sweep
