degree,exp2,parity,npts,N_weiss,time_fit,time_qsp,max_error_poly,max_error_qsp,max_error_poly_uniform_1000,max_error_qsp_uniform_1000,constraint_violated,constraint_max_abs,constraint_margin,qsp_constraint_max_abs,qsp_reconstruction_residual,coef,coef_full,phi_proc,a,epsilon,source_N_weiss,retraction_reused_fit
31,5.0,1,524288,65536,222.42459106445312,88.88983737491071,0.0139672634649302,0.01399914450104034,0.0139672634649281,,True,1.000034050421647,-3.405042164694727e-05,0.999999998690409,5.329070518200751e-15,"[0.017612810860244694, -0.05521357835349053, 0.10058696310509117, -0.14268718363303615, 0.16117397069723588, -0.16394638485527532, 0.16855877522592422, -0.15613780544709835, 0.09968292668874609, 0.0206059167282883, -0.19159742694472198, 0.30160520364241683, -0.18722034273580815, -0.16332920765903763, 0.4308637352291672, 0.2109078480964556]","[0.0, 0.017612810860244694, 0.0, -0.05521357835349053, 0.0, 0.10058696310509117, 0.0, -0.14268718363303615, 0.0, 0.16117397069723588, 0.0, -0.16394638485527532, 0.0, 0.16855877522592422, 0.0, -0.15613780544709835, 0.0, 0.09968292668874609, 0.0, 0.0206059167282883, 0.0, -0.19159742694472198, 0.0, 0.30160520364241683, 0.0, -0.18722034273580815, 0.0, -0.16332920765903763, 0.0, 0.4308637352291672, 0.0, 0.2109078480964556]","[0.14149974712838936, 0.23638779697635207, -0.18464965919320991, -0.04346229067651353, 0.21267283092857087, -0.2112878369237371, 0.09243355896259921, 0.033789316546774154, -0.10904320254214821, 0.13002162172607712, -0.12664953920643343, 0.1264455596599781, -0.11987544233895185, 0.09384205261517727, -0.056928118613023417, 0.019009306134868943, 0.019003533587761072, -0.056925852776171744, 0.09384283056069351, -0.11987529271590407, 0.12644180836067578, -0.12664439700215757, 0.1300200646232078, -0.10904758950837654, 0.03379681456354159, 0.09242795954129535, -0.21128609830095904, 0.21267230515987473, -0.043460264786347035, -0.18465114566968277, 0.2363852050267077, 0.14150058971629018]",0.2,0.0,16384,True
45,5.5,1,524288,65536,272.6077239513397,88.1406515003182,0.0091945235168182,0.009495478523167789,0.0091945235168207,,True,1.0003170064430953,-0.0003170064430952,0.999999993529844,9.769962616701378e-15,"[0.02000214596979663, -0.0599913263021881, 0.09627656325072516, -0.12341103887594503, 0.14040981726247528, -0.14687400973658177, 0.1387189027390425, -0.11194558548423454, 0.07573669927888473, -0.03043660656469334, -0.027899204262003426, 0.07751247869248178, -0.10772713799301264, 0.12665884498143964, -0.10836462892568106, 0.03628333475986572, 0.053375612145965826, -0.14088147513641228, 0.24067342076374107, -0.2173488962637306, -0.16692408426374053, 0.6212082815001011, 0.3808831977796409]","[0.0, 0.02000214596979663, 0.0, -0.0599913263021881, 0.0, 0.09627656325072516, 0.0, -0.12341103887594503, 0.0, 0.14040981726247528, 0.0, -0.14687400973658177, 0.0, 0.1387189027390425, 0.0, -0.11194558548423454, 0.0, 0.07573669927888473, 0.0, -0.03043660656469334, 0.0, -0.027899204262003426, 0.0, 0.07751247869248178, 0.0, -0.10772713799301264, 0.0, 0.12665884498143964, 0.0, -0.10836462892568106, 0.0, 0.03628333475986572, 0.0, 0.053375612145965826, 0.0, -0.14088147513641228, 0.0, 0.24067342076374107, 0.0, -0.2173488962637306, 0.0, -0.16692408426374053, 0.0, 0.6212082815001011, 0.0, 0.3808831977796409]","[0.2997333926000594, 0.38279310080629714, -0.2639028177392019, -0.10756233053127041, 0.21147220888822116, -0.13070060640393136, 0.07698592717480326, -0.02631713526427497, -0.05561708832231371, 0.09788532755616289, -0.0898757964312044, 0.08112525215270834, -0.058860105791325196, 0.010675765467653751, 0.03179845933278244, -0.06325147441325266, 0.09447021980086127, -0.11384924809245664, 0.11437111595502938, -0.10342903518936543, 0.08387285592313982, -0.0527521812985979, 0.01719257840031387, 0.01715452933344461, -0.05272539375926173, 0.08385088735932177, -0.10341194203841364, 0.11437124505287355, -0.11386236721294488, 0.09448192025455021, -0.0632660308385602, 0.031822264043162254, 0.010654825328093389, -0.05884604059090296, 0.08110554482122503, -0.08985341621371867, 0.09787316751591545, -0.05560883713204572, -0.026325425278502713, 0.07697582638599482, -0.13066991344552467, 0.21144483198284117, -0.10753965431344321, -0.2639290170259597, 0.38278969179388767, 0.2997426015993863]",0.2,0.0,16384,True
63,6.0,1,524288,65536,338.0321066379547,241.89083887496963,0.0054745444115336,0.00554222538134419,0.0054745444115326,,True,1.0000710696396384,-7.106963963843249e-05,0.9999999939202241,8.215650382226158e-15,"[0.020339207733734595, -0.061503412203779244, 0.09756664653155003, -0.12018943351912248, 0.1287269135968852, -0.12737352757172127, 0.1185545967602962, -0.0985677617674275, 0.06881548494852902, -0.0377476297912074, 0.005721484547666372, 0.029606612214540782, -0.06313333519709881, 0.08525270045617053, -0.08808010482505106, 0.07265051741088022, -0.04000969207698594, -0.010500615586541936, 0.0661213025890251, -0.10536695851000381, 0.11316662481015938, -0.08501837841591649, 0.02493588264353425, 0.054150134223355476, -0.12298191082003979, 0.14512878771767, -0.10039916088410811, -0.0007655520212979703, 0.11937865709575934, -0.18601313486810023, 0.10703742959830755, 0.2099086997328315]","[0.0, 0.020339207733734595, 0.0, -0.061503412203779244, 0.0, 0.09756664653155003, 0.0, -0.12018943351912248, 0.0, 0.1287269135968852, 0.0, -0.12737352757172127, 0.0, 0.1185545967602962, 0.0, -0.0985677617674275, 0.0, 0.06881548494852902, 0.0, -0.0377476297912074, 0.0, 0.005721484547666372, 0.0, 0.029606612214540782, 0.0, -0.06313333519709881, 0.0, 0.08525270045617053, 0.0, -0.08808010482505106, 0.0, 0.07265051741088022, 0.0, -0.04000969207698594, 0.0, -0.010500615586541936, 0.0, 0.0661213025890251, 0.0, -0.10536695851000381, 0.0, 0.11316662481015938, 0.0, -0.08501837841591649, 0.0, 0.02493588264353425, 0.0, 0.054150134223355476, 0.0, -0.12298191082003979, 0.0, 0.14512878771767, 0.0, -0.10039916088410811, 0.0, -0.0007655520212979703, 0.0, 0.11937865709575934, 0.0, -0.18601313486810023, 0.0, 0.10703742959830755, 0.0, 0.2099086997328315]","[0.12246238315710649, 0.03269498901128223, -0.1037914753739872, 0.09952425564873817, -0.04497930257051843, -0.02747756165617726, 0.08635871036716888, -0.10744162549251138, 0.08514695766073245, -0.03344025690366178, -0.0264004626267235, 0.07540649788394505, -0.09806090882592229, 0.08737947169170797, -0.04988607598722513, 0.002678302275942793, 0.03859984908343742, -0.06628180883747717, 0.07526724968508568, -0.06466524121225613, 0.04166066931909212, -0.01548160558495247, -0.008396895536881256, 0.03090580531119142, -0.05338308453819166, 0.07283738497260323, -0.08824402845804831, 0.09919120844574195, -0.10069705088918428, 0.08724108668348232, -0.0582461464491647, 0.020125699173452936, 0.020119284469985895, -0.058240054389472586, 0.08723578531288688, -0.10069322603287753, 0.09918960427666153, -0.08824512771952776, 0.07284116972325873, -0.05338901611394072, 0.030912954278095272, -0.008404087707539117, -0.015475566338596952, 0.04165667820389349, -0.06466365566553631, 0.07526785071359751, -0.06628395499061232, 0.038602756181915575, 0.0026752501991220527, -0.0498830954408758, 0.08737642339122474, -0.09805762422084204, 0.07540309142638654, -0.02639743034674121, -0.03344209049302816, 0.08514662554988056, -0.10743849350468802, 0.08635305845851346, -0.027470688900903636, -0.044985481416161724, 0.09952776271615929, -0.10379114403789128, 0.03269150542348332, 0.12246599184533646]",0.2,0.0,16384,True
91,6.5,1,524288,65536,494.19596886634827,167.52435845788568,0.0041853010843724,0.004441571109383702,0.0041853010843723,,True,1.0002752962811992,-0.0002752962811991,0.9999999844910822,1.2212453270876722e-14,"[0.021254012878005792, -0.06112742979608347, 0.09372097443562753, -0.11645945958989508, 0.1277295170810021, -0.12597626654962268, 0.11245311617995732, -0.09079618314414031, 0.06387677730854503, -0.033869574048867125, 0.0038960046260095894, 0.022489064582038764, -0.04317827791213254, 0.057130180066305866, -0.06269156247043509, 0.05778537521692698, -0.0420102567507364, 0.017870877673612225, 0.010968816354885525, -0.04028381461552701, 0.06333804028732268, -0.0726426476852972, 0.06441724608230288, -0.039368492860613225, 0.0019526443319313053, 0.0393052858231924, -0.07297121437298022, 0.08751614726522136, -0.07636193206110305, 0.04159795422531868, 0.007949384826967667, -0.05847686008927, 0.0926755452282498, -0.09624973090577325, 0.06528231800881845, -0.00899489239330891, -0.05289344008296669, 0.09606493947365889, -0.09972031157006069, 0.05707246753217306, 0.015870548950047872, -0.08133689450357177, 0.09551642276952144, -0.03721405984585838, -0.054746102283833885, 0.03614104616562582]","[0.0, 0.021254012878005792, 0.0, -0.06112742979608347, 0.0, 0.09372097443562753, 0.0, -0.11645945958989508, 0.0, 0.1277295170810021, 0.0, -0.12597626654962268, 0.0, 0.11245311617995732, 0.0, -0.09079618314414031, 0.0, 0.06387677730854503, 0.0, -0.033869574048867125, 0.0, 0.0038960046260095894, 0.0, 0.022489064582038764, 0.0, -0.04317827791213254, 0.0, 0.057130180066305866, 0.0, -0.06269156247043509, 0.0, 0.05778537521692698, 0.0, -0.0420102567507364, 0.0, 0.017870877673612225, 0.0, 0.010968816354885525, 0.0, -0.04028381461552701, 0.0, 0.06333804028732268, 0.0, -0.0726426476852972, 0.0, 0.06441724608230288, 0.0, -0.039368492860613225, 0.0, 0.0019526443319313053, 0.0, 0.0393052858231924, 0.0, -0.07297121437298022, 0.0, 0.08751614726522136, 0.0, -0.07636193206110305, 0.0, 0.04159795422531868, 0.0, 0.007949384826967667, 0.0, -0.05847686008927, 0.0, 0.0926755452282498, 0.0, -0.09624973090577325, 0.0, 0.06528231800881845, 0.0, -0.00899489239330891, 0.0, -0.05289344008296669, 0.0, 0.09606493947365889, 0.0, -0.09972031157006069, 0.0, 0.05707246753217306, 0.0, 0.015870548950047872, 0.0, -0.08133689450357177, 0.0, 0.09551642276952144, 0.0, -0.03721405984585838, 0.0, -0.054746102283833885, 0.0, 0.03614104616562582]","[0.020341790276661165, -0.034999062477716156, -0.011504904118453415, 0.052069313926655605, -0.058646293790268436, 0.03120344968494193, 0.013301572607955444, -0.05307348423732414, 0.07138523442286096, -0.06186885041410718, 0.029019745775954533, 0.014884777022991801, -0.054339468239811915, 0.0756696457432359, -0.07199850595150165, 0.04567216457715811, -0.006070151272332766, -0.03468117400228313, 0.0644174201982965, -0.07427509945574548, 0.06251539077126515, -0.034378933828305015, -0.0009693666553756016, 0.03365202360535345, -0.055534272863526225, 0.06175059711106316, -0.05235086223403935, 0.03214864156504286, -0.007481093959117982, -0.01617103269431875, 0.03431074556672306, -0.044217511961462494, 0.04585446498386704, -0.04085473813260832, 0.030756710481146903, -0.01627619816453359, -0.0020191962668909685, 0.02314126953449504, -0.045939965596734515, 0.06869177317652456, -0.08791437485794074, 0.09862507170635604, -0.09703370515536404, 0.08214605460368463, -0.05511217207960315, 0.019413926925914895, 0.019379585164545143, -0.055083004702343334, 0.082126480871031, -0.09702640423924833, 0.09863017432381745, -0.08792954772794132, 0.06871324740812176, -0.04596379857895353, 0.02316420350771291, -0.002038960772113169, -0.01626101644642381, 0.030746986006447735, -0.04085101945981372, 0.045856933839695226, -0.044225784922336996, 0.0343237162009294, -0.016186871243606862, -0.007464782893716622, 0.03213449251607152, -0.05234122129973809, 0.06174692356720098, -0.0555367448818291, 0.033659560298303005, -0.0009800710550508579, -0.03436715778914732, 0.06250434713741171, -0.07426602837197693, 0.06441093738782254, -0.0346774525685678, -0.006071037216213667, 0.04566996640796255, -0.07199285667333175, 0.0756605173683319, -0.054327690985403104, 0.01487220336165386, 0.02903046866253433, -0.06187485652266195, 0.07138446266939844, -0.053065800448296035, 0.013289149409978544, 0.031216835937985535, -0.058656763007240514, 0.05207477642782159, -0.011506272971275823, -0.034998981744739505, 0.0203428070912286]",0.2,0.0,16384,True
127,7.0,1,524288,65536,684.5193901062012,89.74783891625702,0.0030075186697056,0.00331585638495957,0.0030075186697022,,True,1.0003408030246757,-0.0003408030246756,0.9999999927295425,1.5210055437364645e-14,"[0.020091422135501635, -0.057715701384393296, 0.08841934125840094, -0.11054900182513161, 0.12309249576784359, -0.12331008319703664, 0.11108313288103026, -0.09095451149501821, 0.06572141102697968, -0.03570834340984166, 0.0055368777817012965, 0.020322230115263764, -0.0402746311380856, 0.05217603958959202, -0.055902531037406555, 0.05008938138457562, -0.03440709555051591, 0.014779891908990437, 0.005326143910369699, -0.025157455995186866, 0.04006977519808879, -0.045693145528449365, 0.04188285948701752, -0.031011696931253878, 0.015520658905031163, 0.002599493866947104, -0.020174704531236487, 0.033211956518192344, -0.038928506706505044, 0.03803735260798918, -0.03202423143157736, 0.018989022254411805, -0.0009231805322491861, -0.016733961246369514, 0.032578828959992284, -0.044199397864075, 0.047646599450575866, -0.04051657160827504, 0.021829593153758646, 0.004326109065953651, -0.031205869766098113, 0.05431891318554545, -0.06684717504679225, 0.0603540293023046, -0.03476364081959006, -0.0030103021979563803, 0.04375089280348402, -0.075710781617175, 0.08718128409977399, -0.07037589336681169, 0.027082765852063144, 0.02975075263226326, -0.0806458508036483, 0.10668512716445282, -0.0944860699303254, 0.04026658787903281, 0.03906933179891603, -0.10845921246997577, 0.13134907453060013, -0.08271352068883907, -0.03197771366047605, 0.15256462086126776, -0.15340341196035884, -0.15928809191844479]","[0.0, 0.020091422135501635, 0.0, -0.057715701384393296, 0.0, 0.08841934125840094, 0.0, -0.11054900182513161, 0.0, 0.12309249576784359, 0.0, -0.12331008319703664, 0.0, 0.11108313288103026, 0.0, -0.09095451149501821, 0.0, 0.06572141102697968, 0.0, -0.03570834340984166, 0.0, 0.0055368777817012965, 0.0, 0.020322230115263764, 0.0, -0.0402746311380856, 0.0, 0.05217603958959202, 0.0, -0.055902531037406555, 0.0, 0.05008938138457562, 0.0, -0.03440709555051591, 0.0, 0.014779891908990437, 0.0, 0.005326143910369699, 0.0, -0.025157455995186866, 0.0, 0.04006977519808879, 0.0, -0.045693145528449365, 0.0, 0.04188285948701752, 0.0, -0.031011696931253878, 0.0, 0.015520658905031163, 0.0, 0.002599493866947104, 0.0, -0.020174704531236487, 0.0, 0.033211956518192344, 0.0, -0.038928506706505044, 0.0, 0.03803735260798918, 0.0, -0.03202423143157736, 0.0, 0.018989022254411805, 0.0, -0.0009231805322491861, 0.0, -0.016733961246369514, 0.0, 0.032578828959992284, 0.0, -0.044199397864075, 0.0, 0.047646599450575866, 0.0, -0.04051657160827504, 0.0, 0.021829593153758646, 0.0, 0.004326109065953651, 0.0, -0.031205869766098113, 0.0, 0.05431891318554545, 0.0, -0.06684717504679225, 0.0, 0.0603540293023046, 0.0, -0.03476364081959006, 0.0, -0.0030103021979563803, 0.0, 0.04375089280348402, 0.0, -0.075710781617175, 0.0, 0.08718128409977399, 0.0, -0.07037589336681169, 0.0, 0.027082765852063144, 0.0, 0.02975075263226326, 0.0, -0.0806458508036483, 0.0, 0.10668512716445282, 0.0, -0.0944860699303254, 0.0, 0.04026658787903281, 0.0, 0.03906933179891603, 0.0, -0.10845921246997577, 0.0, 0.13134907453060013, 0.0, -0.08271352068883907, 0.0, -0.03197771366047605, 0.0, 0.15256462086126776, 0.0, -0.15340341196035884, 0.0, -0.15928809191844479]","[-0.09142813896541661, -0.06799886996336099, 0.09301352414080548, -0.045540569190958995, -0.02136028421248068, 0.07009813621459489, -0.0829296895135085, 0.05917648342594678, -0.011932813782104352, -0.03753068057474194, 0.07085791636474703, -0.07854577714454042, 0.05930416486932503, -0.02087944949846364, -0.02265706798705972, 0.05662541146324229, -0.07112222721287244, 0.06363812199946575, -0.03838205517287159, 0.0041237992351112526, 0.0288557023264264, -0.05063949044196314, 0.056071173757423584, -0.047156903365213575, 0.02820736877451519, -0.004339597440429142, -0.017467082241204596, 0.03194651052184639, -0.03760939511074167, 0.03511622678330265, -0.02698021448306987, 0.015337215399674269, -0.0016655169017084596, -0.010687916355905247, 0.02020806742297352, -0.027350171588853212, 0.030530646540291136, -0.02816752844317117, 0.020472948396845932, -0.008770244663042699, -0.005244984758166993, 0.0195934099607943, -0.03126495617062912, 0.03683800437396627, -0.03437492250313268, 0.024953017347831348, -0.010897760568631443, -0.006561747858807898, 0.02416284118082323, -0.03695177913477177, 0.0432443678300425, -0.04240384307300834, 0.03375068080052208, -0.018194681781978486, -0.00317610262258435, 0.02739690511065689, -0.050982290150954124, 0.07223323871589507, -0.08781222906419754, 0.09340204185072971, -0.08770430842417876, 0.07191543706942834, -0.04741139654751716, 0.016571942627367012, 0.016533426953530436, -0.04737820280929588, 0.07189249827933354, -0.08769536113693739, 0.09340856077579182, -0.08783279343669055, 0.07226381389798131, -0.05101721915410733, 0.027430121550840274, -0.0032022725323957836, -0.01817931669713974, 0.03374778791928404, -0.04241272194062253, 0.04326212470682082, -0.03697406968686381, 0.024185006172241192, -0.006579963495254785, -0.01088584862660037, 0.024948190619557702, -0.03437653037463897, 0.03684442124736003, -0.03127428226556344, 0.019604019306446913, -0.0052557047850048605, -0.008760240851311045, 0.020464349456483153, -0.02816106231602577, 0.030527141072593782, -0.02735041377107288, 0.020212449697194237, -0.010696058901539726, -0.001654834455211823, 0.015325827434239507, -0.026970244379197, 0.03510956308114, -0.03760710712881578, 0.03194858322570689, -0.017472562582613982, -0.004332136133135558, 0.028199319223317025, -0.04714931500435561, 0.05606459585425828, -0.05063404335839934, 0.028851487565726853, 0.004126287659859549, -0.03838186531093305, 0.06363414711783323, -0.07111382973763888, 0.05661310026670529, -0.02264280838781826, -0.020892439660099273, 0.059312097156072136, -0.07854551294126186, 0.07084843020735171, -0.037513845650883317, -0.011952577203408329, 0.059193375720058956, -0.08293842863711158, 0.07009633716871778, -0.021349900826188047, -0.045553942295980636, 0.09302340231454251, -0.06800272240045079, -0.09142279059722619]",0.2,0.0,16384,True
181,7.5,1,524288,65536,1064.6719138622284,87.54196979198605,0.0021940773987041,0.0024958347260009006,0.0021940773987033,,True,1.0003386978029376,-0.0003386978029376,0.9999998776997152,2.6423307986078726e-14,"[0.019403794866007674, -0.05591718504615446, 0.08634663552779469, -0.10850257067959809, 0.12077142209866412, -0.12111111351266281, 0.1098387108195599, -0.0902890767095766, 0.06486197315587176, -0.035511278471061565, 0.006207131507140867, 0.01873688584966991, -0.037030723669260385, 0.04762594073730573, -0.050129905671615585, 0.044511044158240365, -0.031702667353236104, 0.015549694701711683, 0.0009443519844615965, -0.016685061095311232, 0.028960980621867752, -0.03520388164127687, 0.03500899574437252, -0.029567707246659906, 0.019860583024212293, -0.006804474405991394, -0.00737234400946291, 0.01968058369910651, -0.027690518763886392, 0.0312806587040963, -0.030204568804867677, 0.0230207371320847, -0.011236081765099163, -0.0018936525660404305, 0.014548790332660676, -0.025150468148029417, 0.03160476455231242, -0.032007472724312126, 0.025827531794904574, -0.014780600091882399, 0.0011286760649122376, 0.013732666650708103, -0.027102045280345658, 0.03472511509769898, -0.03507452045414762, 0.028884131790101273, -0.01647150714810821, -0.00047061313990548345, 0.018365112128271948, -0.032678971573366876, 0.03984414305363865, -0.03883674630490465, 0.02969148846405964, -0.012951380404915658, -0.008220728558353214, 0.02769366005503294, -0.0409211775743668, 0.04581710333255612, -0.04021638409598796, 0.024186769148720318, -0.0014321277689776227, -0.02235923871573778, 0.041090586988559115, -0.05050718644339458, 0.04812497521216973, -0.0326770001081091, 0.007498942603679159, 0.01992526317988429, -0.04270464892770786, 0.05539943072514686, -0.05359220106068275, 0.036095212507782075, -0.0072112844010576395, -0.02464368084152733, 0.050076455790731965, -0.06151557386644281, 0.05481346844007291, -0.029638204588906567, -0.007426978268749748, 0.04327001274891768, -0.06522246627077197, 0.06454837802425174, -0.038105312892752714, -0.007282872180063697, 0.05390680152512051, -0.07801045585919551, 0.060269863937839126, 0.0011301552547527656, -0.07662907432051891, 0.09301148829346509, 0.07796508307652618]","[0.0, 0.019403794866007674, 0.0, -0.05591718504615446, 0.0, 0.08634663552779469, 0.0, -0.10850257067959809, 0.0, 0.12077142209866412, 0.0, -0.12111111351266281, 0.0, 0.1098387108195599, 0.0, -0.0902890767095766, 0.0, 0.06486197315587176, 0.0, -0.035511278471061565, 0.0, 0.006207131507140867, 0.0, 0.01873688584966991, 0.0, -0.037030723669260385, 0.0, 0.04762594073730573, 0.0, -0.050129905671615585, 0.0, 0.044511044158240365, 0.0, -0.031702667353236104, 0.0, 0.015549694701711683, 0.0, 0.0009443519844615965, 0.0, -0.016685061095311232, 0.0, 0.028960980621867752, 0.0, -0.03520388164127687, 0.0, 0.03500899574437252, 0.0, -0.029567707246659906, 0.0, 0.019860583024212293, 0.0, -0.006804474405991394, 0.0, -0.00737234400946291, 0.0, 0.01968058369910651, 0.0, -0.027690518763886392, 0.0, 0.0312806587040963, 0.0, -0.030204568804867677, 0.0, 0.0230207371320847, 0.0, -0.011236081765099163, 0.0, -0.0018936525660404305, 0.0, 0.014548790332660676, 0.0, -0.025150468148029417, 0.0, 0.03160476455231242, 0.0, -0.032007472724312126, 0.0, 0.025827531794904574, 0.0, -0.014780600091882399, 0.0, 0.0011286760649122376, 0.0, 0.013732666650708103, 0.0, -0.027102045280345658, 0.0, 0.03472511509769898, 0.0, -0.03507452045414762, 0.0, 0.028884131790101273, 0.0, -0.01647150714810821, 0.0, -0.00047061313990548345, 0.0, 0.018365112128271948, 0.0, -0.032678971573366876, 0.0, 0.03984414305363865, 0.0, -0.03883674630490465, 0.0, 0.02969148846405964, 0.0, -0.012951380404915658, 0.0, -0.008220728558353214, 0.0, 0.02769366005503294, 0.0, -0.0409211775743668, 0.0, 0.04581710333255612, 0.0, -0.04021638409598796, 0.0, 0.024186769148720318, 0.0, -0.0014321277689776227, 0.0, -0.02235923871573778, 0.0, 0.041090586988559115, 0.0, -0.05050718644339458, 0.0, 0.04812497521216973, 0.0, -0.0326770001081091, 0.0, 0.007498942603679159, 0.0, 0.01992526317988429, 0.0, -0.04270464892770786, 0.0, 0.05539943072514686, 0.0, -0.05359220106068275, 0.0, 0.036095212507782075, 0.0, -0.0072112844010576395, 0.0, -0.02464368084152733, 0.0, 0.050076455790731965, 0.0, -0.06151557386644281, 0.0, 0.05481346844007291, 0.0, -0.029638204588906567, 0.0, -0.007426978268749748, 0.0, 0.04327001274891768, 0.0, -0.06522246627077197, 0.0, 0.06454837802425174, 0.0, -0.038105312892752714, 0.0, -0.007282872180063697, 0.0, 0.05390680152512051, 0.0, -0.07801045585919551, 0.0, 0.060269863937839126, 0.0, 0.0011301552547527656, 0.0, -0.07662907432051891, 0.0, 0.09301148829346509, 0.0, 0.07796508307652618]","[0.04278919578059605, 0.044113534567697815, -0.04492429290071215, 0.010885997938098297, 0.02421029032836486, -0.04228449135192804, 0.03871477234769828, -0.018688833162012423, -0.007525238608976235, 0.02963490301709741, -0.04067147051871662, 0.038085347108247465, -0.02308386915341157, 0.0008065830317931068, 0.02106909824311434, -0.036267552166153474, 0.04119000552432845, -0.034571132302864634, 0.018266553861719447, 0.0030249318480257423, -0.02319465967087499, 0.03684606944146663, -0.04097090902422979, 0.03489109266928137, -0.019891234069009937, -0.0002657961913055902, 0.019843391799859736, -0.034042385579886855, 0.040134855528360644, -0.03665037356262743, 0.02430341273561022, -0.006350913129182464, -0.012647494042782294, 0.028084125663147014, -0.03684605208540051, 0.03740065773855401, -0.029217167313041883, 0.014365554363887536, 0.0028888770956738, -0.018749872155373017, 0.030326277762365794, -0.035153905050396374, 0.031982474040272824, -0.021922050315496076, 0.0077627186360488395, 0.007219889572691946, -0.020158330915718545, 0.028808473636754386, -0.031043125923039035, 0.026541098821410113, -0.01727049152476905, 0.0052687882252163845, 0.007534543118421876, -0.018500443454467004, 0.025247639154187665, -0.02681447934056483, 0.02346053019627945, -0.016133855052585196, 0.006021517922675425, 0.005219996801416596, -0.014976470510944322, 0.02143320426415316, -0.024410464491586632, 0.023386381047109914, -0.018028152892864194, 0.009462188662543272, 0.0005760802234674847, -0.010458940241829752, 0.019027728406585308, -0.024962329254785705, 0.026756526876574267, -0.02374910069610066, 0.016591174155849108, -0.006354632779927755, -0.0063303968871626076, 0.019449014988609088, -0.030080153027990726, 0.03642103212038039, -0.03706696322359924, 0.030957771123366822, -0.017754095054950472, -0.001694940917071657, 0.02483250637048733, -0.04852846778606686, 0.06999445786811204, -0.08576633779215642, 0.0919240231207574, -0.08679702092600107, 0.07115342032087174, -0.046735563282568164, 0.016310081753598688, 0.016270581323001205, -0.04670268888342508, 0.07113287995205038, -0.08679246348520496, 0.09193597820747466, -0.08579192208320036, 0.07002820122784473, -0.04856383256690941, 0.024863351262114607, -0.0017165288533183937, -0.017744551236817268, 0.03096088605143833, -0.03708121020619756, 0.036443101098116194, -0.030105657732550962, 0.01947338748531357, -0.0063497207672033465, -0.0063430588496577395, 0.016588559466575538, -0.02375508826791128, 0.026769365241412907, -0.02497930527884567, 0.019045728641266677, -0.01047499701951948, 0.0005878263263745953, 0.009456197732592013, -0.018028299736394582, 0.023392043917512716, -0.024420229372677404, 0.02144515715517628, -0.01498853614695661, 0.0052303160625258235, 0.006014297044093669, -0.016130460758390256, 0.023461045142938158, -0.026818379969333634, 0.025253939658173352, -0.018507932494882612, 0.007542035914745816, 0.0052622721909011344, -0.01726563950565529, 0.02653825305838576, -0.031042288183142308, 0.028809415153580712, -0.020160726215835482, 0.0072233888359991925, 0.007758439962948944, -0.021917267347961313, 0.03197745867234305, -0.035149015735805166, 0.030322019979895552, -0.018746868545309523, 0.0028877701926500825, 0.014364212871057217, -0.029213066736412444, 0.037393941584665344, -0.036837463415747625, 0.02807494922437212, -0.012639355662626701, -0.006356312817364219, 0.024304639437250808, -0.03664664370404858, 0.040126356492364235, -0.03403037492271351, 0.019830004402321074, -0.00025365774979017793, -0.019899503955281943, 0.034893466135067955, -0.040966499078824124, 0.03683544517802875, -0.023179807192926706, 0.003008870271465942, 0.018280396552190915, -0.03457966560555846, 0.04119123151585661, -0.03626112921233125, 0.021056475067824224, 0.000822505170370929, -0.023099412634076614, 0.03809695111683811, -0.040676630220192, 0.029632860929908453, -0.007517155202798475, -0.018700304686368293, 0.038726367773706576, -0.042293463828990616, 0.02421543627449036, 0.010884000427766403, -0.04492368183873739, 0.04411343748620854, 0.042785817502207106]",0.2,0.0,16384,True
