"npts","degree","parity","iteration_time","max_abs","max_violation","max_linf_error_fit_domain"
"128","101","1","0.05692696571350098","1.1715913534580957","0.17159135345809573","0.004530039045239964"
"256","101","1","0.1450653076171875","1.04580732719827","0.045807327198269965","0.0030303039352812533"
"512","101","1","0.13017606735229492","1.0107300819893337","0.010730081989333673","0.0030695631872011964"
"1024","101","1","0.33598899841308594","1.0026640068163617","0.002664006816361697","0.0029593513149225315"
"2048","101","1","0.39934515953063965","1.0006499923005368","0.0006499923005367503","0.0029985991725119954"
"4096","101","1","0.6735529899597168","1.000174067111819","0.0001740671118191095","0.0030062871807764457"
"8192","101","1","1.2126688957214355","1.0000402661859187","4.0266185918680364e-05","0.0030039304631188646"
"16384","101","1","2.814926862716675","1.0000095642400342","9.564240034176663e-06","0.003003539743757"
"32768","101","1","6.567089319229126","1.0000027352343643","2.7352343643372024e-06","0.0030036100444682523"
"65536","101","1","14.315151929855347","1.000000616699129","6.166991290967871e-07","0.003003590328047201"
"131072","101","1","27.035046815872192","1.0000001243316952","1.243316951615725e-07","0.0030035996270182386"
"262144","101","1","55.4218168258667","1.0000000364911084","3.6491108357239455e-08","0.003003597096509658"
"524288","101","1","108.24068188667297","1.0000000078877527","7.887752673241266e-09","0.0030035973942323935"
"1048576","101","1","255.5061800479889","1.0000000014935","1.4934999903459811e-09","0.0030035973514661585"
