"degree","exp2","parity","npts","N_weiss","time_fit","time_qsp","max_error_poly","max_error_qsp","constraint_violated","coef","coef_full","phi_proc"
"32","5.0","0","524288","16384","218.83148217201233","3.8681490421295166","0.034925836117131404","0.03492669118877254","True","[0.08060311866674283, -0.15525048261079, 0.1375514080418118, -0.10867621640949378, 0.06976964370767841, -0.022826045197165072, -0.028986135344119278, 0.0810014031441545, -0.12680813467568589, 0.15815517992645928, -0.16510488309021717, 0.1365199502632682, -0.0609633564112298, -0.07193591409556611, 0.26964139876442506, -0.5344525406341861, -0.6582418891555935]","[0.08060311866674283, 0.0, -0.15525048261079, 0.0, 0.1375514080418118, 0.0, -0.10867621640949378, 0.0, 0.06976964370767841, 0.0, -0.022826045197165072, 0.0, -0.028986135344119278, 0.0, 0.0810014031441545, 0.0, -0.12680813467568589, 0.0, 0.15815517992645928, 0.0, -0.16510488309021717, 0.0, 0.1365199502632682, 0.0, -0.0609633564112298, 0.0, -0.07193591409556611, 0.0, 0.26964139876442506, 0.0, -0.5344525406341861, 0.0, -0.6582418891555935]","[-1.3516004338279592, -0.38005622554404955, 0.24830459688134676, -0.11113913128864407, 0.003662768265201354, 0.06978651736365432, -0.11151561782420508, 0.1246243272486552, -0.11360105145215002, 0.08567720108280512, -0.04769493223701829, 0.005262403068597543, 0.035905782247545516, -0.07287964607069007, 0.10281391513705211, -0.12238186977092844, 0.12937411736880106, -0.12238182248980056, 0.10281254450528843, -0.0728816622643739, 0.03590570974957413, 0.005263262577089905, -0.04769494945610509, 0.08567784982633374, -0.11360034871609713, 0.12462453979892446, -0.1115149267527018, 0.06978720150334944, 0.0036610137945523266, -0.1111392552996682, 0.24830593522733163, -0.3800582744522963, -1.3516012383010607]"
"46","5.5","0","524288","16384","264.41606879234314","3.81412410736084","0.027145784367860748","0.027138216294400785","True","[0.10775830700352344, -0.20193441950122115, 0.163588610410666, -0.10682129442292682, 0.03981688995649716, 0.02902255190991946, -0.09103585551156333, 0.1361835130751114, -0.15389805690659364, 0.137663574073289, -0.09074798414155538, 0.026986114101096907, 0.035612637893726366, -0.08273874211475873, 0.10442675107420434, -0.08913413534287067, 0.024268694840135455, 0.08491813405230146, -0.1883796155801989, 0.19126352637050573, -0.015403902755833324, -0.2797186044817432, 0.36564961366605053, 0.42882008786249465]","[0.10775830700352344, 0.0, -0.20193441950122115, 0.0, 0.163588610410666, 0.0, -0.10682129442292682, 0.0, 0.03981688995649716, 0.0, 0.02902255190991946, 0.0, -0.09103585551156333, 0.0, 0.1361835130751114, 0.0, -0.15389805690659364, 0.0, 0.137663574073289, 0.0, -0.09074798414155538, 0.0, 0.026986114101096907, 0.0, 0.035612637893726366, 0.0, -0.08273874211475873, 0.0, 0.10442675107420434, 0.0, -0.08913413534287067, 0.0, 0.024268694840135455, 0.0, 0.08491813405230146, 0.0, -0.1883796155801989, 0.0, 0.19126352637050573, 0.0, -0.015403902755833324, 0.0, -0.2797186044817432, 0.0, 0.36564961366605053, 0.0, 0.42882008786249465]","[-0.4796208641578996, 0.13794302379937765, -0.2482344886641507, 0.12146065335686096, 0.06033281295342594, -0.15394237352919424, 0.12872434929606247, -0.04378617943084733, -0.028512068311272277, 0.060702645463025645, -0.0649301470585887, 0.05680159084565509, -0.0347054523992854, -0.009393189762707975, 0.0689983469334278, -0.1197494962564196, 0.13724970503413703, -0.11623459542119569, 0.06953281690468782, -0.010507989930597018, -0.05684417868611362, 0.1292071969735441, -0.19065941100694184, 0.2155728920211371, -0.19067071365114474, 0.12922291324429602, -0.05685808920821893, -0.010497297406598317, 0.06952518956995007, -0.11623250899800375, 0.1372566316493636, -0.11976423391367719, 0.06901392036934476, -0.009402849316314766, -0.03470268652301152, 0.056802424364875675, -0.06493305368327996, 0.06071010097968031, -0.028525524091555676, -0.04377158739268703, 0.12871715600769498, -0.15394578332847375, 0.06034091281577943, 0.12145454725681566, -0.248229198033986, 0.13793482774601518, -0.4796191100258161]"
"64","6.0","0","524288","16384","365.909451007843","3.8478260040283203","0.019855407539376257","0.019855407539376035","False","[0.08969627252875643, -0.1683054373415032, 0.1370642945538687, -0.09127013321476155, 0.03891327832863149, 0.011350292478609572, -0.0519736799682732, 0.07801018477432857, -0.08790086331557678, 0.08346738672526301, -0.06906127764066329, 0.05018945077380516, -0.03191792216775093, 0.017573799287802325, -0.008038421754224104, 0.0019226931771886943, 0.0034886707838562886, -0.01072469893496823, 0.02061516036538431, -0.03126565194258314, 0.0381044410719784, -0.03517956475337632, 0.01767010898228609, 0.015044921475552914, -0.05668379357050917, 0.09311518349870959, -0.10445662191106692, 0.07143040554820924, 0.013550377286114279, -0.1307913946909079, 0.21466139367234685, -0.13421306833667526, -0.32352164118108867]","[0.08969627252875643, 0.0, -0.1683054373415032, 0.0, 0.1370642945538687, 0.0, -0.09127013321476155, 0.0, 0.03891327832863149, 0.0, 0.011350292478609572, 0.0, -0.0519736799682732, 0.0, 0.07801018477432857, 0.0, -0.08790086331557678, 0.0, 0.08346738672526301, 0.0, -0.06906127764066329, 0.0, 0.05018945077380516, 0.0, -0.03191792216775093, 0.0, 0.017573799287802325, 0.0, -0.008038421754224104, 0.0, 0.0019226931771886943, 0.0, 0.0034886707838562886, 0.0, -0.01072469893496823, 0.0, 0.02061516036538431, 0.0, -0.03126565194258314, 0.0, 0.0381044410719784, 0.0, -0.03517956475337632, 0.0, 0.01767010898228609, 0.0, 0.015044921475552914, 0.0, -0.05668379357050917, 0.0, 0.09311518349870959, 0.0, -0.10445662191106692, 0.0, 0.07143040554820924, 0.0, 0.013550377286114279, 0.0, -0.1307913946909079, 0.0, 0.21466139367234685, 0.0, -0.13421306833667526, 0.0, -0.32352164118108867]","[-0.9653525597913011, -0.050214399508656846, 0.11496600580434553, -0.08841389888651262, 0.029856177429472913, 0.022522116641343824, -0.05164899228182389, 0.05586593242443298, -0.04244002313731768, 0.021673701040097696, -0.0023406442377849127, -0.010599082546974002, 0.01618948014475415, -0.01630436234680452, 0.013936947381432719, -0.0115822624617454, 0.010245071864441105, -0.00923368469476932, 0.006702240956107903, -0.0006132988702785912, -0.010208300551619367, 0.025317519777252728, -0.04236558940036624, 0.057422613251875566, -0.06585199409499898, 0.06362643394782214, -0.048624880600391066, 0.02140045791033946, 0.014852520832069869, -0.05477978419439855, 0.0915052966065859, -0.11763144963461328, 0.12713197544899915, -0.11763144963461325, 0.09150529660658588, -0.05477978419439847, 0.014852520832069813, 0.02140045791033948, -0.0486248806003911, 0.06362643394782218, -0.06585199409499898, 0.05742261325187555, -0.04236558940036625, 0.025317519777252728, -0.010208300551619353, -0.0006132988702785962, 0.006702240956107913, -0.009233684694769359, 0.010245071864441117, -0.011582262461745435, 0.013936947381432743, -0.016304362346804543, 0.016189480144754152, -0.010599082546973981, -0.002340644237784916, 0.021673701040097727, -0.04244002313731774, 0.05586593242443299, -0.0516489922818239, 0.022522116641343806, 0.029856177429472955, -0.08841389888651265, 0.11496600580434557, -0.05021439950865679, -0.9653525597913012]"
"92","6.5","0","524288","16384","531.1326401233673","3.9275431632995605","0.014075006724255434","0.014075006724256248","False","[0.07318328518515207, -0.13970991297209864, 0.12055189134011246, -0.09120337559313835, 0.05516585191746404, -0.016640310817893633, -0.02002639000227744, 0.05092097153997714, -0.07303975097106531, 0.0846417194073311, -0.08538963390037274, 0.07631514559478159, -0.05957984635633587, 0.03812412411863055, -0.015217509137073721, -0.0059757963524173265, 0.022802666186299527, -0.03340424373856212, 0.03689693111874869, -0.033397517141933, 0.023951182763370837, -0.010338711680803758, -0.005160568597933721, 0.020068498604382513, -0.03199812107434165, 0.038960807066952666, -0.03962480701438978, 0.03355230508990301, -0.02134162458356363, 0.004688379251438151, 0.013720201166329467, -0.030466113262127857, 0.04188402861471298, -0.044708816817570156, 0.036876236874978686, -0.01831313421357441, -0.008412133206037162, 0.03785241702328984, -0.06206025927853588, 0.07186329710580935, -0.059156585810299964, 0.020305623043062188, 0.03951042067275499, -0.10129376601171973, 0.1271442486590018, -0.05576843608292879, -0.2005315546816529]","[0.07318328518515207, 0.0, -0.13970991297209864, 0.0, 0.12055189134011246, 0.0, -0.09120337559313835, 0.0, 0.05516585191746404, 0.0, -0.016640310817893633, 0.0, -0.02002639000227744, 0.0, 0.05092097153997714, 0.0, -0.07303975097106531, 0.0, 0.0846417194073311, 0.0, -0.08538963390037274, 0.0, 0.07631514559478159, 0.0, -0.05957984635633587, 0.0, 0.03812412411863055, 0.0, -0.015217509137073721, 0.0, -0.0059757963524173265, 0.0, 0.022802666186299527, 0.0, -0.03340424373856212, 0.0, 0.03689693111874869, 0.0, -0.033397517141933, 0.0, 0.023951182763370837, 0.0, -0.010338711680803758, 0.0, -0.005160568597933721, 0.0, 0.020068498604382513, 0.0, -0.03199812107434165, 0.0, 0.038960807066952666, 0.0, -0.03962480701438978, 0.0, 0.03355230508990301, 0.0, -0.02134162458356363, 0.0, 0.004688379251438151, 0.0, 0.013720201166329467, 0.0, -0.030466113262127857, 0.0, 0.04188402861471298, 0.0, -0.044708816817570156, 0.0, 0.036876236874978686, 0.0, -0.01831313421357441, 0.0, -0.008412133206037162, 0.0, 0.03785241702328984, 0.0, -0.06206025927853588, 0.0, 0.07186329710580935, 0.0, -0.059156585810299964, 0.0, 0.020305623043062188, 0.0, 0.03951042067275499, 0.0, -0.10129376601171973, 0.0, 0.1271442486590018, 0.0, -0.05576843608292879, 0.0, -0.2005315546816529]","[-0.8929865241995341, -0.01789934905962746, 0.06254356912353634, -0.058962879160164086, 0.03282289952549731, -0.002206361921579964, -0.022122752549141634, 0.03539936776649909, -0.03717395183289816, 0.029756343272538333, -0.016799708765898355, 0.0021455620243969447, 0.010958824074031974, -0.020244443423763876, 0.024536531116931465, -0.02368143173896748, 0.01836992641536236, -0.009880335241976415, -0.0001825484297596629, 0.010134675704703784, -0.0184078159423626, 0.023725274053232093, -0.02524257667315156, 0.022668014240875563, -0.016315670978907827, 0.0070958601220841595, 0.003583809945517703, -0.013973770254953026, 0.02221014698287963, -0.026582190494593923, 0.025836927279626595, -0.01943997442081319, 0.007748696005862766, 0.007964705652479111, -0.02560840095259447, 0.042488388859841575, -0.05563434262858925, 0.06228019201634786, -0.06042315806926105, 0.049309037578306736, -0.029618876809094287, 0.003339211028405912, 0.026547069108431385, -0.05634494900767882, 0.08195049827672725, -0.09936291215904258, 0.10555007552091468, -0.09936291215904258, 0.08195049827672725, -0.05634494900767882, 0.026547069108431343, 0.003339211028405976, -0.029618876809094342, 0.04930903757830681, -0.060423158069261115, 0.06228019201634787, -0.055634342628589274, 0.04248838885984161, -0.02560840095259444, 0.007964705652479061, 0.007748696005862789, -0.019439974420813202, 0.025836927279626613, -0.02658219049459394, 0.022210146982879618, -0.013973770254952994, 0.003583809945517674, 0.0070958601220841985, -0.016315670978907862, 0.02266801424087559, -0.025242576673151565, 0.023725274053232097, -0.018407815942362602, 0.010134675704703763, -0.00018254842975962417, -0.00988033524197646, 0.01836992641536237, -0.02368143173896748, 0.02453653111693148, -0.020244443423763872, 0.010958824074031946, 0.002145562024396942, -0.01679970876589835, 0.02975634327253835, -0.03717395183289814, 0.03539936776649905, -0.022122752549141606, -0.0022063619215800033, 0.032822899525497336, -0.05896287916016413, 0.06254356912353634, -0.017899349059627454, -0.892986524199534]"
"128","7.0","0","524288","16384","672.9127449989319","3.800358772277832","0.011120781990290929","0.011117423261523832","True","[0.08501692204844027, -0.16120244673859685, 0.13590184040753245, -0.09752181751105746, 0.051166587561864985, -0.002893185625115554, -0.041152144634306206, 0.0756316365925479, -0.09675053731588892, 0.10278156784343309, -0.09423987780824758, 0.0737471132074954, -0.04554557296529368, 0.0148015814750286, 0.013254944781282146, -0.034156686821911295, 0.0449210471870761, -0.044487763782488365, 0.03385927049358501, -0.015853368230029613, -0.005433423416818211, 0.02542622575291449, -0.039935279800069466, 0.04598734496968891, -0.042403083017485646, 0.030061157790439226, -0.011719784950569133, -0.008525852641201837, 0.026119385451490413, -0.037021489462131886, 0.038648173831125884, -0.030496494206267762, 0.014360229431184222, 0.006005338038630532, -0.025668177102778165, 0.03966670920334596, -0.044210713927403285, 0.03771331007171068, -0.021322373668121185, -0.0011625265708170495, 0.024089438123520115, -0.04127381763486788, 0.04761748834913378, -0.04057312296167822, 0.02111348724226775, 0.00618014332114843, -0.033986145072490884, 0.054029100178199105, -0.059361514938006475, 0.0466436952605831, -0.01770408819245319, -0.020142335405472885, 0.0554343659791955, -0.07546941890972339, 0.07034502156601033, -0.03712623856392095, -0.01707640185411007, 0.07457876225245404, -0.11029924076424776, 0.09943368339780259, -0.02952838542384372, -0.08396028361882035, 0.1806248872266211, -0.13926673161304956, -0.2334617737796344]","[0.08501692204844027, 0.0, -0.16120244673859685, 0.0, 0.13590184040753245, 0.0, -0.09752181751105746, 0.0, 0.051166587561864985, 0.0, -0.002893185625115554, 0.0, -0.041152144634306206, 0.0, 0.0756316365925479, 0.0, -0.09675053731588892, 0.0, 0.10278156784343309, 0.0, -0.09423987780824758, 0.0, 0.0737471132074954, 0.0, -0.04554557296529368, 0.0, 0.0148015814750286, 0.0, 0.013254944781282146, 0.0, -0.034156686821911295, 0.0, 0.0449210471870761, 0.0, -0.044487763782488365, 0.0, 0.03385927049358501, 0.0, -0.015853368230029613, 0.0, -0.005433423416818211, 0.0, 0.02542622575291449, 0.0, -0.039935279800069466, 0.0, 0.04598734496968891, 0.0, -0.042403083017485646, 0.0, 0.030061157790439226, 0.0, -0.011719784950569133, 0.0, -0.008525852641201837, 0.0, 0.026119385451490413, 0.0, -0.037021489462131886, 0.0, 0.038648173831125884, 0.0, -0.030496494206267762, 0.0, 0.014360229431184222, 0.0, 0.006005338038630532, 0.0, -0.025668177102778165, 0.0, 0.03966670920334596, 0.0, -0.044210713927403285, 0.0, 0.03771331007171068, 0.0, -0.021322373668121185, 0.0, -0.0011625265708170495, 0.0, 0.024089438123520115, 0.0, -0.04127381763486788, 0.0, 0.04761748834913378, 0.0, -0.04057312296167822, 0.0, 0.02111348724226775, 0.0, 0.00618014332114843, 0.0, -0.033986145072490884, 0.0, 0.054029100178199105, 0.0, -0.059361514938006475, 0.0, 0.0466436952605831, 0.0, -0.01770408819245319, 0.0, -0.020142335405472885, 0.0, 0.0554343659791955, 0.0, -0.07546941890972339, 0.0, 0.07034502156601033, 0.0, -0.03712623856392095, 0.0, -0.01707640185411007, 0.0, 0.07457876225245404, 0.0, -0.11029924076424776, 0.0, 0.09943368339780259, 0.0, -0.02952838542384372, 0.0, -0.08396028361882035, 0.0, 0.1806248872266211, 0.0, -0.13926673161304956, 0.0, -0.2334617737796344]","[-0.9203684744466294, -0.050104347142783785, 0.10051004695290852, -0.0745541790674953, 0.01956797203468432, 0.03161228760293779, -0.06130850570809229, 0.06447497560602539, -0.04553484798114949, 0.014491913494160392, 0.01733370390748546, -0.040549504268887565, 0.04958777329546858, -0.04349145845355498, 0.025557812091120118, -0.001857445342180115, -0.020719934912964155, 0.03626506455550933, -0.041179720726157464, 0.0349147166415101, -0.019875899031524296, 0.0005505304810701493, 0.01781621974377406, -0.030546299200856965, 0.03463628771618124, -0.029420855640192412, 0.016637041823610272, 0.00016336282861381896, -0.016592358086905807, 0.028528138222934055, -0.033085150728606384, 0.029298781108113958, -0.018306788350100234, 0.0029982955743061827, 0.01276167752038182, -0.025060734970774646, 0.030856944443672103, -0.028686013491971956, 0.019013440132648406, -0.004089295047800898, -0.012598181007630107, 0.02712356848847348, -0.03598106350404773, 0.03689614062786125, -0.02938245998444608, 0.014897349749210772, 0.003476433750119459, -0.021654879017980508, 0.0353556269137642, -0.04095448385560596, 0.03631361682373789, -0.021324608837120736, -0.0019871530666226564, 0.02978383241782878, -0.05693833135260476, 0.07775965870892337, -0.08704222914600784, 0.0814011548218569, -0.0602713210377339, 0.02599069331498201, 0.01691784610463385, -0.062454381398017025, 0.10349995887632608, -0.13243126163274585, 0.1429184942397623, -0.13243245651670632, 0.10350215941814984, -0.06245727700005452, 0.01692105689584841, 0.025987623361176465, -0.060268934705855974, 0.0814000086169788, -0.08704272005616503, 0.07776184267934952, -0.05694185109238132, 0.029787983447321007, -0.0019910327449358303, -0.021321915544760518, 0.03631282410151219, -0.040955894617775684, 0.03535900492846188, -0.0216594742417875, 0.0034811577024685494, 0.014893659808760625, -0.029380751808579596, 0.036896889868146765, -0.03598412189967865, 0.027128185047670953, -0.012603200276359552, -0.004085127763965066, 0.019011157649789334, -0.028686162110732823, 0.03085943827706321, -0.025064881683186956, 0.012766377953874603, 0.002994241843011104, -0.018304368554738458, 0.029298523034047834, -0.03308699903918503, 0.028531492065409746, -0.01659626540869742, 0.00016680261289326565, 0.016634885746912267, -0.029420399862213342, 0.03463747116037517, -0.030548640355331932, 0.01781899381764963, 0.0005480607150557007, -0.01987428304291564, 0.03491419931946113, -0.0411802241933067, 0.036266265280773355, -0.020721408547002298, -0.0018560720317720462, 0.02555676514728671, -0.04349080140347405, 0.049587458172287525, -0.04054945644481148, 0.017333899486094633, 0.014491420387483826, -0.04553397345926357, 0.06447371748440915, -0.06130705576988344, 0.0316110606208861, 0.019568428706342428, -0.07455339503690266, 0.1005079749005063, -0.05010171181630387, -0.920369988632413]"
"182","7.5","0","524288","16384","1131.3294351100922","3.6304779052734375","0.00779634368094842","0.007796343680947206","False","[0.07479335128946908, -0.14257561298198343, 0.12241977002912058, -0.09163206764485446, 0.0540015767420238, -0.014068943551758105, -0.023506312350704633, 0.05457032444931426, -0.07602180815139202, 0.08618103649080856, -0.08495344481585597, 0.07374851298289119, -0.055196577338341955, 0.0326921055773861, -0.009861087555750376, -0.00998523510527863, 0.024305088751986285, -0.031646158830149415, 0.03176744998213424, -0.025576965365514986, 0.01488451386919691, -0.002041520192684403, -0.010488966213654463, 0.0205369894080855, -0.026562414024198774, 0.027851684303733425, -0.024572816863112863, 0.017667769696045714, -0.0086326518051648, -0.0007905719270605247, 0.008930877190350302, -0.014479616798371866, 0.016686552215913416, -0.015454042941702086, 0.011298596410819728, -0.005216927753557234, -0.0015342709003063266, 0.0076782392286238585, -0.012154364216843683, 0.014286990112230146, -0.01388202473438531, 0.011217666994776674, -0.006959819737472349, 0.0020023417029958945, 0.002711267647092865, -0.006370880302845459, 0.008431421256271093, -0.008693328277228048, 0.007299717072347394, -0.004679042387667382, 0.0014286277663897965, 0.0018114014018577648, -0.004488244846284178, 0.006223038932872329, -0.0068614455038572865, 0.006461376417645952, -0.005248864805431011, 0.003536157866056837, -0.0016466904427796965, -0.00015551850124900446, 0.0016945994292488155, -0.002887997018033852, 0.003710935545111029, -0.004157941720077996, 0.004197620882693424, -0.0037617311248069455, 0.0027564956409916177, -0.0011188581692779286, -0.001118485094323031, 0.0037540718803941455, -0.00638868051322696, 0.008443288581541386, -0.009261094106058245, 0.008265254744342816, -0.005166945393988344, 0.00015085934012060173, 0.006001970516468876, -0.01193967102405823, 0.01593458848010926, -0.016278521514048423, 0.011811028213844629, -0.0025009102087641052, -0.010100039652536072, 0.022703700856842025, -0.03065933092136181, 0.029002775835824692, -0.014299090615464211, -0.012767992499443765, 0.04420919888693658, -0.06130135801742887, 0.03137388007405217, 0.09458314066258433]","[0.07479335128946908, 0.0, -0.14257561298198343, 0.0, 0.12241977002912058, 0.0, -0.09163206764485446, 0.0, 0.0540015767420238, 0.0, -0.014068943551758105, 0.0, -0.023506312350704633, 0.0, 0.05457032444931426, 0.0, -0.07602180815139202, 0.0, 0.08618103649080856, 0.0, -0.08495344481585597, 0.0, 0.07374851298289119, 0.0, -0.055196577338341955, 0.0, 0.0326921055773861, 0.0, -0.009861087555750376, 0.0, -0.00998523510527863, 0.0, 0.024305088751986285, 0.0, -0.031646158830149415, 0.0, 0.03176744998213424, 0.0, -0.025576965365514986, 0.0, 0.01488451386919691, 0.0, -0.002041520192684403, 0.0, -0.010488966213654463, 0.0, 0.0205369894080855, 0.0, -0.026562414024198774, 0.0, 0.027851684303733425, 0.0, -0.024572816863112863, 0.0, 0.017667769696045714, 0.0, -0.0086326518051648, 0.0, -0.0007905719270605247, 0.0, 0.008930877190350302, 0.0, -0.014479616798371866, 0.0, 0.016686552215913416, 0.0, -0.015454042941702086, 0.0, 0.011298596410819728, 0.0, -0.005216927753557234, 0.0, -0.0015342709003063266, 0.0, 0.0076782392286238585, 0.0, -0.012154364216843683, 0.0, 0.014286990112230146, 0.0, -0.01388202473438531, 0.0, 0.011217666994776674, 0.0, -0.006959819737472349, 0.0, 0.0020023417029958945, 0.0, 0.002711267647092865, 0.0, -0.006370880302845459, 0.0, 0.008431421256271093, 0.0, -0.008693328277228048, 0.0, 0.007299717072347394, 0.0, -0.004679042387667382, 0.0, 0.0014286277663897965, 0.0, 0.0018114014018577648, 0.0, -0.004488244846284178, 0.0, 0.006223038932872329, 0.0, -0.0068614455038572865, 0.0, 0.006461376417645952, 0.0, -0.005248864805431011, 0.0, 0.003536157866056837, 0.0, -0.0016466904427796965, 0.0, -0.00015551850124900446, 0.0, 0.0016945994292488155, 0.0, -0.002887997018033852, 0.0, 0.003710935545111029, 0.0, -0.004157941720077996, 0.0, 0.004197620882693424, 0.0, -0.0037617311248069455, 0.0, 0.0027564956409916177, 0.0, -0.0011188581692779286, 0.0, -0.001118485094323031, 0.0, 0.0037540718803941455, 0.0, -0.00638868051322696, 0.0, 0.008443288581541386, 0.0, -0.009261094106058245, 0.0, 0.008265254744342816, 0.0, -0.005166945393988344, 0.0, 0.00015085934012060173, 0.0, 0.006001970516468876, 0.0, -0.01193967102405823, 0.0, 0.01593458848010926, 0.0, -0.016278521514048423, 0.0, 0.011811028213844629, 0.0, -0.0025009102087641052, 0.0, -0.010100039652536072, 0.0, 0.022703700856842025, 0.0, -0.03065933092136181, 0.0, 0.029002775835824692, 0.0, -0.014299090615464211, 0.0, -0.012767992499443765, 0.0, 0.04420919888693658, 0.0, -0.06130135801742887, 0.0, 0.03137388007405217, 0.0, 0.09458314066258433]","[-0.7355548393652847, 0.01184451205135838, -0.029953991101427036, 0.024936654604380083, -0.011177995613396554, -0.0024324503242349094, 0.011490092536527599, -0.014835391654337456, 0.013324296974888841, -0.008774872206754162, 0.003158073556972865, 0.001918281822047347, -0.005456475551720053, 0.007090325101592267, -0.006966863896245215, 0.005551097644301125, -0.0034292475027437744, 0.001144912927444706, 0.0008962538703042552, -0.0024621712903449056, 0.0034720113122868345, -0.003949620493737327, 0.003964649796160702, -0.003591948013461053, 0.00288826648061677, -0.0018989172099843567, 0.0006756684291302603, 0.0006946899291152166, -0.002075698574734375, 0.0032788815981018163, -0.004089317349218802, 0.0043045261190920395, -0.0037888388289917087, 0.002518257686892506, -0.0006134217433624405, -0.001661708159621791, 0.00392861224979222, -0.005759164169548601, 0.006754940358694791, -0.006636428760536446, 0.005311825317947167, -0.002919658837850327, -0.00017800569654159763, 0.0034432547648097184, -0.00625601400823778, 0.008027207883800283, -0.008321715801207474, 0.006955376124092357, -0.004055314266240146, 5.705541898387417e-05, 0.0043537794907331576, -0.008358667758714768, 0.011152524024518648, -0.01210497550791206, 0.010894678363072983, -0.007598693603471897, 0.002704080926213071, 0.002953611051571776, -0.00832805013512042, 0.012343784598213406, -0.014103740792941842, 0.013074220037444694, -0.009219867976937806, 0.003045657868907908, 0.004456016694881938, -0.0119580017554798, 0.01801798574708345, -0.021345410802980486, 0.021061507945799217, -0.016910799881551645, 0.009362216984985695, 0.00041548297448428716, -0.010711247453617529, 0.019527163666732378, -0.02491381912881662, 0.02533260599631477, -0.019989954039128986, 0.009052357950808186, 0.006296741599316283, -0.023964939654310864, 0.041181546174041156, -0.05485882863286148, 0.06208914296874342, -0.0607401893829694, 0.04995972978821157, -0.03038996567013381, 0.004028217418232004, 0.02608954256191541, -0.056199582947225095, 0.0821154945897538, -0.0997582234590967, 0.10602971460994796, -0.09975822345909655, 0.08211549458975365, -0.05619958294722488, 0.026089542561915195, 0.0040282174182321865, -0.03038996567013395, 0.049959729788211615, -0.06074018938296941, 0.06208914296874334, -0.05485882863286132, 0.041181546174041024, -0.023964939654310683, 0.006296741599316146, 0.009052357950808283, -0.019989954039129038, 0.025332605996314768, -0.024913819128816586, 0.019527163666732295, -0.01071124745361742, 0.0004154829744841862, 0.009362216984985799, -0.016910799881551704, 0.021061507945799255, -0.021345410802980476, 0.018017985747083427, -0.01195800175547974, 0.004456016694881847, 0.003045657868908002, -0.0092198679769379, 0.013074220037444758, -0.014103740792941901, 0.012343784598213404, -0.008328050135120396, 0.002953611051571731, 0.0027040809262131303, -0.007598693603471962, 0.01089467836307305, -0.012104975507912105, 0.011152524024518667, -0.00835866775871475, 0.004353779490733117, 5.7055418983919345e-05, -0.004055314266240204, 0.0069553761240924135, -0.008321715801207528, 0.008027207883800317, -0.0062560140082377775, 0.003443254764809703, -0.0001780056965415518, -0.0029196588378503697, 0.005311825317947218, -0.006636428760536502, 0.006754940358694837, -0.0057591641695486275, 0.003928612249792222, -0.0016617081596217783, -0.0006134217433624848, 0.002518257686892555, -0.003788838828991761, 0.00430452611909209, -0.004089317349218827, 0.0032788815981018185, -0.002075698574734358, 0.0006946899291151999, 0.0006756684291302998, -0.0018989172099844005, 0.0028882664806168233, -0.003591948013461089, 0.003964649796160731, -0.003949620493737337, 0.0034720113122868224, -0.002462171290344872, 0.0008962538703042085, 0.0011449129274447537, -0.003429247502743814, 0.005551097644301158, -0.006966863896245236, 0.007090325101592276, -0.00545647555172004, 0.0019182818220473213, 0.003158073556972896, -0.008774872206754183, 0.013324296974888879, -0.014835391654337475, 0.011490092536527607, -0.002432450324234904, -0.01117799561339655, 0.024936654604380097, -0.02995399110142707, 0.0118445120513584, -0.7355548393652847]"
