"degree","exp2","parity","npts","N_weiss","time_fit","time_qsp","max_error_poly","max_error_qsp","coef","coef_full","phi_proc"
"32","5.0","0","32","16384","0.009054899215698242","3.45424222946167","0.06913288503103707","0.06886808772614215","[0.32885453737277465, -0.5387960561979849, 0.2644858235947607, 0.007235330977903903, -0.13075040463609622, 0.09950000210592866, 0.008561917676098863, -0.06928534501130243, 0.05840621945024446, 0.00843045453758919, -0.03984066256506707, 0.04146245223201165, 0.008943524482921815, -0.016831616787375228, 0.04830408698352365, 0.018315670817849676, -0.0469650471179186]","[0.32885453737277465, 0.0, -0.5387960561979849, 0.0, 0.2644858235947607, 0.0, 0.007235330977903903, 0.0, -0.13075040463609622, 0.0, 0.09950000210592866, 0.0, 0.008561917676098863, 0.0, -0.06928534501130243, 0.0, 0.05840621945024446, 0.0, 0.00843045453758919, 0.0, -0.03984066256506707, 0.0, 0.04146245223201165, 0.0, 0.008943524482921815, 0.0, -0.016831616787375228, 0.0, 0.04830408698352365, 0.0, 0.018315670817849676, 0.0, -0.0469650471179186]","[-0.8266535568644967, 0.05544278815872036, -0.013814290800491276, -0.008723953767849065, 0.039112397310532454, -0.015932672331081536, -0.023810891331533756, 0.05483118336626812, -0.022800922867277734, -0.04315657564941313, 0.08213003623188375, -0.02342390614343898, -0.09717357172988994, 0.14707293567998134, 0.03816828589840217, -0.4634596677912697, 0.7244718229192995, -0.4646715389009893, 0.03694118071352256, 0.1515646242190979, -0.10226424490102298, -0.020973274321670638, 0.08353987696562945, -0.04727757603382995, -0.018299443999844674, 0.05173890277399156, -0.022391427336755892, -0.016777876547548573, 0.040669288605936514, -0.0114140370576039, -0.01075720823560101, 0.05312211243634939, -0.8256366761735712]"
"46","5.5","0","46","16384","0.006485939025878906","3.510067939758301","0.02804037470640194","0.033726224598686794","[0.3324337982718043, -0.5473162319217829, 0.2686544981654225, 0.004711350591522262, -0.13497349054145366, 0.10206511804662802, 0.004674153708775019, -0.07388131975484491, 0.058932135656468675, 0.003946627669499909, -0.047426562889578285, 0.037938192121683055, 0.0034509871786261954, -0.03237557335462546, 0.025874789802591114, 0.0020990661411960077, -0.02172401273555693, 0.017594271385945617, 0.0012606579897134847, -0.015438911399946591, 0.013891452164819983, 0.0011746280995282455, -0.025507474060055112, -0.0005172167685332054]","[0.3324337982718043, 0.0, -0.5473162319217829, 0.0, 0.2686544981654225, 0.0, 0.004711350591522262, 0.0, -0.13497349054145366, 0.0, 0.10206511804662802, 0.0, 0.004674153708775019, 0.0, -0.07388131975484491, 0.0, 0.058932135656468675, 0.0, 0.003946627669499909, 0.0, -0.047426562889578285, 0.0, 0.037938192121683055, 0.0, 0.0034509871786261954, 0.0, -0.03237557335462546, 0.0, 0.025874789802591114, 0.0, 0.0020990661411960077, 0.0, -0.02172401273555693, 0.0, 0.017594271385945617, 0.0, 0.0012606579897134847, 0.0, -0.015438911399946591, 0.0, 0.013891452164819983, 0.0, 0.0011746280995282455, 0.0, -0.025507474060055112, 0.0, -0.0005172167685332054]","[-0.7859109967955175, -0.02468608007748475, 0.03004248377323169, -0.02121174717772194, -0.0006539404092703595, 0.01960283388957215, -0.018044395749503457, -0.004628140350484396, 0.026845473868597133, -0.023055751169878923, -0.00877043316679241, 0.03902464632987004, -0.032149588331879336, -0.013901782092753442, 0.05567052451074367, -0.041377325281686375, -0.03009840306150434, 0.08899088557802266, -0.050905815140087886, -0.08321957889437316, 0.17269561814604104, -0.008116892594359704, -0.48679288568724555, 0.8143548977258824, -0.49388773568830513, -0.008716897693504826, 0.1819509442880706, -0.09157071219307478, -0.05129112777896307, 0.09730010752215464, -0.03904179065395531, -0.0386436452096065, 0.06019627030221567, -0.021058293425172896, -0.028195284659275476, 0.04059016976395825, -0.013412306579549364, -0.01984556211935721, 0.027639502498045983, -0.008116711695525705, -0.015641782513627942, 0.021270256480185358, -0.006263291805535452, -0.014551686786651507, 0.025572570746419374, -0.02363184539647479, -0.7845063389714375]"
"64","6.0","0","64","16384","0.009011030197143555","3.4611129760742188","0.009359902993252789","0.00839681005820674","[0.3347383179162482, -0.551249543067736, 0.270745424116039, 0.004934743606464405, -0.13677238420857313, 0.10368020440928656, 0.004771100618074252, -0.07555567382181752, 0.06032580890147288, 0.004634094914420016, -0.049893577820954375, 0.0397733400896682, 0.0043160526479269715, -0.035166348852866625, 0.02740346429115989, 0.004027371915938668, -0.025506638770180896, 0.01921700421205991, 0.0035327918732781325, -0.018439653512645447, 0.013292444949078929, 0.003061949810943914, -0.013187901877999113, 0.009086132164263575, 0.0023325228438899237, -0.008948880850949331, 0.005894637149976747, 0.0017001167965055531, -0.005988357397976921, 0.004129020146825523, 0.0012746489473943262, -0.008053218826926653, -0.00044769518107230647]","[0.3347383179162482, 0.0, -0.551249543067736, 0.0, 0.270745424116039, 0.0, 0.004934743606464405, 0.0, -0.13677238420857313, 0.0, 0.10368020440928656, 0.0, 0.004771100618074252, 0.0, -0.07555567382181752, 0.0, 0.06032580890147288, 0.0, 0.004634094914420016, 0.0, -0.049893577820954375, 0.0, 0.0397733400896682, 0.0, 0.0043160526479269715, 0.0, -0.035166348852866625, 0.0, 0.02740346429115989, 0.0, 0.004027371915938668, 0.0, -0.025506638770180896, 0.0, 0.01921700421205991, 0.0, 0.0035327918732781325, 0.0, -0.018439653512645447, 0.0, 0.013292444949078929, 0.0, 0.003061949810943914, 0.0, -0.013187901877999113, 0.0, 0.009086132164263575, 0.0, 0.0023325228438899237, 0.0, -0.008948880850949331, 0.0, 0.005894637149976747, 0.0, 0.0017001167965055531, 0.0, -0.005988357397976921, 0.0, 0.004129020146825523, 0.0, 0.0012746489473943262, 0.0, -0.008053218826926653, 0.0, -0.00044769518107230647]","[-0.7859279977445183, -0.008753583363160223, 0.014473021257713228, -0.014476890922851472, 0.005812655668350017, 0.00641882954987309, -0.011906013766360494, 0.004722609701802016, 0.009107714793164934, -0.01532597063686445, 0.0052296589714750765, 0.013499745591856033, -0.021805415742639573, 0.008111186353333862, 0.017049304333497474, -0.02801036975092254, 0.009519194765093998, 0.023778663855490653, -0.03723343071642872, 0.011046120541991337, 0.03358241177608233, -0.0488343767716291, 0.009107631462488873, 0.052679054455315115, -0.06678684432153079, -0.0006077165777460217, 0.0918905189419342, -0.09173347602640188, -0.04966855160687763, 0.20195704043900095, -0.08170406575203, -0.5067439598408867, 0.9268105714081396, -0.5079355936309994, -0.08224409684108458, 0.20354639583002543, -0.049893482308556475, -0.09371333231229938, 0.09446931317561962, -0.0015632718935421949, -0.0680574132393662, 0.05471503841462975, 0.008365105877667787, -0.05020071423786054, 0.03606555927854084, 0.009215789323387975, -0.03705754452078796, 0.024793618871796038, 0.008647119443686554, -0.028276638488198017, 0.018393588943149453, 0.0065088005151194206, -0.020641817344324475, 0.012755633630689657, 0.006097545635400538, -0.016675589043734014, 0.010608149711736799, 0.003908454634237577, -0.01243205314069859, 0.00818207045762954, 0.003640503039851228, -0.01286302224990469, 0.013882806159251113, -0.008946394764425927, -0.7855409976885578]"
"92","6.5","0","92","16384","0.01687026023864746","3.4818379878997803","0.0014223818367597564","0.0017705302581829674","[0.3347798295847392, -0.552112224438523, 0.2727815464206218, 0.00317287116938094, -0.13707006517654682, 0.10578677707526256, 0.0031011925479340206, -0.07632177735054131, 0.06287963853136529, 0.002971383102712299, -0.05105044837066125, 0.042626595658882084, 0.002807551687861734, -0.0367867586994026, 0.030586125680582082, 0.0025950419961969433, -0.027412946129879136, 0.022502129297358266, 0.0023608100741546027, -0.020720002015197348, 0.016710978705802064, 0.0020912535318545478, -0.015682152265411267, 0.012387351196363638, 0.0018172480556047645, -0.011800756939813136, 0.009114069576735261, 0.001529512464545417, -0.008753323543757513, 0.006599165853976976, 0.0012682332133544614, -0.006373907724613953, 0.004684323839964484, 0.0010296245870273393, -0.004509615686110831, 0.0032172605845656663, 0.0008527625711227827, -0.003084134215974243, 0.0021334699921445083, 0.0007154899788960135, -0.0019788826154810454, 0.0013823867184117125, 0.0005865056682566645, -0.0009968556246915125, 0.0010898250584405653, 0.000521027871579986, -0.0010970360591468463]","[0.3347798295847392, 0.0, -0.552112224438523, 0.0, 0.2727815464206218, 0.0, 0.00317287116938094, 0.0, -0.13707006517654682, 0.0, 0.10578677707526256, 0.0, 0.0031011925479340206, 0.0, -0.07632177735054131, 0.0, 0.06287963853136529, 0.0, 0.002971383102712299, 0.0, -0.05105044837066125, 0.0, 0.042626595658882084, 0.0, 0.002807551687861734, 0.0, -0.0367867586994026, 0.0, 0.030586125680582082, 0.0, 0.0025950419961969433, 0.0, -0.027412946129879136, 0.0, 0.022502129297358266, 0.0, 0.0023608100741546027, 0.0, -0.020720002015197348, 0.0, 0.016710978705802064, 0.0, 0.0020912535318545478, 0.0, -0.015682152265411267, 0.0, 0.012387351196363638, 0.0, 0.0018172480556047645, 0.0, -0.011800756939813136, 0.0, 0.009114069576735261, 0.0, 0.001529512464545417, 0.0, -0.008753323543757513, 0.0, 0.006599165853976976, 0.0, 0.0012682332133544614, 0.0, -0.006373907724613953, 0.0, 0.004684323839964484, 0.0, 0.0010296245870273393, 0.0, -0.004509615686110831, 0.0, 0.0032172605845656663, 0.0, 0.0008527625711227827, 0.0, -0.003084134215974243, 0.0, 0.0021334699921445083, 0.0, 0.0007154899788960135, 0.0, -0.0019788826154810454, 0.0, 0.0013823867184117125, 0.0, 0.0005865056682566645, 0.0, -0.0009968556246915125, 0.0, 0.0010898250584405653, 0.0, 0.000521027871579986, 0.0, -0.0010970360591468463]","[-0.7871512546545933, 0.004307889124783022, -0.005340020226880645, 0.00410247611219389, 0.00019463847585890929, -0.004004624877979974, 0.004227709426896822, 0.00021323215637861152, -0.005282958036087938, 0.005976042648484186, -0.0004667957849331841, -0.006436256127469672, 0.007741762316849142, -0.0008106673874512148, -0.00833687459339376, 0.010249420152465355, -0.0012911669923258758, -0.010856346971325054, 0.013640960006899846, -0.0021756173187384075, -0.013700356974168602, 0.01756518762320147, -0.0030074266362968153, -0.017352500274188984, 0.022304316233608706, -0.0037102513415591164, -0.022076549678244083, 0.02782783855249154, -0.003605568948345793, -0.028921682937512936, 0.03467924058292699, -0.002087148014216156, -0.03907718525127366, 0.04293100192518721, 0.003029037494673519, -0.05553048141426755, 0.05258130685084813, 0.016886004184834272, -0.08410190192761109, 0.05991964687303107, 0.05704096245530933, -0.13798719531220713, 0.035386404606121656, 0.202209936666389, -0.20385813286287296, -0.5035670676396389, 1.0864869031290891, -0.504074037165799, -0.20613085111023507, 0.20480407736320738, 0.03595234301190379, -0.14093376781169953, 0.05871952423852874, 0.06159350707467305, -0.08744493566672557, 0.018459843392484708, 0.05436664301414511, -0.05894517285060662, 0.004879629005025395, 0.04421328268057858, -0.042114558411050766, -0.00014071111557153733, 0.035464175410028144, -0.03152112519191099, -0.0016238759475829497, 0.028129356564983818, -0.024174565248958873, -0.0018165476897961264, 0.022228754742568406, -0.01895388526583598, -0.0013155197892123585, 0.01726779969854374, -0.014884568090714223, -0.000749172154283338, 0.013295457060478903, -0.011800415621069633, -5.5257050476373186e-05, 0.009924761599701562, -0.009220400436501438, 0.0004455829708855822, 0.007288129749549692, -0.007260843246727194, 0.0010452511872006292, 0.0048679057778141495, -0.0052365644687233535, 0.0009683685138671905, 0.0035305169944278925, -0.004062115965927953, 0.0010139556995985093, 0.00310028399530481, -0.004771900599715063, 0.004346385937668676, -0.7874909341685403]"
"128","7.0","0","128","16384","0.03486990928649902","3.558105230331421","0.00014330379684632325","0.00038296087064289833","[0.3348628998549739, -0.5524066179997479, 0.2732318154285033, 0.0030731676266876336, -0.13760704696166093, 0.1065660395055615, 0.003012831004314743, -0.07722816541266789, 0.0640034643092218, 0.002913362573451269, -0.05232614560335688, 0.04407423303424291, 0.002779550476509699, -0.0383894903226669, 0.03229969948052378, 0.00261408892557785, -0.029303241676139204, 0.02442883230484575, 0.002423888392992907, -0.02282706294459675, 0.018768701189877057, 0.002213311769293676, -0.017946696011695483, 0.01450895470749823, 0.001990559685497151, -0.014140523741582043, 0.011214866015883805, 0.001760710876422068, -0.011108337003495073, 0.008625796122617534, 0.0015322734787678036, -0.008667376025881614, 0.006577312020390672, 0.0013097842412264887, -0.006693362475126484, 0.004953503998744019, 0.0011003759206033496, -0.0051012578624673585, 0.00367338687860831, 0.0009059421870950911, -0.0038235449581912628, 0.0026719339280838806, 0.0007305486586927144, -0.002809762898664679, 0.0019007896018275825, 0.0005732560044703696, -0.002014293056590554, 0.0013159570031608617, 0.0004371157875441575, -0.0014022177897308114, 0.0008832819493614465, 0.00032187936361129, -0.0009400986093530026, 0.0005693472288336161, 0.00023179617784721107, -0.0006026775017981137, 0.00034973217449606945, 0.0001659351986755326, -0.00036255350422841813, 0.000205095672685678, 0.00011784362484676204, -0.00017858044248557183, 0.00013255963353993352, 8.71231853941406e-05, -0.00013013818516413394]","[0.3348628998549739, 0.0, -0.5524066179997479, 0.0, 0.2732318154285033, 0.0, 0.0030731676266876336, 0.0, -0.13760704696166093, 0.0, 0.1065660395055615, 0.0, 0.003012831004314743, 0.0, -0.07722816541266789, 0.0, 0.0640034643092218, 0.0, 0.002913362573451269, 0.0, -0.05232614560335688, 0.0, 0.04407423303424291, 0.0, 0.002779550476509699, 0.0, -0.0383894903226669, 0.0, 0.03229969948052378, 0.0, 0.00261408892557785, 0.0, -0.029303241676139204, 0.0, 0.02442883230484575, 0.0, 0.002423888392992907, 0.0, -0.02282706294459675, 0.0, 0.018768701189877057, 0.0, 0.002213311769293676, 0.0, -0.017946696011695483, 0.0, 0.01450895470749823, 0.0, 0.001990559685497151, 0.0, -0.014140523741582043, 0.0, 0.011214866015883805, 0.0, 0.001760710876422068, 0.0, -0.011108337003495073, 0.0, 0.008625796122617534, 0.0, 0.0015322734787678036, 0.0, -0.008667376025881614, 0.0, 0.006577312020390672, 0.0, 0.0013097842412264887, 0.0, -0.006693362475126484, 0.0, 0.004953503998744019, 0.0, 0.0011003759206033496, 0.0, -0.0051012578624673585, 0.0, 0.00367338687860831, 0.0, 0.0009059421870950911, 0.0, -0.0038235449581912628, 0.0, 0.0026719339280838806, 0.0, 0.0007305486586927144, 0.0, -0.002809762898664679, 0.0, 0.0019007896018275825, 0.0, 0.0005732560044703696, 0.0, -0.002014293056590554, 0.0, 0.0013159570031608617, 0.0, 0.0004371157875441575, 0.0, -0.0014022177897308114, 0.0, 0.0008832819493614465, 0.0, 0.00032187936361129, 0.0, -0.0009400986093530026, 0.0, 0.0005693472288336161, 0.0, 0.00023179617784721107, 0.0, -0.0006026775017981137, 0.0, 0.00034973217449606945, 0.0, 0.0001659351986755326, 0.0, -0.00036255350422841813, 0.0, 0.000205095672685678, 0.0, 0.00011784362484676204, 0.0, -0.00017858044248557183, 0.0, 0.00013255963353993352, 0.0, 8.71231853941406e-05, 0.0, -0.00013013818516413394]","[-0.7856885168758132, 0.0009348047696523639, -0.001566694045729014, 0.001718303980344708, -0.0008799695573704159, -0.0005548837241546898, 0.0015678751101414394, -0.001127851393353986, -0.0005845073172410889, 0.002114108617905116, -0.001797884419127376, -0.00044300807964302037, 0.0026844195936081235, -0.0025156435464044483, -0.0004172958311661907, 0.0035788355494775527, -0.0035912738328291107, -0.00025462540824125446, 0.0046600732591144, -0.005010768066154855, 0.00011464964712562226, 0.005821163762935582, -0.006654055871415214, 0.000563596448338343, 0.007180398077937719, -0.008598018330007642, 0.0011047288048692788, 0.008765700750695144, -0.010842954735381882, 0.001653061182866225, 0.010733691627194035, -0.013533475232073976, 0.002264667004364425, 0.013101770539685451, -0.01665737935109581, 0.002814397865032989, 0.016060502079565005, -0.020311807279859578, 0.003202600655288274, 0.01979733252416744, -0.02450387034228419, 0.0031055377393390056, 0.02475848667110697, -0.029348168878573486, 0.002082219014110382, 0.03154300521767718, -0.03481715285719278, -0.0008389645412518349, 0.041256948584425614, -0.04072973759709487, -0.007514513149430051, 0.05561041925599871, -0.045868064585033126, -0.022313401323305688, 0.07748604731137326, -0.045589590248307464, -0.056020559600691196, 0.10969702521205275, -0.019631477862476182, -0.13864143893274716, 0.1330295976821459, 0.14686727645072312, -0.317447912620635, -0.46670422078753193, 1.2202128073285672, -0.46703622417886204, -0.318671936143671, 0.14774795039424085, 0.13389412803289788, -0.13993245012526093, -0.019723399269343928, 0.11114134356195055, -0.05716098623198366, -0.04601655948465563, 0.07898943125129951, -0.02330611449250923, -0.046343180342467594, 0.05695835534203509, -0.008311721475443857, -0.04125448622416495, 0.04251034395042847, -0.0015441728176343386, -0.03532781269481757, 0.03272056050204577, 0.0013993416481794675, -0.029787387073447556, 0.02585196437557498, 0.0024117921898894976, -0.024826589707093394, 0.020772100840345125, 0.002516316398879678, -0.02052230829073661, 0.016909267149828613, 0.0021501528054167435, -0.016767266730649218, 0.013820242549554098, 0.0016484086382044913, -0.013582957877228945, 0.01136091031724507, 0.0010587079004948329, -0.010820339656490457, 0.009299757305460196, 0.0005256327225623129, -0.00848267881911787, 0.007582189642355347, 4.979145879855761e-05, -0.006485170185548045, 0.006095070983485395, -0.00029590110293704983, -0.004849736196253293, 0.004853416197381156, -0.0005606551352787915, -0.003498246750330138, 0.0037891342062476357, -0.0007093598090463733, -0.002455893192907555, 0.0029689648344467996, -0.0008839522387797468, -0.0015145238756726252, 0.002155055838307058, -0.0008411787543502879, -0.0009258064973316044, 0.0016176193002343494, -0.0008336175836476811, -0.0005644896402667686, 0.0015500973258641994, -0.0015822891847873252, 0.0010285830307898665, -0.7857312942878638]"
"182","7.5","0","182","16384","0.29715991020202637","3.538287878036499","5.810849614151792e-06","0.0002443444697075549","[0.33428372552691044, -0.5519570055621645, 0.27407283189958603, 0.0018923408560444434, -0.1374939627450198, 0.10773102645817464, 0.0018638615389009398, -0.07746487187925666, 0.06546984123648192, 0.0018172884565786822, -0.05290071763596566, 0.04580711735470901, 0.0017538497478908248, -0.03927723876586125, 0.034254648778209586, 0.0016752761327171364, -0.030472072982377692, 0.026557527033348766, 0.001583583054770879, -0.024235731125343444, 0.0210177184456796, 0.0014811358802563075, -0.019549922055602208, 0.016825345106143245, 0.0013704146098974992, -0.015887567712843345, 0.013545001797395801, 0.0012540687177922088, -0.012948665321407397, 0.010921138540504902, 0.001134669566931073, -0.010549301402555365, 0.008792762837640763, 0.0010147697112303103, -0.008569687995397523, 0.007052327995972351, 0.0008966718760289363, -0.006927327282140476, 0.005623975639780422, 0.0007825208226639769, -0.005562597412473668, 0.004451700788041046, 0.0006740904016429629, -0.004430233411938265, 0.0034922341659197284, 0.0005728969124786727, -0.0034945080507783276, 0.0027110251332848794, 0.00048000699250681577, -0.0027260335794243758, 0.0020795087263771918, 0.0003962002895783137, -0.0021000609387396827, 0.001573673936454565, 0.00032181775204651714, -0.0015951587697665183, 0.0011728812215682438, 0.0002569657541724996, -0.001192660651347337, 0.0008593775492043731, 0.00020138637883055502, -0.0008760253204843071, 0.0006176592966261687, 0.0001546898362224544, -0.0006307283321644045, 0.0004343524948462333, 0.00011622318001574991, -0.00044389731041476503, 0.000297843435828681, 8.527295890246075e-05, -0.0003043795712397552, 0.00019835605320531102, 6.089311976621442e-05, -0.00020242151881994888, 0.00012762473713215567, 4.213791045715684e-05, -0.00012979204760439576, 7.884406824819917e-05, 2.799732834706336e-05, -7.952551747977912e-05, 4.632906302446839e-05, 1.7781363723395716e-05, -4.5993363631766894e-05, 2.5531350245508438e-05, 1.0938402424998924e-05, -2.4692833052478904e-05, 1.2979994118613047e-05, 6.606279913966572e-06, -1.1135748371208081e-05, 6.219333148936746e-06, 3.2545642236412887e-06, -6.141763333303457e-06]","[0.33428372552691044, 0.0, -0.5519570055621645, 0.0, 0.27407283189958603, 0.0, 0.0018923408560444434, 0.0, -0.1374939627450198, 0.0, 0.10773102645817464, 0.0, 0.0018638615389009398, 0.0, -0.07746487187925666, 0.0, 0.06546984123648192, 0.0, 0.0018172884565786822, 0.0, -0.05290071763596566, 0.0, 0.04580711735470901, 0.0, 0.0017538497478908248, 0.0, -0.03927723876586125, 0.0, 0.034254648778209586, 0.0, 0.0016752761327171364, 0.0, -0.030472072982377692, 0.0, 0.026557527033348766, 0.0, 0.001583583054770879, 0.0, -0.024235731125343444, 0.0, 0.0210177184456796, 0.0, 0.0014811358802563075, 0.0, -0.019549922055602208, 0.0, 0.016825345106143245, 0.0, 0.0013704146098974992, 0.0, -0.015887567712843345, 0.0, 0.013545001797395801, 0.0, 0.0012540687177922088, 0.0, -0.012948665321407397, 0.0, 0.010921138540504902, 0.0, 0.001134669566931073, 0.0, -0.010549301402555365, 0.0, 0.008792762837640763, 0.0, 0.0010147697112303103, 0.0, -0.008569687995397523, 0.0, 0.007052327995972351, 0.0, 0.0008966718760289363, 0.0, -0.006927327282140476, 0.0, 0.005623975639780422, 0.0, 0.0007825208226639769, 0.0, -0.005562597412473668, 0.0, 0.004451700788041046, 0.0, 0.0006740904016429629, 0.0, -0.004430233411938265, 0.0, 0.0034922341659197284, 0.0, 0.0005728969124786727, 0.0, -0.0034945080507783276, 0.0, 0.0027110251332848794, 0.0, 0.00048000699250681577, 0.0, -0.0027260335794243758, 0.0, 0.0020795087263771918, 0.0, 0.0003962002895783137, 0.0, -0.0021000609387396827, 0.0, 0.001573673936454565, 0.0, 0.00032181775204651714, 0.0, -0.0015951587697665183, 0.0, 0.0011728812215682438, 0.0, 0.0002569657541724996, 0.0, -0.001192660651347337, 0.0, 0.0008593775492043731, 0.0, 0.00020138637883055502, 0.0, -0.0008760253204843071, 0.0, 0.0006176592966261687, 0.0, 0.0001546898362224544, 0.0, -0.0006307283321644045, 0.0, 0.0004343524948462333, 0.0, 0.00011622318001574991, 0.0, -0.00044389731041476503, 0.0, 0.000297843435828681, 0.0, 8.527295890246075e-05, 0.0, -0.0003043795712397552, 0.0, 0.00019835605320531102, 0.0, 6.089311976621442e-05, 0.0, -0.00020242151881994888, 0.0, 0.00012762473713215567, 0.0, 4.213791045715684e-05, 0.0, -0.00012979204760439576, 0.0, 7.884406824819917e-05, 0.0, 2.799732834706336e-05, 0.0, -7.952551747977912e-05, 0.0, 4.632906302446839e-05, 0.0, 1.7781363723395716e-05, 0.0, -4.5993363631766894e-05, 0.0, 2.5531350245508438e-05, 0.0, 1.0938402424998924e-05, 0.0, -2.4692833052478904e-05, 0.0, 1.2979994118613047e-05, 0.0, 6.606279913966572e-06, 0.0, -1.1135748371208081e-05, 0.0, 6.219333148936746e-06, 0.0, 3.2545642236412887e-06, 0.0, -6.141763333303457e-06]","[-0.7854211867627524, 9.137567675694723e-05, -0.00020018522892655045, 0.00029481545398664616, -0.00027835711636244525, 0.00010152985224905806, 0.00016154485256292443, -0.00031645748594233517, 0.00019784050441439335, 0.00015142777067510537, -0.00044293289267713137, 0.000361237118775084, 0.00011451628174297834, -0.0005943678105989252, 0.0005715860342811903, 6.848729411361969e-05, -0.0008113860939209542, 0.000893137739723574, -5.483631417085698e-05, -0.0010455928887059991, 0.0013076044590591403, -0.0002599065127348295, -0.0012839963851769584, 0.0017999037795790153, -0.0005241419739673229, -0.0015639499180760776, 0.0024182905099808484, -0.0008902665326348256, -0.001864451330469013, 0.0031642248323557557, -0.0013655229816155144, -0.002192447348711591, 0.00406500760723713, -0.001986284381304085, -0.002518206897026831, 0.005101717790092205, -0.0027346745261598955, -0.0028689696114969107, 0.006308045591505708, -0.003636246975898823, -0.003236955055799784, 0.0076852093406307885, -0.004680470110081526, -0.003655235343519282, 0.00927546824469191, -0.00589293806789247, -0.004124789526172813, 0.011085530864008123, -0.007253545456728623, -0.004699483556689505, 0.013169410106360448, -0.008772919636213903, -0.005414747185836921, 0.015555385821693971, -0.010411574581354712, -0.006374522732342507, 0.018329505526307445, -0.012151822355675202, -0.00768725895124611, 0.021564930929120485, -0.013910232930427808, -0.009560851089831582, 0.025398886750587605, -0.015581691218100598, -0.012271408575645234, 0.02996979675304545, -0.016924421979104588, -0.01628717324360301, 0.0354696371190483, -0.01751503658359808, -0.02231485929854314, 0.042039790271118815, -0.01647240792420188, -0.0315243854966371, 0.049646086354478695, -0.012013571457361623, -0.04575246735030901, 0.05742691270006531, -0.00023629694210327147, -0.06775003574491247, 0.06166575915651555, 0.0276661487990998, -0.09993032384931344, 0.04788867831797583, 0.09180587995494797, -0.13135726290139058, -0.04272680732453347, 0.21960384164359417, -0.007806014246834356, -0.42150250257714167, -0.3792033181803484, 1.3608029680632003, -0.3793122887063957, -0.42272002481848703, -0.008028968624609202, 0.2212524370142513, -0.043006881655608065, -0.13314890997478343, 0.09329820568613072, 0.048727528217806446, -0.10214015536954145, 0.02859501548036374, 0.06314191404678013, -0.06996989985863188, 0.0002491151310090524, 0.05921107887438884, -0.0478872100357273, -0.011775970189416243, 0.05151709456498976, -0.033540927876550934, -0.01635905608592034, 0.04389108507035125, -0.024229469444885746, -0.017428639854150177, 0.03722917653856675, -0.018105243609632577, -0.016817050274776507, 0.03161139912995799, -0.014014772103556223, -0.015408124242511277, 0.02689233912679261, -0.011228649868083381, -0.013656633061868635, 0.022903747479604795, -0.009290058944266127, -0.011795149838537055, 0.01948727465757664, -0.007888948243955873, -0.009968631436099756, 0.01654033342455175, -0.0068421186527169026, -0.008241669684315014, 0.013968897220765086, -0.0060132568191783925, -0.006665973150195337, 0.011722402325946625, -0.005330935876533375, -0.005252801772777049, 0.009746835510326802, -0.004733527230245371, -0.004020204133553049, 0.00801946359913137, -0.004199865017282566, -0.0029552485424579286, 0.006500165561649358, -0.0036942431799151247, -0.002068891905514554, 0.005183848251524433, -0.003218608452396384, -0.0013411414559351712, 0.004042742030382669, -0.0027539049212960483, -0.0007797099863052284, 0.0030872459100558156, -0.0023275050770442353, -0.0003424642647874495, 0.0022781149475879763, -0.0019186077151757029, -3.368248184138911e-05, 0.00161989718430663, -0.0015462663263283818, 0.00017783953433671154, 0.001084591918522866, -0.0011970295354218454, 0.00028789797365350885, 0.0006842440194204947, -0.000901972613811399, 0.0003393170496529691, 0.0003849373931242755, -0.0006517340457875308, 0.0003439694309359005, 0.00017209670309338757, -0.0004452255981809239, 0.0003133161128865001, 3.791636064431973e-05, -0.00029268349613842333, 0.0002712758550139464, -2.8020195626755832e-05, -0.0002364940079791965, 0.00035035697992797136, -0.0002751135331306761, 0.00010580048003246968, -0.7853661050450191]"
