"degree","exp2","parity","npts","N_weiss","time_fit","time_qsp","max_error_poly","max_error_qsp","max_error_poly_uniform_1000","max_error_qsp_uniform_1000","constraint_violated","constraint_max_abs","constraint_margin","qsp_constraint_max_abs","qsp_reconstruction_residual","coef","coef_full","phi_proc"
"31","5.0","1","524288","16384","222.42459106445312","3.9860479831695557","0.013967263464930268","0.014000202308272591","0.013967263464928159","0.0140002023082747","True","1.000034050421647","-3.405042164694727e-05","0.9999999199438915","6.689093723366568e-15","[0.017612810860244694, -0.05521357835349053, 0.10058696310509117, -0.14268718363303615, 0.16117397069723588, -0.16394638485527532, 0.16855877522592422, -0.15613780544709835, 0.09968292668874609, 0.0206059167282883, -0.19159742694472198, 0.30160520364241683, -0.18722034273580815, -0.16332920765903763, 0.4308637352291672, 0.2109078480964556]","[0.0, 0.017612810860244694, 0.0, -0.05521357835349053, 0.0, 0.10058696310509117, 0.0, -0.14268718363303615, 0.0, 0.16117397069723588, 0.0, -0.16394638485527532, 0.0, 0.16855877522592422, 0.0, -0.15613780544709835, 0.0, 0.09968292668874609, 0.0, 0.0206059167282883, 0.0, -0.19159742694472198, 0.0, 0.30160520364241683, 0.0, -0.18722034273580815, 0.0, -0.16332920765903763, 0.0, 0.4308637352291672, 0.0, 0.2109078480964556]","[0.14153141961136242, 0.23640193633059758, -0.184766223668345, -0.04339475956691988, 0.21277842744932113, -0.2114999131683345, 0.09256370790280034, 0.033854867322194976, -0.10925771114080467, 0.13023040501351785, -0.12671562110637533, 0.1263466766172036, -0.11969454995637419, 0.09368211419858916, -0.05683836383382037, 0.018984082943809773, 0.018976468152228754, -0.05683673179968815, 0.0936857874565273, -0.11969664335217274, 0.12634183075309732, -0.1267065516439682, 0.13022554414062626, -0.10926245200098623, 0.033865876082342865, 0.09255509949480917, -0.2114989369773927, 0.21278169879149528, -0.04339562774809612, -0.18476833484168503, 0.23640247248001475, 0.14152806618512168]"
"45","5.5","1","524288","16384","272.6077239513397","3.8542935848236084","0.009194523516818265","0.009496451314998655","0.009194523516820707","0.009496451314997878","True","1.0003170064430953","-0.00031700644309529125","0.9999997670269366","1.3933298959045715e-14","[0.02000214596979663, -0.0599913263021881, 0.09627656325072516, -0.12341103887594503, 0.14040981726247528, -0.14687400973658177, 0.1387189027390425, -0.11194558548423454, 0.07573669927888473, -0.03043660656469334, -0.027899204262003426, 0.07751247869248178, -0.10772713799301264, 0.12665884498143964, -0.10836462892568106, 0.03628333475986572, 0.053375612145965826, -0.14088147513641228, 0.24067342076374107, -0.2173488962637306, -0.16692408426374053, 0.6212082815001011, 0.3808831977796409]","[0.0, 0.02000214596979663, 0.0, -0.0599913263021881, 0.0, 0.09627656325072516, 0.0, -0.12341103887594503, 0.0, 0.14040981726247528, 0.0, -0.14687400973658177, 0.0, 0.1387189027390425, 0.0, -0.11194558548423454, 0.0, 0.07573669927888473, 0.0, -0.03043660656469334, 0.0, -0.027899204262003426, 0.0, 0.07751247869248178, 0.0, -0.10772713799301264, 0.0, 0.12665884498143964, 0.0, -0.10836462892568106, 0.0, 0.03628333475986572, 0.0, 0.053375612145965826, 0.0, -0.14088147513641228, 0.0, 0.24067342076374107, 0.0, -0.2173488962637306, 0.0, -0.16692408426374053, 0.0, 0.6212082815001011, 0.0, 0.3808831977796409]","[0.29981922616588347, 0.38284381469663314, -0.26412444426826037, -0.10758859142934994, 0.21168373843535437, -0.13076514775599263, 0.07691372971471996, -0.026317680983656288, -0.05553790466739249, 0.09788691110520452, -0.09005869838798237, 0.08139778196425783, -0.058928758623844835, 0.010357716579951715, 0.03221233942767336, -0.06331477488797856, 0.0942378696839253, -0.1137157417877647, 0.11437040490783067, -0.10332190088187707, 0.08372837400949068, -0.05277520352707458, 0.017254684510320174, 0.01722043751515429, -0.05274462061037622, 0.08370145682604382, -0.10330819265365335, 0.11437825808927349, -0.11372911579397557, 0.09423978051484891, -0.06331890259201617, 0.03223473948188274, 0.010328755019482988, -0.05890473182562877, 0.08137289016009933, -0.09003619878435518, 0.0978766724864632, -0.05553235363965513, -0.026322267031872112, 0.07689987824456528, -0.1307335654631169, 0.21166073234588673, -0.10757245520699552, -0.2641488561259198, 0.38284413173189896, 0.2998215677608254]"
"63","6.0","1","524288","16384","338.0321066379547","3.9813671112060547","0.005474544411533611","0.005557533894767097","0.005474544411532611","0.005557533894767652","True","1.0000710696396384","-7.106963963843249e-05","0.9999998134974376","7.216449660063518e-15","[0.020339207733734595, -0.061503412203779244, 0.09756664653155003, -0.12018943351912248, 0.1287269135968852, -0.12737352757172127, 0.1185545967602962, -0.0985677617674275, 0.06881548494852902, -0.0377476297912074, 0.005721484547666372, 0.029606612214540782, -0.06313333519709881, 0.08525270045617053, -0.08808010482505106, 0.07265051741088022, -0.04000969207698594, -0.010500615586541936, 0.0661213025890251, -0.10536695851000381, 0.11316662481015938, -0.08501837841591649, 0.02493588264353425, 0.054150134223355476, -0.12298191082003979, 0.14512878771767, -0.10039916088410811, -0.0007655520212979703, 0.11937865709575934, -0.18601313486810023, 0.10703742959830755, 0.2099086997328315]","[0.0, 0.020339207733734595, 0.0, -0.061503412203779244, 0.0, 0.09756664653155003, 0.0, -0.12018943351912248, 0.0, 0.1287269135968852, 0.0, -0.12737352757172127, 0.0, 0.1185545967602962, 0.0, -0.0985677617674275, 0.0, 0.06881548494852902, 0.0, -0.0377476297912074, 0.0, 0.005721484547666372, 0.0, 0.029606612214540782, 0.0, -0.06313333519709881, 0.0, 0.08525270045617053, 0.0, -0.08808010482505106, 0.0, 0.07265051741088022, 0.0, -0.04000969207698594, 0.0, -0.010500615586541936, 0.0, 0.0661213025890251, 0.0, -0.10536695851000381, 0.0, 0.11316662481015938, 0.0, -0.08501837841591649, 0.0, 0.02493588264353425, 0.0, 0.054150134223355476, 0.0, -0.12298191082003979, 0.0, 0.14512878771767, 0.0, -0.10039916088410811, 0.0, -0.0007655520212979703, 0.0, 0.11937865709575934, 0.0, -0.18601313486810023, 0.0, 0.10703742959830755, 0.0, 0.2099086997328315]","[0.12248458677987385, 0.03265950166407367, -0.10378919157195539, 0.09956807188239006, -0.04505269134422932, -0.027407293660644805, 0.0863259773488731, -0.1074686606980256, 0.08523243452708512, -0.03355959332116298, -0.02628516171991385, 0.07533575452343731, -0.09806538390235994, 0.08746590456756721, -0.050032478833913846, 0.002842648479177655, 0.038466035180480404, -0.06622023894425791, 0.07529936980597933, -0.06478313079825078, 0.04182993099505138, -0.015654735521213027, -0.008265013183448572, 0.030846016674326484, -0.05340561390499328, 0.07293116765640073, -0.08838193655916882, 0.09933991326178175, -0.10082745209570695, 0.08733538913703967, -0.05829898865472947, 0.020139153819221524, 0.020142648988380207, -0.05830042186813087, 0.08733330485013333, -0.10082162037505159, 0.09933152663388654, -0.08837313527216964, 0.0729242340216349, -0.05340232118943688, 0.030847273190067706, -0.008270722989753537, -0.015645549301630885, 0.04181878352991378, -0.06477175203627045, 0.07528946373828935, -0.06621321163443114, 0.03846272919312808, 0.0028419958802849594, -0.05002805644885268, 0.08745826716392488, -0.09805557009315949, 0.07532517907670012, -0.026275233049602206, -0.03356764697994335, 0.08523743227335084, -0.10746955289717211, 0.08632233282519802, -0.02739960625453175, -0.04506311482852509, 0.09957922575964526, -0.10379879652600615, 0.032666288446429985, 0.12247983431104463]"
"91","6.5","1","524288","16384","494.19596886634827","3.9832491874694824","0.004185301084372428","0.0044358503862482745","0.004185301084372317","0.004435850386250939","True","1.0002752962811992","-0.0002752962811991555","0.9999999553802532","1.3655743202889425e-14","[0.021254012878005792, -0.06112742979608347, 0.09372097443562753, -0.11645945958989508, 0.1277295170810021, -0.12597626654962268, 0.11245311617995732, -0.09079618314414031, 0.06387677730854503, -0.033869574048867125, 0.0038960046260095894, 0.022489064582038764, -0.04317827791213254, 0.057130180066305866, -0.06269156247043509, 0.05778537521692698, -0.0420102567507364, 0.017870877673612225, 0.010968816354885525, -0.04028381461552701, 0.06333804028732268, -0.0726426476852972, 0.06441724608230288, -0.039368492860613225, 0.0019526443319313053, 0.0393052858231924, -0.07297121437298022, 0.08751614726522136, -0.07636193206110305, 0.04159795422531868, 0.007949384826967667, -0.05847686008927, 0.0926755452282498, -0.09624973090577325, 0.06528231800881845, -0.00899489239330891, -0.05289344008296669, 0.09606493947365889, -0.09972031157006069, 0.05707246753217306, 0.015870548950047872, -0.08133689450357177, 0.09551642276952144, -0.03721405984585838, -0.054746102283833885, 0.03614104616562582]","[0.0, 0.021254012878005792, 0.0, -0.06112742979608347, 0.0, 0.09372097443562753, 0.0, -0.11645945958989508, 0.0, 0.1277295170810021, 0.0, -0.12597626654962268, 0.0, 0.11245311617995732, 0.0, -0.09079618314414031, 0.0, 0.06387677730854503, 0.0, -0.033869574048867125, 0.0, 0.0038960046260095894, 0.0, 0.022489064582038764, 0.0, -0.04317827791213254, 0.0, 0.057130180066305866, 0.0, -0.06269156247043509, 0.0, 0.05778537521692698, 0.0, -0.0420102567507364, 0.0, 0.017870877673612225, 0.0, 0.010968816354885525, 0.0, -0.04028381461552701, 0.0, 0.06333804028732268, 0.0, -0.0726426476852972, 0.0, 0.06441724608230288, 0.0, -0.039368492860613225, 0.0, 0.0019526443319313053, 0.0, 0.0393052858231924, 0.0, -0.07297121437298022, 0.0, 0.08751614726522136, 0.0, -0.07636193206110305, 0.0, 0.04159795422531868, 0.0, 0.007949384826967667, 0.0, -0.05847686008927, 0.0, 0.0926755452282498, 0.0, -0.09624973090577325, 0.0, 0.06528231800881845, 0.0, -0.00899489239330891, 0.0, -0.05289344008296669, 0.0, 0.09606493947365889, 0.0, -0.09972031157006069, 0.0, 0.05707246753217306, 0.0, 0.015870548950047872, 0.0, -0.08133689450357177, 0.0, 0.09551642276952144, 0.0, -0.03721405984585838, 0.0, -0.054746102283833885, 0.0, 0.03614104616562582]","[0.020342829201230515, -0.035002723099633294, -0.011500950207493301, 0.052070241742552946, -0.05865425266639026, 0.031215790714057556, 0.013290789095616944, -0.053070432238255874, 0.0713933021879479, -0.06188679232718169, 0.029041970460514113, 0.014866112077480407, -0.05433178763560127, 0.07567729531571317, -0.07202073814020918, 0.045703079753902885, -0.006100725651028349, -0.034660379303904996, 0.06441364005735564, -0.07429087837409257, 0.06254725780562792, -0.03441840167513843, -0.0009331117719295184, 0.033629185649639945, -0.055531760937311526, 0.0617698031892727, -0.05238689974740061, 0.032191808593997284, -0.007519848516363579, -0.01614690060279556, 0.034307459962161294, -0.04423558718195749, 0.04588851289464405, -0.04089512693759149, 0.03079255327941521, -0.016298562924775033, -0.0020149096728631884, 0.023154395205548094, -0.04596517612144799, 0.06872093162136975, -0.08793913917437596, 0.09863961545296049, -0.0970366385115909, 0.08214052965095865, -0.05510396533720177, 0.019408565390064945, 0.0193792143618984, -0.05507777207000566, 0.0821206611143161, -0.09702584641131909, 0.09863948637426684, -0.08794958819059906, 0.06874026527863762, -0.045990525308681876, 0.023182207529085636, -0.002041385627872714, -0.016277070498028175, 0.030779104004696686, -0.04089166418545149, 0.045895345472386, -0.04425115582570059, 0.03432860659032401, -0.01616958424436595, -0.007499688888379278, 0.032177487805562066, -0.05238037360076772, 0.06177131185438681, -0.05553993143973947, 0.03364163270136087, -0.0009472625741336233, -0.03440467314957301, 0.06253540289278584, -0.07428174686387504, 0.06440768233810833, -0.03465790560991042, -0.006099337500969421, 0.045697403973945845, -0.0720106674281397, 0.07566360694624324, -0.05431642590622194, 0.014851912019613387, 0.029051875142581125, -0.06188972716208082, 0.071388050747108, -0.05305804476667622, 0.013274471618512779, 0.031231708160276123, -0.05866582457306972, 0.05207560800125831, -0.01150130279052166, -0.03500435613217057, 0.020345793890896382]"
"127","7.0","1","524288","16384","684.5193901062012","3.999268054962158","0.003007518669705611","0.003321032553603498","0.0030075186697022804","0.0033210325536060514","True","1.0003408030246757","-0.00034080302467565105","0.9999999762930178","1.509903313490213e-14","[0.020091422135501635, -0.057715701384393296, 0.08841934125840094, -0.11054900182513161, 0.12309249576784359, -0.12331008319703664, 0.11108313288103026, -0.09095451149501821, 0.06572141102697968, -0.03570834340984166, 0.0055368777817012965, 0.020322230115263764, -0.0402746311380856, 0.05217603958959202, -0.055902531037406555, 0.05008938138457562, -0.03440709555051591, 0.014779891908990437, 0.005326143910369699, -0.025157455995186866, 0.04006977519808879, -0.045693145528449365, 0.04188285948701752, -0.031011696931253878, 0.015520658905031163, 0.002599493866947104, -0.020174704531236487, 0.033211956518192344, -0.038928506706505044, 0.03803735260798918, -0.03202423143157736, 0.018989022254411805, -0.0009231805322491861, -0.016733961246369514, 0.032578828959992284, -0.044199397864075, 0.047646599450575866, -0.04051657160827504, 0.021829593153758646, 0.004326109065953651, -0.031205869766098113, 0.05431891318554545, -0.06684717504679225, 0.0603540293023046, -0.03476364081959006, -0.0030103021979563803, 0.04375089280348402, -0.075710781617175, 0.08718128409977399, -0.07037589336681169, 0.027082765852063144, 0.02975075263226326, -0.0806458508036483, 0.10668512716445282, -0.0944860699303254, 0.04026658787903281, 0.03906933179891603, -0.10845921246997577, 0.13134907453060013, -0.08271352068883907, -0.03197771366047605, 0.15256462086126776, -0.15340341196035884, -0.15928809191844479]","[0.0, 0.020091422135501635, 0.0, -0.057715701384393296, 0.0, 0.08841934125840094, 0.0, -0.11054900182513161, 0.0, 0.12309249576784359, 0.0, -0.12331008319703664, 0.0, 0.11108313288103026, 0.0, -0.09095451149501821, 0.0, 0.06572141102697968, 0.0, -0.03570834340984166, 0.0, 0.0055368777817012965, 0.0, 0.020322230115263764, 0.0, -0.0402746311380856, 0.0, 0.05217603958959202, 0.0, -0.055902531037406555, 0.0, 0.05008938138457562, 0.0, -0.03440709555051591, 0.0, 0.014779891908990437, 0.0, 0.005326143910369699, 0.0, -0.025157455995186866, 0.0, 0.04006977519808879, 0.0, -0.045693145528449365, 0.0, 0.04188285948701752, 0.0, -0.031011696931253878, 0.0, 0.015520658905031163, 0.0, 0.002599493866947104, 0.0, -0.020174704531236487, 0.0, 0.033211956518192344, 0.0, -0.038928506706505044, 0.0, 0.03803735260798918, 0.0, -0.03202423143157736, 0.0, 0.018989022254411805, 0.0, -0.0009231805322491861, 0.0, -0.016733961246369514, 0.0, 0.032578828959992284, 0.0, -0.044199397864075, 0.0, 0.047646599450575866, 0.0, -0.04051657160827504, 0.0, 0.021829593153758646, 0.0, 0.004326109065953651, 0.0, -0.031205869766098113, 0.0, 0.05431891318554545, 0.0, -0.06684717504679225, 0.0, 0.0603540293023046, 0.0, -0.03476364081959006, 0.0, -0.0030103021979563803, 0.0, 0.04375089280348402, 0.0, -0.075710781617175, 0.0, 0.08718128409977399, 0.0, -0.07037589336681169, 0.0, 0.027082765852063144, 0.0, 0.02975075263226326, 0.0, -0.0806458508036483, 0.0, 0.10668512716445282, 0.0, -0.0944860699303254, 0.0, 0.04026658787903281, 0.0, 0.03906933179891603, 0.0, -0.10845921246997577, 0.0, 0.13134907453060013, 0.0, -0.08271352068883907, 0.0, -0.03197771366047605, 0.0, 0.15256462086126776, 0.0, -0.15340341196035884, 0.0, -0.15928809191844479]","[-0.09145019091486, -0.06797702741055234, 0.09304239645089826, -0.045606604736244116, -0.02130237318275498, 0.07009125090748589, -0.08298990464978857, 0.059283995355827124, -0.01204184177670618, -0.03747071426351692, 0.07088102719289278, -0.07865380993815864, 0.05946374382323311, -0.021034889466309988, -0.02256290521368692, 0.05663162864495067, -0.07123511521384553, 0.06382649576783034, -0.03858778683098807, 0.004282194282028372, 0.028795892909665582, -0.0507008120070177, 0.05623919485324958, -0.04738375409591946, 0.028427267572810853, -0.004489160722173599, -0.01743098293640094, 0.032034973839893385, -0.03779813707580241, 0.0353524249320007, -0.02719813330665829, 0.01547730853948343, -0.0016908357854780803, -0.010782254123449601, 0.02039426733933106, -0.02757593978859591, 0.03073407260534731, -0.028294633965139957, 0.020492613906867175, -0.008681870299846422, -0.005412891415598868, 0.019792412850418602, -0.03144063448106112, 0.03694508578032227, -0.034389537627621855, 0.024878081632469472, -0.010759910908304183, -0.00672156347516945, 0.024301464238871934, -0.03703540852518037, 0.043256759894143335, -0.04234901917671458, 0.03364960631489228, -0.01807738634232465, -0.0032796595212767404, 0.027464041350010286, -0.05100150379795131, 0.07220485223347888, -0.08774660874075152, 0.09331609211290734, -0.08761667402731602, 0.07184192994191005, -0.04736266385475782, 0.01655374067035987, 0.016518851043833042, -0.04733156161503921, 0.07181858418067243, -0.08760482739296004, 0.0933182351631391, -0.0877629477121639, 0.07223290857755672, -0.051036479080593486, 0.02749974849261698, -0.0033097885275690697, -0.018058014841144696, 0.03364399344652505, -0.04235722265018324, 0.04327580256049458, -0.03706009548264545, 0.02432590676779602, -0.0067408587073603, -0.010748607731589074, 0.02487526559099119, -0.034393608752679515, 0.03695319179725927, -0.03144988698014039, 0.019800858116054473, -0.005419844873000622, -0.008676088263006409, 0.020487281179257168, -0.028289300953737516, 0.03072904743054236, -0.02757233809824016, 0.02039353853413913, -0.010785432943633853, -0.0016836573157641322, 0.015467141362026511, -0.027186969470333177, 0.035342679054699684, -0.03779182027977656, 0.03203308610507101, -0.01743335009040124, -0.004483581921927737, 0.028419856969950898, -0.04737577167587914, 0.05623145001581482, -0.050693615823036366, 0.028789449520609744, 0.004287299158858736, -0.03859039193020484, 0.06382507194767777, -0.0712284325728575, 0.05661964066098572, -0.022547310345730157, -0.021050698303746354, 0.059475343987765175, -0.07865710649234312, 0.07087404450918318, -0.037454772810396365, -0.01206227856162565, 0.05930257394651258, -0.08300055916547643, 0.07009096217764553, -0.021292924829497534, -0.04561930616190481, 0.09305141536192729, -0.06797977432529323, -0.09144541317191093]"
"181","7.5","1","524288","16384","1064.6719138622284","3.702319860458374","0.0021940773987041418","0.002504466324611876","0.0021940773987033646","0.0025044663246108767","True","1.0003386978029376","-0.0003386978029376042","0.9999999776481413","2.736699755701011e-14","[0.019403794866007674, -0.05591718504615446, 0.08634663552779469, -0.10850257067959809, 0.12077142209866412, -0.12111111351266281, 0.1098387108195599, -0.0902890767095766, 0.06486197315587176, -0.035511278471061565, 0.006207131507140867, 0.01873688584966991, -0.037030723669260385, 0.04762594073730573, -0.050129905671615585, 0.044511044158240365, -0.031702667353236104, 0.015549694701711683, 0.0009443519844615965, -0.016685061095311232, 0.028960980621867752, -0.03520388164127687, 0.03500899574437252, -0.029567707246659906, 0.019860583024212293, -0.006804474405991394, -0.00737234400946291, 0.01968058369910651, -0.027690518763886392, 0.0312806587040963, -0.030204568804867677, 0.0230207371320847, -0.011236081765099163, -0.0018936525660404305, 0.014548790332660676, -0.025150468148029417, 0.03160476455231242, -0.032007472724312126, 0.025827531794904574, -0.014780600091882399, 0.0011286760649122376, 0.013732666650708103, -0.027102045280345658, 0.03472511509769898, -0.03507452045414762, 0.028884131790101273, -0.01647150714810821, -0.00047061313990548345, 0.018365112128271948, -0.032678971573366876, 0.03984414305363865, -0.03883674630490465, 0.02969148846405964, -0.012951380404915658, -0.008220728558353214, 0.02769366005503294, -0.0409211775743668, 0.04581710333255612, -0.04021638409598796, 0.024186769148720318, -0.0014321277689776227, -0.02235923871573778, 0.041090586988559115, -0.05050718644339458, 0.04812497521216973, -0.0326770001081091, 0.007498942603679159, 0.01992526317988429, -0.04270464892770786, 0.05539943072514686, -0.05359220106068275, 0.036095212507782075, -0.0072112844010576395, -0.02464368084152733, 0.050076455790731965, -0.06151557386644281, 0.05481346844007291, -0.029638204588906567, -0.007426978268749748, 0.04327001274891768, -0.06522246627077197, 0.06454837802425174, -0.038105312892752714, -0.007282872180063697, 0.05390680152512051, -0.07801045585919551, 0.060269863937839126, 0.0011301552547527656, -0.07662907432051891, 0.09301148829346509, 0.07796508307652618]","[0.0, 0.019403794866007674, 0.0, -0.05591718504615446, 0.0, 0.08634663552779469, 0.0, -0.10850257067959809, 0.0, 0.12077142209866412, 0.0, -0.12111111351266281, 0.0, 0.1098387108195599, 0.0, -0.0902890767095766, 0.0, 0.06486197315587176, 0.0, -0.035511278471061565, 0.0, 0.006207131507140867, 0.0, 0.01873688584966991, 0.0, -0.037030723669260385, 0.0, 0.04762594073730573, 0.0, -0.050129905671615585, 0.0, 0.044511044158240365, 0.0, -0.031702667353236104, 0.0, 0.015549694701711683, 0.0, 0.0009443519844615965, 0.0, -0.016685061095311232, 0.0, 0.028960980621867752, 0.0, -0.03520388164127687, 0.0, 0.03500899574437252, 0.0, -0.029567707246659906, 0.0, 0.019860583024212293, 0.0, -0.006804474405991394, 0.0, -0.00737234400946291, 0.0, 0.01968058369910651, 0.0, -0.027690518763886392, 0.0, 0.0312806587040963, 0.0, -0.030204568804867677, 0.0, 0.0230207371320847, 0.0, -0.011236081765099163, 0.0, -0.0018936525660404305, 0.0, 0.014548790332660676, 0.0, -0.025150468148029417, 0.0, 0.03160476455231242, 0.0, -0.032007472724312126, 0.0, 0.025827531794904574, 0.0, -0.014780600091882399, 0.0, 0.0011286760649122376, 0.0, 0.013732666650708103, 0.0, -0.027102045280345658, 0.0, 0.03472511509769898, 0.0, -0.03507452045414762, 0.0, 0.028884131790101273, 0.0, -0.01647150714810821, 0.0, -0.00047061313990548345, 0.0, 0.018365112128271948, 0.0, -0.032678971573366876, 0.0, 0.03984414305363865, 0.0, -0.03883674630490465, 0.0, 0.02969148846405964, 0.0, -0.012951380404915658, 0.0, -0.008220728558353214, 0.0, 0.02769366005503294, 0.0, -0.0409211775743668, 0.0, 0.04581710333255612, 0.0, -0.04021638409598796, 0.0, 0.024186769148720318, 0.0, -0.0014321277689776227, 0.0, -0.02235923871573778, 0.0, 0.041090586988559115, 0.0, -0.05050718644339458, 0.0, 0.04812497521216973, 0.0, -0.0326770001081091, 0.0, 0.007498942603679159, 0.0, 0.01992526317988429, 0.0, -0.04270464892770786, 0.0, 0.05539943072514686, 0.0, -0.05359220106068275, 0.0, 0.036095212507782075, 0.0, -0.0072112844010576395, 0.0, -0.02464368084152733, 0.0, 0.050076455790731965, 0.0, -0.06151557386644281, 0.0, 0.05481346844007291, 0.0, -0.029638204588906567, 0.0, -0.007426978268749748, 0.0, 0.04327001274891768, 0.0, -0.06522246627077197, 0.0, 0.06454837802425174, 0.0, -0.038105312892752714, 0.0, -0.007282872180063697, 0.0, 0.05390680152512051, 0.0, -0.07801045585919551, 0.0, 0.060269863937839126, 0.0, 0.0011301552547527656, 0.0, -0.07662907432051891, 0.0, 0.09301148829346509, 0.0, 0.07796508307652618]","[0.04278796170587745, 0.044114360189665996, -0.04492186389690745, 0.010881986151556765, 0.02421262835039944, -0.042282811471490316, 0.038709054936511125, -0.018681418437300267, -0.0075307843959102755, 0.02963541826406344, -0.040665644528368114, 0.03807445420200032, -0.023071480881036124, 0.0007973574380078472, 0.021071091593136974, -0.03626039086531382, 0.041174834838892865, -0.03455207115490779, 0.018249524942848507, 0.003034042662379166, -0.02319189934726637, 0.03683085867087553, -0.04094656785510641, 0.03486411971327528, -0.01986948549391626, -0.0002753965536268743, 0.019836921485869068, -0.034020273308694726, 0.04010210966370491, -0.03661544356989971, 0.024275897344917755, -0.006338864957431831, -0.012639822121505653, 0.02805758644781533, -0.03680667417184837, 0.03735828797965344, -0.029182893055314862, 0.01434868682394647, 0.002883293081011517, -0.018722422960003194, 0.030283208226020073, -0.03510572678469421, 0.031941323155570474, -0.02189848689630447, 0.007762979890129986, 0.007195442503591056, -0.020115331768086837, 0.028757263927250774, -0.030996244827708082, 0.026510096293204655, -0.017262998952931565, 0.005286675988436388, 0.0074955534793332635, -0.01844971316012223, 0.025197346846776117, -0.02677665211857895, 0.023444095450675936, -0.01614250522564241, 0.006052929577116966, 0.005173476511405977, -0.014925904590045612, 0.021390402835542468, -0.024385220506865483, 0.023384211022152244, -0.01804907313192799, 0.009500880985944054, 0.0005288184957589, -0.01041395220840335, 0.018995028484818818, -0.02494890626777101, 0.026764846744142843, -0.023776680953080102, 0.016631369375379346, -0.006398348376673223, -0.0062926277784305625, 0.019425056554412692, -0.030074694249870942, 0.03643471564180357, -0.037096405737903036, 0.030996461580410663, -0.017793928072203827, -0.0016619617288961537, 0.024812829548332676, -0.04852598705205183, 0.07000988397174593, -0.08579691952398563, 0.09196385960169028, -0.08683830630216782, 0.07118836862628448, -0.04675812170263001, 0.016316782490470312, 0.01628052822239068, -0.04672753544088304, 0.07116842790706503, -0.08683236809058871, 0.0919727228522035, -0.08581847819772341, 0.07003971715810778, -0.048558568845979436, 0.024842740398464482, -0.0016847530212389867, -0.017781231516113525, 0.030995094513439177, -0.037105762265547494, 0.03645250166189622, -0.030097403700245547, 0.019448676212144713, -0.0063133690618220216, -0.0063834864919273555, 0.01662424117407906, -0.023777782410612784, 0.02677331666895159, -0.02496278588404438, 0.01901168967494991, -0.010430580502048899, 0.000542875048938164, 0.009491278112009187, -0.01804491866502008, 0.02338556377126606, -0.02439131062493757, 0.02139983855281875, -0.014936953974933366, 0.005184412982699405, 0.006043542489426773, -0.016135680836439095, 0.023440375400749478, -0.026776105676396055, 0.025199648879442687, -0.018454289493265334, 0.0075017329902743925, 0.0052795719288524015, -0.017255635162193816, 0.026503114204495554, -0.030990259829897678, 0.02875289129087771, -0.020113172111233226, 0.00719598414120803, 0.0077594718826628105, -0.021892073442697453, 0.031932503947965506, -0.03509551086457444, 0.030273055827788466, -0.018714023072073732, 0.0028782541065921815, 0.014349132225387076, -0.029178162491358156, 0.03734870431337409, -0.03679356361377027, 0.028043090347695053, -0.012626505349488908, -0.0063484711526830785, 0.02427976723837173, -0.036612505263379655, 0.04009257583245837, -0.0340056980984837, 0.01981991546714699, -0.00025912441491879724, -0.01988188704858132, 0.0348701556932048, -0.040944943516890424, 0.036821817348759424, -0.023177204824294827, 0.003016607313714954, 0.01826623822660208, -0.03456474230447516, 0.04118099586414463, -0.03625900636189616, 0.021062788204270554, 0.0008104926786508066, -0.023086427371598463, 0.03808798419348457, -0.040675116569766384, 0.029639428967296298, -0.007529439977350466, -0.018686730559994816, 0.03871629868273985, -0.042290133121135894, 0.024219109060573344, 0.010876080535262811, -0.04491571637244611, 0.044108148019644085, 0.042790889326578006]"
