"degree","exp2","parity","npts","N_weiss","fit_solver","time_fit","time_qsp","max_error_poly","max_error_qsp","max_error_poly_uniform_1000","max_error_qsp_uniform_1000","constraint_violated","constraint_max_abs","constraint_margin","qsp_constraint_max_abs","qsp_reconstruction_residual","coef","coef_full","phi_proc"
"31","5.0","1","524288","65536","CLARABEL","30.987478971481323","96.20600891113281","0.013449060215849684","0.013449137359390712","0.013449060092341814","0.013449118944571403","True","1.0000000006313159","-6.313158884552195e-10","0.9999999999275858","2.711719737646945e-14","[0.02037218263841501, -0.06054934547347283, 0.09877283971525361, -0.13291695901145753, 0.15969129153848485, -0.17435689725086492, 0.17073242416206458, -0.14175798098491524, 0.08108905174970957, 0.013455997703140102, -0.13316018334485832, 0.24587081131083366, -0.2732208786147241, 0.04969180926940135, 0.7507172728319076, 0.3255685614401391]","[0.0, 0.02037218263841501, 0.0, -0.06054934547347283, 0.0, 0.09877283971525361, 0.0, -0.13291695901145753, 0.0, 0.15969129153848485, 0.0, -0.17435689725086492, 0.0, 0.17073242416206458, 0.0, -0.14175798098491524, 0.0, 0.08108905174970957, 0.0, 0.013455997703140102, 0.0, -0.13316018334485832, 0.0, 0.24587081131083366, 0.0, -0.2732208786147241, 0.0, 0.04969180926940135, 0.0, 0.7507172728319076, 0.0, 0.3255685614401391]","[0.3059560391884083, 0.5972590237476624, -0.054576028133868054, -0.17623304872483747, 0.20855150969797512, -0.1476344749382136, 0.05954568976176819, 0.021519003968435056, -0.08294452490031204, 0.12164529304283767, -0.1380208821738562, 0.13483830919247394, -0.11638021984562096, 0.08813419494942021, -0.05439545189299223, 0.0184085706482347, 0.01840868769793987, -0.05439537141389016, 0.08813411395778953, -0.11638025146046736, 0.13483834486796975, -0.13802082220810047, 0.12164526852762293, -0.08294454338088107, 0.02151898065006794, 0.05954569530357764, -0.14763454884948243, 0.20855129398983394, -0.17623305014644775, -0.05457599168786644, 0.597258931999071, 0.30595591301482145]"
"45","5.5","1","524288","65536","CLARABEL","33.095418214797974","92.27244210243225","0.00836271026287072","0.008362779613637406","0.00836271009956091","0.008362700079442842","True","1.0000000008510577","-8.510576687825733e-10","0.9999999947635859","1.559863349598345e-14","[0.020367154297083405, -0.05964820102171038, 0.09457505426063985, -0.12228711287210925, 0.14006601665908835, -0.14553791823370849, 0.13699175301195066, -0.11380459499653522, 0.07693386989106546, -0.029399199671873228, -0.023364337440709954, 0.07344174437216991, -0.11086174405916839, 0.12473899034926274, -0.10538317015691233, 0.04762261145596218, 0.04443283995515505, -0.1510105755517151, 0.22856047632871102, -0.19986224253385976, -0.057633090561402846, 0.7252051707926949, 0.40585650420950553]","[0.0, 0.020367154297083405, 0.0, -0.05964820102171038, 0.0, 0.09457505426063985, 0.0, -0.12228711287210925, 0.0, 0.14006601665908835, 0.0, -0.14553791823370849, 0.0, 0.13699175301195066, 0.0, -0.11380459499653522, 0.0, 0.07693386989106546, 0.0, -0.029399199671873228, 0.0, -0.023364337440709954, 0.0, 0.07344174437216991, 0.0, -0.11086174405916839, 0.0, 0.12473899034926274, 0.0, -0.10538317015691233, 0.0, 0.04762261145596218, 0.0, 0.04443283995515505, 0.0, -0.1510105755517151, 0.0, 0.22856047632871102, 0.0, -0.19986224253385976, 0.0, -0.057633090561402846, 0.0, 0.7252051707926949, 0.0, 0.40585650420950553]","[0.3735893303986926, 0.5632123284380506, -0.13218483145574805, -0.1060196545534574, 0.17774006815613028, -0.15102949624857442, 0.08036216146422256, -0.004394834427545105, -0.05501494936128313, 0.08927355113610551, -0.09700286393895355, 0.08175308655828092, -0.05085667251564859, 0.01103929250177037, 0.030032874873972232, -0.0666958969168342, 0.09496550148672851, -0.111159853095185, 0.11379773901436069, -0.1032289730025126, 0.08183111342184347, -0.05200641415173998, 0.018004472076656106, 0.01800491173555786, -0.05200621335223675, 0.08183043525010489, -0.10322892418074328, 0.11379795603780266, -0.1111603281229509, 0.0949655231429492, -0.06669538975601894, 0.03003254855855991, 0.011039236575377673, -0.05085572676686666, 0.08175288641443879, -0.09700327231883171, 0.08927408843326008, -0.055014697258540475, -0.0043953007538343695, 0.08036203201629917, -0.1510292448235395, 0.17773952650785146, -0.10601975970994663, -0.13218439403758714, 0.5632113512649869, 0.373588601830513]"
"63","6.0","1","524288","65536","CLARABEL","40.33251190185547","113.76966309547424","0.005252643663616552","0.005252648359203693","0.005252643220966413","0.005252648359204692","False","0.9999999946200943","5.3799057431191954e-09","0.9999999875990033","1.454392162258955e-14","[0.024198579110636886, -0.04877787501176015, 0.11849730111482504, -0.06445145368737976, 0.18625934951482873, -0.09707177686768124, 0.13248940034558973, -0.10574893303952969, 0.06039225775545762, -0.055784680970416466, -0.0315159727825875, 0.008305938403064365, -0.09334609163285641, 0.04555321668488119, -0.11019476148205389, 0.03965803496307446, -0.0546459746850067, -0.041467541426172434, 0.009626477941490403, -0.0939040937755905, 0.11918663680673922, -0.061640040261707434, 0.06053118009095607, -0.005358175265657875, -0.09227181220787058, 0.17827239302199877, -0.13955991442027046, 0.2005168226792065, 0.20933087317788907, -0.5876273702387272, -0.30057458338591925, 0.1004456627713954]","[0.0, 0.024198579110636886, 0.0, -0.04877787501176015, 0.0, 0.11849730111482504, 0.0, -0.06445145368737976, 0.0, 0.18625934951482873, 0.0, -0.09707177686768124, 0.0, 0.13248940034558973, 0.0, -0.10574893303952969, 0.0, 0.06039225775545762, 0.0, -0.055784680970416466, 0.0, -0.0315159727825875, 0.0, 0.008305938403064365, 0.0, -0.09334609163285641, 0.0, 0.04555321668488119, 0.0, -0.11019476148205389, 0.0, 0.03965803496307446, 0.0, -0.0546459746850067, 0.0, -0.041467541426172434, 0.0, 0.009626477941490403, 0.0, -0.0939040937755905, 0.0, 0.11918663680673922, 0.0, -0.061640040261707434, 0.0, 0.06053118009095607, 0.0, -0.005358175265657875, 0.0, -0.09227181220787058, 0.0, 0.17827239302199877, 0.0, -0.13955991442027046, 0.0, 0.2005168226792065, 0.0, 0.20933087317788907, 0.0, -0.5876273702387272, 0.0, -0.30057458338591925, 0.0, 0.1004456627713954]","[0.0740333958165484, -0.23276363930273591, -0.3563176221337595, 0.24067956097876578, 0.07675922351934315, -0.08700756638671697, 0.14800395641697464, -0.11863465717264522, 0.024458121416879627, 0.01323291186307163, -0.01553627897118683, 0.09915681626194471, -0.08698928781546894, 0.02383553227929878, -0.061725865800925324, 0.0006398380724317096, 0.02626568252827306, -0.06621957947774663, 0.03810500807565725, -0.08285706531717354, 0.030304082426508904, -0.04504138816280964, -0.004292099679470723, 0.028517089746815202, -0.06463620362790032, 0.07865583457276905, -0.08109322308213468, 0.14320278301367198, -0.05588256263077637, 0.09252696713994024, -0.04973977343646929, 0.013926772787912496, 0.013926782182348095, -0.049739779766628925, 0.09252696796284342, -0.05588255708098555, 0.14320277233542308, -0.08109321049882444, 0.07865582367226077, -0.06463619735878759, 0.028517091189820237, -0.004292108443024066, -0.04504137380693705, 0.030304065285986812, -0.08285704997217029, 0.03810499860083997, -0.06621957840929746, 0.02626569151278262, 0.0006398211224564758, -0.06172584584336078, 0.02383551292803782, -0.0869892741587424, 0.09915681377994541, -0.015536287414584758, 0.013232927964226409, 0.024458100740814784, -0.11863463962607682, 0.14800394966821584, -0.08700757149975674, 0.07675923644751742, 0.24067955264698315, -0.35631763003702627, -0.2327636255706587, 0.07403339266878733]"
"91","6.5","1","524288","65536","CLARABEL","91.47292184829712","97.26000380516052","0.003511556738584387","0.003511603048045653","0.0035115567385862745","0.0035115944651803455","False","0.9999999961243933","3.875606724434988e-09","0.9999999762391729","2.7533531010703882e-14","[0.004322830652756214, -0.07343469346414364, 0.07354769065777135, -0.12115700308008157, 0.12271917194162046, -0.12472150058358995, 0.11755676261282173, -0.09395458671571837, 0.07262811518111902, -0.023600884039478402, 0.023790436259704256, 0.05239692701822484, -0.01997507877274188, 0.08462093343230072, -0.04541843243491835, 0.06191122535589697, -0.02988272373735832, 0.021000937366236795, 0.030933410160635506, -0.015903434068579615, 0.06901121780195174, -0.0485823870170478, 0.055714240572056796, -0.03549496709886076, 0.006289319941599108, 0.013371057252106671, -0.051844285667825674, 0.06028585426991922, -0.06805322622057633, 0.05545186268360714, -0.03356655640201914, -0.02108454208381839, 0.042324191592824884, -0.0959103716866076, 0.09192998674324543, -0.08296535937505478, 0.032588631702692446, 0.05336692021204899, -0.12387783272074335, 0.18824653205075334, -0.14530646231776728, -0.008149909631160685, 0.36097373875817335, -0.37449357822907914, -0.5550730284286973, -0.10816998043739601]","[0.0, 0.004322830652756214, 0.0, -0.07343469346414364, 0.0, 0.07354769065777135, 0.0, -0.12115700308008157, 0.0, 0.12271917194162046, 0.0, -0.12472150058358995, 0.0, 0.11755676261282173, 0.0, -0.09395458671571837, 0.0, 0.07262811518111902, 0.0, -0.023600884039478402, 0.0, 0.023790436259704256, 0.0, 0.05239692701822484, 0.0, -0.01997507877274188, 0.0, 0.08462093343230072, 0.0, -0.04541843243491835, 0.0, 0.06191122535589697, 0.0, -0.02988272373735832, 0.0, 0.021000937366236795, 0.0, 0.030933410160635506, 0.0, -0.015903434068579615, 0.0, 0.06901121780195174, 0.0, -0.0485823870170478, 0.0, 0.055714240572056796, 0.0, -0.03549496709886076, 0.0, 0.006289319941599108, 0.0, 0.013371057252106671, 0.0, -0.051844285667825674, 0.0, 0.06028585426991922, 0.0, -0.06805322622057633, 0.0, 0.05545186268360714, 0.0, -0.03356655640201914, 0.0, -0.02108454208381839, 0.0, 0.042324191592824884, 0.0, -0.0959103716866076, 0.0, 0.09192998674324543, 0.0, -0.08296535937505478, 0.0, 0.032588631702692446, 0.0, 0.05336692021204899, 0.0, -0.12387783272074335, 0.0, 0.18824653205075334, 0.0, -0.14530646231776728, 0.0, -0.008149909631160685, 0.0, 0.36097373875817335, 0.0, -0.37449357822907914, 0.0, -0.5550730284286973, 0.0, -0.10816998043739601]","[-0.08188551936127055, -0.38434463351987375, -0.16323034104900877, 0.2990313999266339, -0.08850710661136119, -0.06358043286438676, 0.13647851469343553, -0.12046447542016216, 0.08076479330978703, -0.013974587229950862, -0.03717237462354029, 0.062076370115943656, -0.08273061052510183, 0.057853544532350774, -0.04510222241927906, 0.0032593703205048025, 0.02632037048885545, -0.041388841479351506, 0.05087802466778648, -0.05568144233992182, 0.03306207928669647, -0.019149253619884524, -0.004878317059906864, 0.027856223798043287, -0.03382315132947819, 0.05802902318108568, -0.025112132739715007, 0.044884849347961574, -0.010042924326852158, -0.004852148352593441, 0.02881558201707338, -0.02836596117761823, 0.06662109677818595, -0.027257687530046225, 0.059452642547657066, -0.006037312731279441, 0.00697186135645927, 0.030394077226523944, -0.05382120202516989, 0.07793911276758465, -0.08951311827162384, 0.09565118971741685, -0.09732964184269831, 0.05978345883749924, -0.060140995382784605, 0.006978627245063311, 0.006978639509054998, -0.060141004554849345, 0.05978346247674097, -0.0973296387285827, 0.09565117998859728, -0.08951310408219858, 0.07793909721427694, -0.053821188504949304, 0.03039406860635083, 0.006971863150017263, -0.006037307212472829, 0.05945263044903942, -0.027257670956890502, 0.06662107882453537, -0.028365945078065793, 0.028815570748471023, -0.004852143864453871, -0.010042921321705688, 0.04488483951645331, -0.02511211790833671, 0.05802900614711648, -0.03382313522794043, 0.027856211432358037, -0.004878310373560946, -0.019149253812589747, 0.03306207331663569, -0.05568143165875605, 0.05087801145306315, -0.04138882807586522, 0.02632035907787961, 0.003259378276328105, -0.04510222646528127, 0.05785354474160046, -0.08273060745190824, 0.06207636448761663, -0.03717236700927547, -0.013974596505898352, 0.08076480419937733, -0.12046448723518774, 0.13647852555396772, -0.06358044016374004, -0.08850710545826818, 0.2990314060813593, -0.16323035278378112, -0.3843446183752068, -0.08188553513621388]"
"127","7.0","1","524288","65536","CLARABEL","152.50214505195618","88.50363206863403","0.0023516764899942366","0.00235257643353437","0.0023516763783650863","0.0023522198967993457","True","1.0000000113010534","-1.1301053426393537e-08","0.9999999989672084","4.618527782440651e-14","[0.01918743635490305, -0.05566884148232948, 0.08668045280064235, -0.10925412189100102, 0.12135900903152082, -0.12212469862631593, 0.11193208942578362, -0.09236024662809625, 0.06599355418980411, -0.03610969272852073, 0.0062835255936264595, 0.02004692220965388, -0.039999972191479424, 0.05160268687835637, -0.05402981772077575, 0.04769552380704163, -0.0341817353018684, 0.01600801293206305, 0.0037305565436278397, -0.021811294556335167, 0.035357074283759594, -0.04226710357192068, 0.041540156774681765, -0.03343719612418576, 0.01945139841780729, -0.002081189740518504, -0.015567541172134557, 0.030294909130963554, -0.03935832575100585, 0.04097171034506706, -0.03466428531294775, 0.021427140101656462, -0.0036059983597840012, -0.015460837563138985, 0.03201538606810539, -0.042577415323142374, 0.04464825762379253, -0.0372884221722576, 0.02144437738914818, 6.816318026010161e-05, -0.022963346684657174, 0.042236619313057173, -0.053164533876887354, 0.052383109898532766, -0.038830716405099476, 0.01433121090230792, 0.016374873595875014, -0.04626649497784782, 0.06734470529238898, -0.07245785456004968, 0.057356417949578374, -0.022554622408040913, -0.025507127387745077, 0.07451696413833933, -0.10800392884127423, 0.10897481038401995, -0.0654802395190088, -0.02221151312814924, 0.13350730959156423, -0.21945146570083285, 0.19600774545421054, 0.059976867073012655, -0.7108306813629653, -0.42117745556314307]","[0.0, 0.01918743635490305, 0.0, -0.05566884148232948, 0.0, 0.08668045280064235, 0.0, -0.10925412189100102, 0.0, 0.12135900903152082, 0.0, -0.12212469862631593, 0.0, 0.11193208942578362, 0.0, -0.09236024662809625, 0.0, 0.06599355418980411, 0.0, -0.03610969272852073, 0.0, 0.0062835255936264595, 0.0, 0.02004692220965388, 0.0, -0.039999972191479424, 0.0, 0.05160268687835637, 0.0, -0.05402981772077575, 0.0, 0.04769552380704163, 0.0, -0.0341817353018684, 0.0, 0.01600801293206305, 0.0, 0.0037305565436278397, 0.0, -0.021811294556335167, 0.0, 0.035357074283759594, 0.0, -0.04226710357192068, 0.0, 0.041540156774681765, 0.0, -0.03343719612418576, 0.0, 0.01945139841780729, 0.0, -0.002081189740518504, 0.0, -0.015567541172134557, 0.0, 0.030294909130963554, 0.0, -0.03935832575100585, 0.0, 0.04097171034506706, 0.0, -0.03466428531294775, 0.0, 0.021427140101656462, 0.0, -0.0036059983597840012, 0.0, -0.015460837563138985, 0.0, 0.03201538606810539, 0.0, -0.042577415323142374, 0.0, 0.04464825762379253, 0.0, -0.0372884221722576, 0.0, 0.02144437738914818, 0.0, 6.816318026010161e-05, 0.0, -0.022963346684657174, 0.0, 0.042236619313057173, 0.0, -0.053164533876887354, 0.0, 0.052383109898532766, 0.0, -0.038830716405099476, 0.0, 0.01433121090230792, 0.0, 0.016374873595875014, 0.0, -0.04626649497784782, 0.0, 0.06734470529238898, 0.0, -0.07245785456004968, 0.0, 0.057356417949578374, 0.0, -0.022554622408040913, 0.0, -0.025507127387745077, 0.0, 0.07451696413833933, 0.0, -0.10800392884127423, 0.0, 0.10897481038401995, 0.0, -0.0654802395190088, 0.0, -0.02221151312814924, 0.0, 0.13350730959156423, 0.0, -0.21945146570083285, 0.0, 0.19600774545421054, 0.0, 0.059976867073012655, 0.0, -0.7108306813629653, 0.0, -0.42117745556314307]","[-0.38350120091146406, -0.551619403281146, 0.13061582648738207, 0.10585994802741018, -0.17317726048037865, 0.13904746154729417, -0.061941170617521614, -0.01474861999129507, 0.06750750749949798, -0.0882383580101109, 0.07929195682278345, -0.04980459869393622, 0.011966692782482751, 0.022891698498763442, -0.04739622754724477, 0.05739689912488577, -0.052477667287127036, 0.03599832438263977, -0.013338387240374774, -0.010238603620965672, 0.0295956171277602, -0.040653810556576034, 0.04236408192759785, -0.03513405708250669, 0.02116203525814198, -0.0038862082959871098, -0.013386777910387462, 0.026827121027642346, -0.0343759250509153, 0.03479587427907841, -0.02855169329225975, 0.016928223733255823, -0.0022323310884420147, -0.012144241102488604, 0.02410384507596045, -0.03134080990668214, 0.032399694851820586, -0.027402751538328565, 0.017314275212102458, -0.00393860777166674, -0.010120689569023582, 0.02243980031502124, -0.03109430019307863, 0.03380911338339286, -0.030647186634398516, 0.021550368196523055, -0.008181146990327078, -0.0074108648868519604, 0.022676247574214558, -0.03498859531746038, 0.041653446218864035, -0.04154013918637659, 0.033368447420682755, -0.017881327777028774, -0.0031550384092461164, 0.0274953626108754, -0.05206810647207499, 0.07301127875627283, -0.08724481040406207, 0.09207291466355215, -0.08613361059883931, 0.06991976223286107, -0.04546499684986486, 0.015740889734369528, 0.015741344535944734, -0.04546458583398285, 0.06991901486077247, -0.08613341491803647, 0.09207333256663641, -0.0872445766518051, 0.07301116601729599, -0.052068295618530866, 0.027495718123394616, -0.003155376766598511, -0.01788195987603831, 0.033368049080761526, -0.041539773176503474, 0.04165289708295253, -0.03498873529632292, 0.022676075829028922, -0.007411722011306707, -0.008181362440173591, 0.021550158833711107, -0.030647222836439243, 0.033808553899196646, -0.031094734380624156, 0.02243982041466996, -0.010120881309947942, -0.003939143413892384, 0.01731475968568231, -0.027402377715484625, 0.0323984981065496, -0.03133973639935369, 0.024104905142845415, -0.012144388130801508, -0.002232102686054442, 0.016928065327027418, -0.028550602910566727, 0.03479619254720399, -0.0343769180290317, 0.02682679498571814, -0.013386887153181077, -0.0038867215846091385, 0.021161861794795074, -0.035133785440804054, 0.042364476988162446, -0.040653930357961054, 0.029594451972081954, -0.010238064986625654, -0.013337410253192876, 0.03599896240417096, -0.05247694142736749, 0.05739647252001846, -0.04739600944032795, 0.022891534317634417, 0.011966495525913048, -0.04980497894176342, 0.07929075126876899, -0.0882380615941494, 0.06750805241120987, -0.014748139796556415, -0.06194061094147438, 0.1390471867247103, -0.17317719084044675, 0.10585887776012906, 0.13061468544557917, -0.5516174129592604, -0.3835000853113081]"
"181","7.5","1","524288","65536","CLARABEL","28.101751333102584","84.9226701259613","0.0015873486198074716","0.0015885147444726355","0.0015873482397104066","0.0015883913740333266","True","1.0000000009685759","-9.685758861621707e-10","0.99999992771976","8.359979375427429e-14","[0.018832973464740513, -0.054621573844253216, 0.08499395540283612, -0.10703651679225218, 0.11879160911742133, -0.11947278503246532, 0.1095376623236515, -0.09061116724543007, 0.06526599381735118, -0.036694836100916256, 0.008306498731026415, 0.01669096380096369, -0.03568060050443944, 0.04693741861163217, -0.04981447481873151, 0.04478006405521063, -0.033312058430345286, 0.017656735532602174, -0.0004938295832889001, -0.015452532482472556, 0.027799191544077586, -0.03483038593023496, 0.035723867507286046, -0.030643188109839646, 0.020678102705020348, -0.0076551127473192026, -0.006167604226009484, 0.01846435402308939, -0.02721374895169445, 0.031020937928592878, -0.02933624050925616, 0.022542366728278723, -0.011883021952765641, -0.0007445515869291809, 0.01310975459238135, -0.0230280791216676, 0.028737112283538015, -0.02920694136692904, 0.02432822379777312, -0.014949632183574108, 0.0027413393273000215, 0.010083996387739392, -0.02115668303570906, 0.02837912830140689, -0.030314211266440856, 0.026475601193772708, -0.017448633104747705, 0.0048224985640130565, 0.009067577613967542, -0.021555637533543975, 0.030136550489505694, -0.03296160284601624, 0.02923163238663495, -0.019411440847876597, 0.00521420731416119, 0.010666081061012531, -0.025032416915603765, 0.03480096968877984, -0.03764338047649732, 0.032527312242427366, -0.020037503937625597, 0.0023899303567305563, 0.016897857101613487, -0.0336442035894508, 0.043855750105378184, -0.04463362128097162, 0.034947541042562744, -0.01609384786915234, -0.008316121769207449, 0.03289652457812124, -0.051527509226791474, 0.058737608246171566, -0.051171388736765515, 0.028812134144090205, 0.004389163449009723, -0.04076454747370403, 0.07021752733901017, -0.08250567166015306, 0.07020730185202595, -0.0318262088416961, -0.025787176385354334, 0.08664130993570522, -0.1274472545603935, 0.12298126631040314, -0.05558621859151877, -0.07101573906767306, 0.21394746164885392, -0.2703967430532212, 0.05533958696932592, 0.7203125224799961, 0.3542022940261582]","[0.0, 0.018832973464740513, 0.0, -0.054621573844253216, 0.0, 0.08499395540283612, 0.0, -0.10703651679225218, 0.0, 0.11879160911742133, 0.0, -0.11947278503246532, 0.0, 0.1095376623236515, 0.0, -0.09061116724543007, 0.0, 0.06526599381735118, 0.0, -0.036694836100916256, 0.0, 0.008306498731026415, 0.0, 0.01669096380096369, 0.0, -0.03568060050443944, 0.0, 0.04693741861163217, 0.0, -0.04981447481873151, 0.0, 0.04478006405521063, 0.0, -0.033312058430345286, 0.0, 0.017656735532602174, 0.0, -0.0004938295832889001, 0.0, -0.015452532482472556, 0.0, 0.027799191544077586, 0.0, -0.03483038593023496, 0.0, 0.035723867507286046, 0.0, -0.030643188109839646, 0.0, 0.020678102705020348, 0.0, -0.0076551127473192026, 0.0, -0.006167604226009484, 0.0, 0.01846435402308939, 0.0, -0.02721374895169445, 0.0, 0.031020937928592878, 0.0, -0.02933624050925616, 0.0, 0.022542366728278723, 0.0, -0.011883021952765641, 0.0, -0.0007445515869291809, 0.0, 0.01310975459238135, 0.0, -0.0230280791216676, 0.0, 0.028737112283538015, 0.0, -0.02920694136692904, 0.0, 0.02432822379777312, 0.0, -0.014949632183574108, 0.0, 0.0027413393273000215, 0.0, 0.010083996387739392, 0.0, -0.02115668303570906, 0.0, 0.02837912830140689, 0.0, -0.030314211266440856, 0.0, 0.026475601193772708, 0.0, -0.017448633104747705, 0.0, 0.0048224985640130565, 0.0, 0.009067577613967542, 0.0, -0.021555637533543975, 0.0, 0.030136550489505694, 0.0, -0.03296160284601624, 0.0, 0.02923163238663495, 0.0, -0.019411440847876597, 0.0, 0.00521420731416119, 0.0, 0.010666081061012531, 0.0, -0.025032416915603765, 0.0, 0.03480096968877984, 0.0, -0.03764338047649732, 0.0, 0.032527312242427366, 0.0, -0.020037503937625597, 0.0, 0.0023899303567305563, 0.0, 0.016897857101613487, 0.0, -0.0336442035894508, 0.0, 0.043855750105378184, 0.0, -0.04463362128097162, 0.0, 0.034947541042562744, 0.0, -0.01609384786915234, 0.0, -0.008316121769207449, 0.0, 0.03289652457812124, 0.0, -0.051527509226791474, 0.0, 0.058737608246171566, 0.0, -0.051171388736765515, 0.0, 0.028812134144090205, 0.0, 0.004389163449009723, 0.0, -0.04076454747370403, 0.0, 0.07021752733901017, 0.0, -0.08250567166015306, 0.0, 0.07020730185202595, 0.0, -0.0318262088416961, 0.0, -0.025787176385354334, 0.0, 0.08664130993570522, 0.0, -0.1274472545603935, 0.0, 0.12298126631040314, 0.0, -0.05558621859151877, 0.0, -0.07101573906767306, 0.0, 0.21394746164885392, 0.0, -0.2703967430532212, 0.0, 0.05533958696932592, 0.0, 0.7203125224799961, 0.0, 0.3542022940261582]","[0.32628860733571, 0.5720016163262273, -0.04601311047471896, -0.18083544130727397, 0.19320807441697116, -0.10511784751960691, 0.001033865852280092, 0.07333325813204013, -0.10303202131370674, 0.09146533728653876, -0.05330617941052735, 0.006433172706124778, 0.03418963648735474, -0.05923336337671307, 0.06479387902772922, -0.05300186894195544, 0.029404946966123828, -0.0014918524438450778, -0.023677498216404518, 0.04069179205102485, -0.0466744361262358, 0.041557247284342104, -0.02755919696382563, 0.008669087719663715, 0.010466817809001923, -0.02590191190042396, 0.03463896580828543, -0.035544370284796956, 0.02909819485604923, -0.017116283312673487, 0.0024669856124538, 0.011921637736267261, -0.023159129507103648, 0.029255760234205355, -0.029183200895609343, 0.023406739247538083, -0.013325945567001205, 0.0011991646697898798, 0.010800258906656975, -0.020161348005196995, 0.025432535915451214, -0.02559768971292803, 0.020973212275394098, -0.012607290064199571, 0.0020204002923474517, 0.008605714001259791, -0.01744093365167328, 0.022876818684563857, -0.023888420366767752, 0.020540672546335056, -0.013485631162510293, 0.003987069465821588, 0.006056313552165227, -0.015018616549691116, 0.021123833057110235, -0.02342361840720429, 0.02147635951145538, -0.015578689404796987, 0.006929974369408208, 0.003038448728323947, -0.012626034796192008, 0.020216683792876538, -0.024194642799355712, 0.02391477633660791, -0.019340297958099963, 0.01103935919880183, -0.0004509749533683, -0.010659171954720787, 0.020249509835932673, -0.026653211948511425, 0.02854079393634338, -0.02526952320172227, 0.01714240103711674, -0.00528629000874516, -0.00850370018933112, 0.021817743534342196, -0.03248361212907298, 0.03828956437030815, -0.03760040862685677, 0.029691914211361466, -0.015091527805469603, -0.004853283733296097, 0.027700385037086828, -0.05080390791391219, 0.07070623489862236, -0.08425965364104694, 0.08880028557031204, -0.08305573421128058, 0.0674543154779137, -0.043862865686841016, 0.015172497008407906, 0.015173356646090815, -0.04386298344221715, 0.06745347948546111, -0.08305474296722627, 0.0887991753355529, -0.08425938136899602, 0.07070757692339817, -0.05080499415473621, 0.027700501465344765, -0.004852893470762497, -0.015092086430147048, 0.029692082955009608, -0.037599863090345645, 0.03828826897286036, -0.03248302680644413, 0.02181858600382832, -0.00850460672684569, -0.005285783801167288, 0.01714235651446118, -0.025270253640993955, 0.028541588087414076, -0.02665308982973258, 0.02024828648913847, -0.01065825496272674, -0.000451135316078687, 0.011038825835663258, -0.019338934087995804, 0.023913419509928598, -0.024194270885681258, 0.02021750944755351, -0.012627186276613791, 0.0030395703158641015, 0.006929484447865299, -0.015579552460083164, 0.021477036865376355, -0.023423695702713816, 0.021123762705877916, -0.015018916991960455, 0.006056761774168505, 0.003987299094266081, -0.013486224685203342, 0.020541262829125006, -0.02388823834605915, 0.02287643335010685, -0.017440748502082725, 0.008605921771505246, 0.0020203336395847385, -0.012607668484114203, 0.020973628196752768, -0.025598050176109246, 0.02543197788679637, -0.02016070085984653, 0.010799691268687702, 0.0011991511574494574, -0.013326155812623771, 0.023406204570559225, -0.029182371901402545, 0.02925550215627678, -0.023159432625340676, 0.011921614895855828, 0.002466943245485326, -0.017116380310369706, 0.029098481625310944, -0.035544407693501555, 0.03463829382019727, -0.02590081580282422, 0.010465817816722796, 0.008669046069285483, -0.02755771014168525, 0.04155557005120102, -0.046673867981210135, 0.04069209313144501, -0.023678247700646117, -0.0014911543266644771, 0.029404852365446484, -0.053001909855179004, 0.06479375144224458, -0.05923279382845798, 0.03418922157522621, 0.006433426220914907, -0.05330589816308824, 0.09146400021241229, -0.10303036412784293, 0.07333239542717795, 0.0010333314789872897, -0.10511593652348694, 0.19320605161772306, -0.1808350579674015, -0.04601170997876162, 0.5720006773236819, 0.32628744981705815]"
