degree,exp2,npts,a,epsilon,solver,runtime_seconds,max_error,dense_max_error,grid_objective_value,solver_objective_value,global_max_abs,independent_global_max_abs,independent_dense_max_abs,diagonal_sum_residual,minimum_gram_eigenvalue,restoration_applied,restoration_scale,certificate_passed,constraints_satisfied
31,5.0,500,0.2,0.0,SCS,0.5894015836529434,0.013463040455864883,0.013463040455864883,0.01344745339423703,0.013446123830502837,0.9999992228391189,0.9999992228391189,0.99999922283892,2.530311984244582e-11,9.999999991703263e-09,True,0.9999985361658008,True,True
45,5.5,500,0.2,0.0,SCS,0.7848724997602403,0.008377847625287593,0.008377847625276713,0.008369065536365405,0.008358216948706865,0.999990715378857,0.999990715378857,0.999990715378857,1.9628992875553308e-11,9.999999957985535e-09,True,0.9999890288610714,True,True
63,6.0,500,0.2,0.0,SCS,2.6477722912095487,0.00535778108272178,0.0053577810824017025,0.0052053802043349195,0.0052031434493815115,0.9999992155023121,0.9999992155023121,0.9999992153744475,7.754637210144466e-12,9.999999986191272e-09,True,0.9999977439600483,True,True
89,6.5,500,0.2,0.0,SCS,14.853632582817227,0.003710616482580642,0.003710616482579532,0.003437945468685588,0.0034273209393036463,0.9999935175822713,0.9999935175822713,0.9999935175445381,6.231516171129048e-11,9.999999991157193e-09,True,0.9999892736938514,True,True
127,7.0,500,0.2,0.0,SCS,51.38264437485486,0.002419322102810595,0.0024193221028099288,0.00233538683449086,0.0023241378455005623,0.9999956983693576,0.9999956983693576,0.9999956945213246,4.795173147442711e-10,9.999999985371587e-09,True,0.999988632051502,True,True
181,7.5,500,0.2,0.0,SCS,234.65638487506658,0.0019038766834058585,0.0019038766812971009,0.0014582717711283388,0.0014353887520445544,0.9999811249044573,0.9999811249044573,0.9999811241546284,2.1455290235422586e-11,9.999999992933122e-09,True,0.9999770598474792,True,True
255,8.0,500,0.2,0.0,SCS,706.9465210419148,0.0012831574724794237,0.001283157472351748,0.0012019944037915398,0.0010463837415007893,0.9999146645970909,0.9999146645970909,0.9999146510136516,1.6783774734602241e-09,1.0000000005691537e-08,True,0.9998437652850322,True,True
361,8.5,500,0.2,0.0,SCS,3625.506997332908,0.003754659548405037,0.003754659548405037,0.0037546595484054812,0.0006460844129665133,0.9970076520750342,0.9970076520750342,0.9970076475529581,1.1884352659960462e-09,9.999999998808582e-09,True,0.9968887475930271,True,True
