"degree","exp2","parity","npts","N_weiss","time_fit","time_qsp","max_error_poly","max_error_qsp","constraint_violated","coef","coef_full","phi_proc"
"32","5.0","0","524288","16384","24.207256078720093","4.024661064147949","0.03477998130562254","0.03478168608536725","True","[0.08061250764540395, -0.15526666249637686, 0.13756029460828223, -0.10867424369894765, 0.06975535462475957, -0.022800624645541823, -0.0290182456336795, 0.08103306859584443, -0.1268305958761507, 0.15815978275969717, -0.16508486031071773, 0.1364737723130807, -0.06089995826652278, -0.07199079974592251, 0.26964080416622915, -0.5343242836077722, -0.6583453101779203]","[0.08061250764540395, 0.0, -0.15526666249637686, 0.0, 0.13756029460828223, 0.0, -0.10867424369894765, 0.0, 0.06975535462475957, 0.0, -0.022800624645541823, 0.0, -0.0290182456336795, 0.0, 0.08103306859584443, 0.0, -0.1268305958761507, 0.0, 0.15815978275969717, 0.0, -0.16508486031071773, 0.0, 0.1364737723130807, 0.0, -0.06089995826652278, 0.0, -0.07199079974592251, 0.0, 0.26964080416622915, 0.0, -0.5343242836077722, 0.0, -0.6583453101779203]","[-1.352133019100524, -0.38009466361200916, 0.2477332800991549, -0.11227776583141691, 0.003850245308530726, 0.06941595976181067, -0.11168005199223256, 0.12460875932798908, -0.11417169750876524, 0.0858195901837396, -0.04775606513604951, 0.00570063294251738, 0.03549573268937394, -0.07324358865645236, 0.10283424182598745, -0.12313184742373767, 0.12923915383763887, -0.1231310281675382, 0.10283445777920112, -0.07324149410748299, 0.0354989160996573, 0.005703056684035425, -0.04775427500643158, 0.08581952879588231, -0.11416914531639182, 0.12460775955112703, -0.11167950184013418, 0.06941807087408372, 0.0038521768615309817, -0.11227290560828009, 0.2477357334330255, -0.3800886259958457, -1.3521285052298477]"
"46","5.5","0","524288","16384","41.47527098655701","4.035197019577026","0.02598481609910963","0.025986689843734544","True","[0.10560746492520018, -0.19878100500068488, 0.16297922200599682, -0.10823856313665736, 0.041661761227584665, 0.027521585144252233, -0.08891278865999329, 0.13237117972781684, -0.1498372692735875, 0.13730118239663058, -0.09648868158119013, 0.03571972128708216, 0.03060418042695806, -0.08426452871881801, 0.10728757850419933, -0.0873737944459568, 0.023734975701372358, 0.06808205016407907, -0.15404847047986525, 0.18372926129706452, -0.09755834307046377, -0.1607351661040222, 0.6279627779983176, 0.5416756690146333]","[0.10560746492520018, 0.0, -0.19878100500068488, 0.0, 0.16297922200599682, 0.0, -0.10823856313665736, 0.0, 0.041661761227584665, 0.0, 0.027521585144252233, 0.0, -0.08891278865999329, 0.0, 0.13237117972781684, 0.0, -0.1498372692735875, 0.0, 0.13730118239663058, 0.0, -0.09648868158119013, 0.0, 0.03571972128708216, 0.0, 0.03060418042695806, 0.0, -0.08426452871881801, 0.0, 0.10728757850419933, 0.0, -0.0873737944459568, 0.0, 0.023734975701372358, 0.0, 0.06808205016407907, 0.0, -0.15404847047986525, 0.0, 0.18372926129706452, 0.0, -0.09755834307046377, 0.0, -0.1607351661040222, 0.0, 0.6279627779983176, 0.0, 0.5416756690146333]","[-0.2855015949300602, 0.4521236906609148, -0.2125495844213403, 0.01643240433738158, 0.09349548976253638, -0.12394550842364707, 0.09795590777257107, -0.04187037069549521, -0.016419062963803768, 0.060349836604124796, -0.07680100865887746, 0.0650849971549812, -0.02664319670236173, -0.02391299210111558, 0.07566166439398349, -0.11394379385210839, 0.1296186197120607, -0.1152385291223059, 0.07271749995941804, -0.009642774590011623, -0.0629265620164344, 0.13357230707264614, -0.18527915449437243, 0.2054233773929016, -0.1852751740386049, 0.13357349730742457, -0.06292764166226912, -0.009641523803141486, 0.07271478784228537, -0.11523966865973112, 0.12961731080214473, -0.11394805095498878, 0.07565731775949595, -0.023920071864375666, -0.026652135583063022, 0.06508356718036798, -0.0768013771049389, 0.0603447100571514, -0.01642089664787738, -0.04187703232488216, 0.09794741196946975, -0.12394587255021708, 0.09348944445366733, 0.016426746658825753, -0.21254770074006962, 0.4521155288256431, -0.28551183251783324]"
"64","6.0","0","524288","16384","66.11467218399048","3.9699337482452393","0.018502084860799295","0.0185037490287846","True","[0.10507174240031837, -0.19499098192139688, 0.15260882345527385, -0.09151212198927577, 0.02369484455412373, 0.03810695882345114, -0.08326665640883914, 0.1055461009288934, -0.10425771600437232, 0.08404274609849685, -0.05334484250189287, 0.021987647673072395, 0.0015044721761679027, -0.012132439458783562, 0.009595961721603331, 0.0019141812448592297, -0.015266789532800536, 0.02287255096755633, -0.019404250907185252, 0.003947807699830167, 0.019126775721124322, -0.04099050205982839, 0.05086072538090096, -0.03970366873598863, 0.004266003659302822, 0.04963017883030814, -0.10553831003502435, 0.13727670161107025, -0.11242874410295851, -0.001982975724792194, 0.23264255661648758, -0.5932632049406956, -0.5966135322846539]","[0.10507174240031837, 0.0, -0.19499098192139688, 0.0, 0.15260882345527385, 0.0, -0.09151212198927577, 0.0, 0.02369484455412373, 0.0, 0.03810695882345114, 0.0, -0.08326665640883914, 0.0, 0.1055461009288934, 0.0, -0.10425771600437232, 0.0, 0.08404274609849685, 0.0, -0.05334484250189287, 0.0, 0.021987647673072395, 0.0, 0.0015044721761679027, 0.0, -0.012132439458783562, 0.0, 0.009595961721603331, 0.0, 0.0019141812448592297, 0.0, -0.015266789532800536, 0.0, 0.02287255096755633, 0.0, -0.019404250907185252, 0.0, 0.003947807699830167, 0.0, 0.019126775721124322, 0.0, -0.04099050205982839, 0.0, 0.05086072538090096, 0.0, -0.03970366873598863, 0.0, 0.004266003659302822, 0.0, 0.04963017883030814, 0.0, -0.10553831003502435, 0.0, 0.13727670161107025, 0.0, -0.11242874410295851, 0.0, -0.001982975724792194, 0.0, 0.23264255661648758, 0.0, -0.5932632049406956, 0.0, -0.5966135322846539]","[-1.2958890385451483, -0.44422688386851183, 0.228569652862548, -0.045909071038156196, -0.06268865534968, 0.10446017579730806, -0.09617404596896924, 0.05923572082974369, -0.01625573803696023, -0.020011132641632703, 0.03781562911890253, -0.03905325890401532, 0.02641426493751085, -0.008082415705678272, -0.008579098260051902, 0.016926442469166494, -0.01678146000965534, 0.007834848591782495, 0.0026856700921768883, -0.010471616726767075, 0.010824333034763182, 0.0009451476615442031, -0.021665076547717634, 0.04607947468354938, -0.0686897262949881, 0.07817715072629083, -0.07160343807226967, 0.04529941089020236, -0.0018052909261675066, -0.05010766405965323, 0.10165671316968648, -0.140249203627532, 0.15372625009878083, -0.14025339812461954, 0.1016577492387496, -0.05010762448523194, -0.001803796921187935, 0.04529809207385706, -0.07160585944481516, 0.07817969977952739, -0.06868895825880528, 0.046080189969600456, -0.021660289714691666, 0.0009404523476800973, 0.010820123761681443, -0.010468652494167311, 0.002683433499941165, 0.00783582570198312, -0.016777120124032475, 0.01692728381946862, -0.008577941154279655, -0.008083685299109796, 0.02641133779596624, -0.039054137582316725, 0.03781564074038141, -0.02000520944114761, -0.016250136494632007, 0.0592393261914236, -0.09617104291628734, 0.10445364073717746, -0.06269253214041307, -0.04590880513557642, 0.2285705674490019, -0.4442140425976917, -1.2958790887770197]"
"92","6.5","0","524288","16384","148.21863889694214","3.974586009979248","0.013394167719777417","0.013399672030428023","True","[0.09813839409938967, -0.1837968301429369, 0.14851034028625365, -0.09645907672930402, 0.036403575569182285, 0.021858730897698214, -0.06934512862474713, 0.09953413541821109, -0.10947780312310228, 0.10016496240403869, -0.07607926501406477, 0.04406560405696529, -0.011763057334077537, -0.014048946460401768, 0.028831388966385818, -0.031098942822485546, 0.022501669153484116, -0.007177913792669757, -0.009452034852992085, 0.022152974680569, -0.02724273241917704, 0.023523525384090135, -0.012542092807159878, -0.0018939761254352892, 0.014831139384004464, -0.021638214644626078, 0.019445861628516147, -0.008160095682472949, -0.009262959517628079, 0.0274235784117819, -0.03988699581498417, 0.04109133200751873, -0.028281014629922555, 0.002919934792101113, 0.028906259030005363, -0.057405993692539806, 0.07134022265013779, -0.061320013541683344, 0.0235369872748373, 0.03688558095343712, -0.10378460870275293, 0.14982355999228755, -0.13875716371969152, 0.030082109655493305, 0.2144252199681947, -0.6232230909338031, -0.5642990996444804]","[0.09813839409938967, 0.0, -0.1837968301429369, 0.0, 0.14851034028625365, 0.0, -0.09645907672930402, 0.0, 0.036403575569182285, 0.0, 0.021858730897698214, 0.0, -0.06934512862474713, 0.0, 0.09953413541821109, 0.0, -0.10947780312310228, 0.0, 0.10016496240403869, 0.0, -0.07607926501406477, 0.0, 0.04406560405696529, 0.0, -0.011763057334077537, 0.0, -0.014048946460401768, 0.0, 0.028831388966385818, 0.0, -0.031098942822485546, 0.0, 0.022501669153484116, 0.0, -0.007177913792669757, 0.0, -0.009452034852992085, 0.0, 0.022152974680569, 0.0, -0.02724273241917704, 0.0, 0.023523525384090135, 0.0, -0.012542092807159878, 0.0, -0.0018939761254352892, 0.0, 0.014831139384004464, 0.0, -0.021638214644626078, 0.0, 0.019445861628516147, 0.0, -0.008160095682472949, 0.0, -0.009262959517628079, 0.0, 0.0274235784117819, 0.0, -0.03988699581498417, 0.0, 0.04109133200751873, 0.0, -0.028281014629922555, 0.0, 0.002919934792101113, 0.0, 0.028906259030005363, 0.0, -0.057405993692539806, 0.0, 0.07134022265013779, 0.0, -0.061320013541683344, 0.0, 0.0235369872748373, 0.0, 0.03688558095343712, 0.0, -0.10378460870275293, 0.0, 0.14982355999228755, 0.0, -0.13875716371969152, 0.0, 0.030082109655493305, 0.0, 0.2144252199681947, 0.0, -0.6232230909338031, 0.0, -0.5642990996444804]","[-1.2769877693371179, -0.46563298241072304, 0.223597876052581, -0.02903655928402321, -0.08003714783969304, 0.11705941597875591, -0.10188816655592513, 0.05886377913150159, -0.010392192606003709, -0.029678356637938948, 0.05168481613047197, -0.05422934090009769, 0.04079410159148612, -0.01915576059153595, -0.004750613127739655, 0.022131219362592464, -0.03096683841987663, 0.02966466607877542, -0.02022936752184664, 0.007289333958073822, 0.0047467918021432964, -0.014132279297921548, 0.015214374283135865, -0.011986003344679598, 0.001664925406957846, 0.007346428499948562, -0.015366000200173925, 0.017826205911577134, -0.01435669945077597, 0.004957823973789304, 0.007155415710568653, -0.017313737150224353, 0.023239669240997487, -0.020329898724645995, 0.007527965361353892, 0.011977862507181865, -0.038140333784529655, 0.06061409114533972, -0.07595297078833006, 0.0790116998598664, -0.06421069851853359, 0.034287677756166965, 0.007539505621100164, -0.0562511312718092, 0.09992428313582362, -0.1326192844650502, 0.14430238694397565, -0.13261184140778196, 0.09993321593793207, -0.05625189034657589, 0.007542988794996926, 0.03428286474076938, -0.06421475585636587, 0.07901577215602347, -0.07594931029180331, 0.06062018912333929, -0.03813670354395121, 0.01198043369150361, 0.007531800928827568, -0.020330027535288786, 0.023242318569481647, -0.01731635251308621, 0.007148415482849001, 0.00495335725364124, -0.014355833362565795, 0.0178311459687412, -0.015363476116328654, 0.007357847804069778, 0.001676996456294258, -0.011973997261404258, 0.015230125925494593, -0.014112959231195184, 0.004757178277677569, 0.007284615288724595, -0.02022976513208891, 0.029661869249353507, -0.03096049026385526, 0.02213864717226504, -0.004745364438696953, -0.01914692162705638, 0.04079028244549355, -0.054220030828041936, 0.051685514901172944, -0.0296802218522918, -0.010380688235237422, 0.05886412577702508, -0.10188193716683798, 0.11705101830943772, -0.08004383522016954, -0.029031092128767064, 0.2235993731176098, -0.4656061860207987, -1.276966608724741]"
"128","7.0","0","524288","16384","243.22576212882996","4.0094687938690186","0.009959239068263237","0.009969600054922409","True","[0.08266875151467504, -0.15699947058272756, 0.1330725913903826, -0.09666511760310957, 0.05246806713241403, -0.006094764059881735, -0.03670697087916086, 0.0708563586416241, -0.09263851977579235, 0.10019838723100855, -0.09375665969591501, 0.07551550085508384, -0.049268060695807, 0.019771370819816364, 0.008020404938043464, -0.0297419177241425, 0.04229631397717414, -0.04431805952035967, 0.03634182506870303, -0.020647669786840985, 0.0008069511306270552, 0.018994668095698365, -0.03473986987048738, 0.043328883363564684, -0.04315804890090726, 0.03441751585004293, -0.01904619499885805, 0.00034441223278937284, 0.01768989766657018, -0.031179188271917044, 0.037180351972674705, -0.034329596268501544, 0.023178269316647276, -0.006134797027866887, -0.012995882156090932, 0.029800415791159867, -0.040223092637714196, 0.04151097641722324, -0.03292770934359147, 0.016058060934662007, 0.0054006663527375156, -0.026359946741686475, 0.041458158237459644, -0.046356501438676014, 0.03892698094022064, -0.020035592453162627, -0.006321632803411068, 0.03365476471495175, -0.05434958364978953, 0.06155083348981618, -0.051177462615582335, 0.023584435396425133, 0.015628002192239844, -0.056061567018931634, 0.08442508553490795, -0.08781263462598624, 0.05794458834541873, 0.004342122036985397, -0.08528418892935417, 0.15606104881387567, -0.1732227825301544, 0.0822408204884524, 0.17574139351664234, -0.6544733603969484, -0.522452009024218]","[0.08266875151467504, 0.0, -0.15699947058272756, 0.0, 0.1330725913903826, 0.0, -0.09666511760310957, 0.0, 0.05246806713241403, 0.0, -0.006094764059881735, 0.0, -0.03670697087916086, 0.0, 0.0708563586416241, 0.0, -0.09263851977579235, 0.0, 0.10019838723100855, 0.0, -0.09375665969591501, 0.0, 0.07551550085508384, 0.0, -0.049268060695807, 0.0, 0.019771370819816364, 0.0, 0.008020404938043464, 0.0, -0.0297419177241425, 0.0, 0.04229631397717414, 0.0, -0.04431805952035967, 0.0, 0.03634182506870303, 0.0, -0.020647669786840985, 0.0, 0.0008069511306270552, 0.0, 0.018994668095698365, 0.0, -0.03473986987048738, 0.0, 0.043328883363564684, 0.0, -0.04315804890090726, 0.0, 0.03441751585004293, 0.0, -0.01904619499885805, 0.0, 0.00034441223278937284, 0.0, 0.01768989766657018, 0.0, -0.031179188271917044, 0.0, 0.037180351972674705, 0.0, -0.034329596268501544, 0.0, 0.023178269316647276, 0.0, -0.006134797027866887, 0.0, -0.012995882156090932, 0.0, 0.029800415791159867, 0.0, -0.040223092637714196, 0.0, 0.04151097641722324, 0.0, -0.03292770934359147, 0.0, 0.016058060934662007, 0.0, 0.0054006663527375156, 0.0, -0.026359946741686475, 0.0, 0.041458158237459644, 0.0, -0.046356501438676014, 0.0, 0.03892698094022064, 0.0, -0.020035592453162627, 0.0, -0.006321632803411068, 0.0, 0.03365476471495175, 0.0, -0.05434958364978953, 0.0, 0.06155083348981618, 0.0, -0.051177462615582335, 0.0, 0.023584435396425133, 0.0, 0.015628002192239844, 0.0, -0.056061567018931634, 0.0, 0.08442508553490795, 0.0, -0.08781263462598624, 0.0, 0.05794458834541873, 0.0, 0.004342122036985397, 0.0, -0.08528418892935417, 0.0, 0.15606104881387567, 0.0, -0.1732227825301544, 0.0, 0.0822408204884524, 0.0, 0.17574139351664234, 0.0, -0.6544733603969484, 0.0, -0.522452009024218]","[-1.2575021850105652, -0.4856072091683129, 0.21322495545413622, -0.007861591370900489, -0.10110885920109697, 0.12893862324597033, -0.1035669369260485, 0.05168363967687344, 0.002240271893035196, -0.04457902335275942, 0.06454141855513629, -0.06301571154259085, 0.04554509585212104, -0.018290139368206445, -0.009516749618386115, 0.031540970749769436, -0.04266789415895517, 0.042493306327581165, -0.032209643952567035, 0.015697815350132153, 0.00389528476094998, -0.021021823854763595, 0.030615346404011493, -0.03334215039324104, 0.02778104638813283, -0.014550590689839403, -0.00018125530828024485, 0.015136196843153312, -0.02548183421252033, 0.029742456971042778, -0.028265684674996332, 0.01898999224106927, -0.006389684334067412, -0.006465318866024698, 0.019574738766372834, -0.02671048224113246, 0.027923509298754874, -0.022544803026745056, 0.010224888240078446, 0.0016053935732404465, -0.01838594200478981, 0.02820197879519556, -0.03602401756529435, 0.03198309561491063, -0.024913967923905746, 0.009024991093857357, 0.0063703268701968685, -0.023474204718463728, 0.03369731039878586, -0.038800143602556354, 0.03361344045761201, -0.019493348588107032, -0.003861470720648477, 0.03122182193489435, -0.05689173983817543, 0.07732173745480529, -0.08551241529277227, 0.07983979938700893, -0.058729554534533365, 0.024992206795077278, 0.016532602788135668, -0.06211779262408222, 0.10313893045060335, -0.13136868218217562, 0.1420587560608949, -0.13137659843258562, 0.10315181490206805, -0.06212945037589781, 0.016535085680417193, 0.025006862565363167, -0.05873975102321301, 0.07983233031966769, -0.08549329608218371, 0.07730094812289674, -0.056891329641081206, 0.03122887449915872, -0.003877197457740108, -0.01946243618671718, 0.03359887848715136, -0.038830698981177664, 0.033721108861380876, -0.023486512319701763, 0.006354220391361286, 0.009041643557477282, -0.02491688507195072, 0.032006823120674946, -0.035993672046153766, 0.028196778978075827, -0.01834851781451185, 0.0016443331976670238, 0.010227075391788715, -0.022516866635926863, 0.027928034681646386, -0.026714162876763016, 0.019593461165220052, -0.0064832471566673355, -0.006393816362322734, 0.019007897253293358, -0.028269752932779085, 0.02975266382477098, -0.025486350341507532, 0.015112462951912188, -0.00016773614024752023, -0.014555754182503797, 0.027751585844278445, -0.033332335632019566, 0.030625720441649105, -0.021020981720450357, 0.00389686826902746, 0.015685840498012887, -0.03220694963371245, 0.042502961007322176, -0.042683677295934475, 0.03152958016498219, -0.009512838806920724, -0.018303326429112983, 0.0455530574126056, -0.06301476795026432, 0.06451360017899888, -0.04454893533692947, 0.002250044315274406, 0.051669977314971235, -0.10353721462333554, 0.12892680989582977, -0.1010967361819551, -0.007813727636969121, 0.2132270660651217, -0.48554957482588657, -1.2574281285179132]"
