"npts","degree","parity","convergence_diff","iteration_time","coefs_json","coefs_recovered_json","constraint_violated_coef","constraint_violated_rec","max_abs_coef","max_abs_rec","diff_coef_vs_gt262144","diff_rec_vs_gt262144","sup_diff_vs_gt262144","sup_diff_rec_vs_gt262144"
"101","101","1","inf","24.56354784965515","[0.18949482067732984, -0.16855952741045116, 0.14784839649727233, -0.12750749684376755, 0.10767785932803982, -0.08849359083504814, 0.0700800410942954, -0.0525521591048052, 0.03601297445708239, -0.02055233867136413, 0.006245855266092773, 0.006845878451396471, -0.018677806020706168, 0.029220619399402858, -0.03846074701919417, 0.04640003542974975, -0.053055243848329194, 0.05845727074839643, -0.06265023257295238, 0.0656903109818425, -0.0676444851929221, 0.06858906446266176, -0.0686081405502905, 0.06779188442504064, -0.06623482183925768, 0.06403403020867936, -0.061287409371572836, 0.05809198191679164, -0.05454237986373722, 0.050729465339414526, -0.04673922057178793, 0.04265182134053294, -0.0385409877010106, 0.034473482805990364, -0.030508815890037108, 0.02669899530289943, -0.02308838124887556, 0.01971349917442375, -0.01660289938828902, 0.013776976283359393, -0.011247894186773126, 0.009019594360858894, -0.007088082023889043, 0.005442004353507676, -0.004063739241705563, 0.002931018554090192, -0.002019305526878576, 0.0013046361416481635, -0.0007612577369607932, 0.00010592817816848281, 0.002734018333595882]","[0.0, 0.18918566304309822, 0.0, -0.16771419916188912, 0.0, 0.14662280181594758, 0.0, -0.12604245782475396, 0.0, 0.10609844382639841, 0.0, -0.08690865414876997, 0.0, 0.06858201954417695, 0.0, -0.051217125335744094, 0.0, 0.034900955151580294, 0.0, -0.01970788698030409, 0.0, 0.005698862461911166, 0.0, 0.007079154602505442, 0.0, -0.0185935246766967, 0.0, 0.028825985211928442, 0.0, -0.03777252079282893, 0.0, 0.04544296605411713, 0.0, -0.05186046157472448, 0.0, 0.05706068145365008, 0.0, -0.06109095097150254, 0.0, 0.064009167933613, 0.0, -0.06588264044511447, 0.0, 0.06678675153853705, 0.0, -0.06680356523933823, 0.0, 0.06602029265047024, 0.0, -0.06452774678254684, 0.0, 0.062418722677877056, 0.0, -0.05978644970609009, 0.0, 0.05672306642792793, 0.0, -0.05331827008005254, 0.0, 0.04965808431409936, 0.0, -0.045823877318766575, 0.0, 0.04189154218100971, 0.0, -0.037930931945976916, 0.0, 0.03400541977162579, 0.0, -0.030171640679958815, 0.0, 0.02647926201232242, 0.0, -0.022970834119497872, 0.0, 0.019681584620350787, 0.0, -0.016639244557906198, 0.0, 0.01386382277427256, 0.0, -0.01136747853864456, 0.0, 0.009154469902897554, 0.0, -0.007221379450717419, 0.0, 0.005557631002034196, 0.0, -0.0041465194242476435, 0.0, 0.002966779520296568, 0.0, -0.001994915768135983, 0.0, 0.001208004918005229, 0.0, -0.000581305684746622, 0.0, -0.0001675184312975249, 0.0, 0.0031109137823520216]","True","False","0.02464272588714822","-2.6438933720673852e-05","0.04654219664500627","0.04605386790027028","0.23142330990757237","0.23327389968530127"
"128","101","1","0.0354404441301094","23.22989583015442","[0.18911050617213268, -0.1674297235213828, 0.14504659540215564, -0.12408812335583874, 0.1033597145845976, -0.08333338620891552, 0.06408327977019887, -0.04599053915610179, 0.02893647315669895, -0.013100353430432626, -0.0014582003398862925, 0.014601743890613035, -0.026387877027179416, 0.03674706853867573, -0.04568188524164837, 0.05317638312500529, -0.05930943552016767, 0.06409499231672706, -0.06759429856978734, 0.06986747805563287, -0.07102111314564748, 0.07112779629809513, -0.07028518307557957, 0.06859525201324296, -0.06617794874630815, 0.06313613944736804, -0.059574264013238294, 0.05560608507724169, -0.05134292006415926, 0.04688823954820622, -0.042322208467332756, 0.03774626332615957, -0.03324027595216433, 0.028882836602759695, -0.024704094839866134, 0.0207827194367612, -0.017150618005628934, 0.013848978748721319, -0.010844131245397879, 0.008207398465080059, -0.0059147284641576856, 0.0039773304429718956, -0.0022909610656205222, 0.0009823818505269768, 4.993507399795243e-05, -0.0007948434919668966, 0.0014931161382876676, -0.0017069632273305937, 0.0018333930580250045, -0.001839346034027707, 0.008860433989942]","[0.0, 0.18905134919918737, 0.0, -0.16726748140731598, 0.0, 0.144811769276929, 0.0, -0.12380840016466431, 0.0, 0.10305979474956899, 0.0, -0.08303485216044033, 0.0, 0.06380447669964215, 0.0, -0.04574654167942675, 0.0, 0.02873911537031317, 0.0, -0.012958314606802926, 0.0, -0.0015392592264299107, 0.0, 0.014618983488132807, 0.0, -0.026341037045009563, 0.0, 0.03663818829964614, 0.0, -0.04551499465197725, 0.0, 0.052957167906235274, 0.0, -0.05904489086875815, 0.0, 0.06379307455189648, 0.0, -0.06726358268748885, 0.0, 0.06951682773923568, 0.0, -0.07065937393345312, 0.0, 0.07076351839364872, 0.0, -0.06992637830465487, 0.0, 0.06824918833164359, 0.0, -0.06585098680307268, 0.0, 0.06283361246974317, 0.0, -0.059300399992886665, 0.0, 0.05536396957889693, 0.0, -0.05113449817092933, 0.0, 0.04671435372898085, 0.0, -0.04218266658599497, 0.0, 0.037639931645339124, 0.0, -0.033165192565983485, 0.0, 0.02883634048496089, 0.0, -0.024682962499220508, 0.0, 0.020783304157088803, 0.0, -0.0171689878669193, 0.0, 0.013881050091360578, 0.0, -0.010885789552230397, 0.0, 0.00825460555802855, 0.0, -0.005963615757368369, 0.0, 0.004024277778101361, 0.0, -0.0023326529048855963, 0.0, 0.0010158474335295222, 0.0, 2.7293801900411048e-05, 0.0, -0.0007852353061586103, 0.0, 0.0014983703213378267, 0.0, -0.0017285404366855334, 0.0, 0.0018723925261650142, 0.0, -0.0018965175226327595, 0.0, 0.008936544776258756]","True","False","0.004882675963471472","-2.667791795696317e-06","0.011128428150090958","0.011136549600961207","0.05513481269107683","0.05618234739998184"
"256","101","1","0.01151988511207","23.322824239730835","[0.1887979947695796, -0.16648107725641764, 0.14442319697783876, -0.12280007712312296, 0.10177737312645845, -0.08150980227968252, 0.062139252921146915, -0.04379325736995063, 0.02659653879389766, -0.010646540660818049, -0.003972094565640812, 0.01720008253226026, -0.02899618809699274, 0.03932338289042101, -0.04818206762029453, 0.05557817223481173, -0.06155044245973785, 0.06614788621456338, -0.06941856693188576, 0.07145009593077903, -0.07231843297593349, 0.07213633369019268, -0.07100753916608869, 0.06902632216679955, -0.06632403832836568, 0.06299665597440203, -0.05918486366081567, 0.05499240243410333, -0.05050963641991991, 0.04586340206068295, -0.04111897213048543, 0.036408914297906075, -0.03179018464844227, 0.027315076319450488, -0.02307642377894825, 0.01907383531934353, -0.015426068751914464, 0.012108733882154377, -0.009126293835134525, 0.006532397293232862, -0.004235466311346201, 0.002392870865450385, -0.0008558247395632224, -0.0003909173808820023, 0.0013028962962559976, -0.0021387704941628286, 0.0024031403820545592, -0.0026162049951816238, 0.0026974539333913124, -0.0026202420065503476, 0.010762709711759381]","[0.0, 0.1888001310559964, 0.0, -0.16649238827999768, 0.0, 0.1444525587144332, 0.0, -0.12285413789616816, 0.0, 0.1018608002460121, 0.0, -0.08162551779707557, 0.0, 0.062288654980580435, 0.0, -0.04397644526238536, 0.0, 0.02681251182071546, 0.0, -0.010893390719962138, 0.0, -0.0036970050167523436, 0.0, 0.016899956073265766, 0.0, -0.02867463719228487, 0.0, 0.03898429267673803, 0.0, -0.047829469447077555, 0.0, 0.055216131694374004, 0.0, -0.06118296034728607, 0.0, 0.06577881092355668, 0.0, -0.06905152176770346, 0.0, 0.07108841728669842, 0.0, -0.07196512147623617, 0.0, 0.0717940166458342, 0.0, -0.07067844376514248, 0.0, 0.06871226065867245, 0.0, -0.06602640243758257, 0.0, 0.06271642175297343, 0.0, -0.05892260516985788, 0.0, 0.05474831405584987, 0.0, -0.050283563806795176, 0.0, 0.045654879658615546, 0.0, -0.04092726789710875, 0.0, 0.03623308012599899, 0.0, -0.03162911245522408, 0.0, 0.027167558843454273, 0.0, -0.02294121841450348, 0.0, 0.01894973108739008, 0.0, -0.015311955074811357, 0.0, 0.012003671165753516, 0.0, -0.009029583835384923, 0.0, 0.006443651897498834, 0.0, -0.004154674330647306, 0.0, 0.0023204621131811035, 0.0, -0.0007927317253755203, 0.0, -0.00044320371916317555, 0.0, 0.0013422773776463471, 0.0, -0.002162498753763559, 0.0, 0.002407783148282769, 0.0, -0.0025976116503305426, 0.0, 0.0026507358580979677, 0.0, -0.0025397643759008173, 0.0, 0.010642221346872833]","True","False","0.0072267285240568135","-4.048136002632319e-06","0.0014985092467616312","0.00033414024907665456","0.007329435315460708","0.0011935583954806803"
"512","101","1","0.0017841377542172","23.298326015472412","[0.18881930017422005, -0.16654517879422578, 0.14453219507077214, -0.1229512797485599, 0.1019736947600192, -0.08174203503917671, 0.06240926062148035, -0.04410655991821138, 0.02694035999072706, -0.011018877608305529, -0.003577106914848158, 0.016785660421059213, -0.028563536369849134, 0.03888518567603695, -0.047742608796559394, 0.05514196194106541, -0.06112809994561123, 0.06572840740555118, -0.06901562725073171, 0.07106835194096948, -0.07196266642959884, 0.07179867566057727, -0.07068358524926861, 0.06872889096733455, -0.06604761162325547, 0.06275286442434228, -0.05895578538684408, 0.05478815572320766, -0.05032324307145843, 0.04570119296074688, -0.041004943307944235, 0.03631044669798658, -0.03170482828045668, 0.027261463800589938, -0.023040066691291265, 0.019087037693620915, -0.015437394795589929, 0.012118124783663578, -0.009174428365986021, 0.006527107842291291, -0.004319850905723254, 0.0024420481803818523, -0.0008819457259636251, -0.00035796265927339784, 0.0012945096340783227, -0.0019554286438999645, 0.002374777000210145, -0.0025875907628745863, 0.0026238044520330646, -0.0025150751206535534, 0.010549261618113618]","[0.0, 0.18881588334905988, 0.0, -0.16653618027491895, 0.0, 0.14452001809527767, 0.0, -0.12293800494083615, 0.0, 0.10196108514110123, 0.0, -0.08173154394607823, 0.0, 0.06240204263881928, 0.0, -0.04410348489467382, 0.0, 0.026942030041309423, 0.0, -0.01102564688214291, 0.0, -0.0035651099326126784, 0.0, 0.016768508450541515, 0.0, -0.028541477216896132, 0.0, 0.03885861498581168, 0.0, -0.04771204210904121, 0.0, 0.05510800668596651, 0.0, -0.061091427927467745, 0.0, 0.06568972834696937, 0.0, -0.06897566385526996, 0.0, 0.07102781699282976, 0.0, -0.07192224232927208, 0.0, 0.0717589966425598, 0.0, -0.07064522256429978, 0.0, 0.06869234122954664, 0.0, -0.06601328836459613, 0.0, 0.06272109279146493, 0.0, -0.05892679988406692, 0.0, 0.05476210086404443, 0.0, -0.05030017666117628, 0.0, 0.04568109167604076, 0.0, -0.040987710353363765, 0.0, 0.03629592108676401, 0.0, -0.03169279525352821, 0.0, 0.027251666122362097, 0.0, -0.02303221647896108, 0.0, 0.01908082836806605, 0.0, -0.015432512792381869, 0.0, 0.012114260741280556, 0.0, -0.009171287648916225, 0.0, 0.006524420002858619, 0.0, -0.0043173780783767055, 0.0, 0.002439592612824788, 0.0, -0.0008793559240226035, 0.0, -0.0003607872553004314, 0.0, 0.0012976149410697526, 0.0, -0.001958803177066702, 0.0, 0.0023783500817117073, 0.0, -0.002591231615419555, 0.0, 0.002627322027306906, 0.0, -0.0025182184994520683, 0.0, 0.01055175135099111]","True","False","0.0006276408849483772","-6.01438412406452e-08","0.000848039857016211","0.0008723602479751945","0.004125168096200553","0.004365744180453268"
"1024","101","1","0.0008831240256339","26.122208833694454","[0.1888069642571964, -0.1665063454823161, 0.14447272907805056, -0.12286903398429021, 0.10186728148328811, -0.0816199138717308, 0.062269492512512285, -0.04394870168957648, 0.02677557833388156, -0.010848022520377412, -0.0037531569144809104, 0.0169639642760519, -0.02873874985315162, 0.03905180105106216, -0.047897510829588534, 0.05528909630386971, -0.06125610084292426, 0.06584348768459995, -0.06911353025461259, 0.07114243453098663, -0.07201705738335477, 0.0718335382207626, -0.07069948265666533, 0.06872201337667504, -0.06601921403557741, 0.06269966475383214, -0.05889616715343284, 0.05469041679896296, -0.05022458401213162, 0.04558836493465915, -0.04087156503149828, 0.03616576578213063, -0.03155570870575676, 0.027109911919235057, -0.022884909882322106, 0.018927605405523285, -0.015276508263330586, 0.011960993323937203, -0.009000173795218858, 0.0064020985673898, -0.004165974177829755, 0.0022843289831575328, -0.0007427225697444422, -0.0004783928838666156, 0.0014022768016229514, -0.0020553457393336833, 0.0024682406042044395, -0.002670648111935924, 0.0026964053742025203, -0.002575726822405941, 0.010713677804280966]","[0.0, 0.18880696425719623, 0.0, -0.1665063454823152, 0.0, 0.1444727290780491, 0.0, -0.12286903398428825, 0.0, 0.1018672814832859, 0.0, -0.08161991387172839, 0.0, 0.06226949251250974, 0.0, -0.04394870168957401, 0.0, 0.02677557833387939, 0.0, -0.010848022520375625, 0.0, -0.0037531569144820713, 0.0, 0.016963964276052252, 0.0, -0.028738749853151068, 0.0, 0.0390518010510605, 0.0, -0.04789751082958557, 0.0, 0.05528909630386537, 0.0, -0.0612561008429184, 0.0, 0.0658434876845925, 0.0, -0.06911353025460343, 0.0, 0.07114243453097577, 0.0, -0.07201705738334212, 0.0, 0.07183353822074817, 0.0, -0.07069948265664913, 0.0, 0.06872201337665718, 0.0, -0.06601921403555804, 0.0, 0.06269966475381136, 0.0, -0.05889616715341071, 0.0, 0.054690416798939726, 0.0, -0.050224584012107526, 0.0, 0.04558836493463439, 0.0, -0.04087156503147303, 0.0, 0.03616576578210513, 0.0, -0.031555708705731225, 0.0, 0.027109911919209705, 0.0, -0.02288490988229709, 0.0, 0.018927605405498864, 0.0, -0.015276508263306827, 0.0, 0.011960993323914204, 0.0, -0.009000173795196697, 0.0, 0.006402098567368489, 0.0, -0.004165974177809204, 0.0, 0.002284328983137654, 0.0, -0.0007427225697250332, 0.0, -0.0004783928838857011, 0.0, 0.0014022768016420297, 0.0, -0.0020553457393530945, 0.0, 0.0024682406042245745, 0.0, -0.002670648111957213, 0.0, 0.002696405374225496, 0.0, -0.0025757268224310933, 0.0, 0.010713677804308847]","False","False","-9.694683035077478e-05","-9.694683034766616e-05","3.887035024326198e-05","3.8870350297828375e-05","0.00018672445954302785","0.0001867244598502127"
"2048","101","1","0.0001511908399565","25.864353895187374","[0.18880727413054965, -0.16651562193693467, 0.14448160557815914, -0.12288488832328084, 0.10188642732402077, -0.08164040226349509, 0.062292574504545235, -0.04397525359458925, 0.02680335246567287, -0.010875511573870102, -0.0037257754839222683, 0.016935854388215908, -0.028710236237084737, 0.039024338020898, -0.04787224439753968, 0.05526575964906457, -0.061234319163100986, 0.06582429426085883, -0.0690976528847564, 0.07113002083617909, -0.07200865362415185, 0.07183029509713669, -0.07069933668168718, 0.0687261097548779, -0.0660250115920345, 0.06271218075742242, -0.05890311850690002, 0.05471069600934671, -0.05024364846750864, 0.04560528278186418, -0.04089206485589788, 0.036192214318039186, -0.031584639982764943, 0.027138532535181892, -0.02291304806602177, 0.01895684106544469, -0.015307662008041725, 0.011992953264921878, -0.009030749381363445, 0.006430253163693397, -0.004191810859008205, 0.002307953443217646, -0.0007647761511693773, -0.00045689334509933734, 0.0013814342666113842, -0.0020365676714049733, 0.002451758471675549, -0.002657562971461588, 0.0026870007852415716, -0.0025685047289764704, 0.010697310371191699]","[0.0, 0.18880735232312626, 0.0, -0.16651586525560008, 0.0, 0.14448205223454505, 0.0, -0.12288556443396818, 0.0, 0.10188734856405797, 0.0, -0.08164157539000633, 0.0, 0.06229399874986533, 0.0, -0.0439769219304246, 0.0, 0.026805252742151293, 0.0, -0.010877627539128697, 0.0, -0.003723463276517844, 0.0, 0.016933367777024602, 0.0, -0.028707598744274636, 0.0, 0.03902157423048752, 0.0, -0.04786937941042105, 0.0, 0.05526281860631371, 0.0, -0.061231326829252364, 0.0, 0.06582127465972654, 0.0, -0.06909462898169684, 0.0, 0.0711270142620492, 0.0, -0.07200568443737773, 0.0, 0.07182738158147708, 0.0, -0.07069649517856359, 0.0, 0.06872335453044415, 0.0, -0.06602235474024612, 0.0, 0.06270963214117695, 0.0, -0.05890068573990033, 0.0, 0.05470838448174925, 0.0, -0.05024146141861897, 0.0, 0.0456032214230433, 0.0, -0.0408901285463754, 0.0, 0.03619040079558117, 0.0, -0.03158294565026307, 0.0, 0.02713695280325981, 0.0, -0.022911577750623822, 0.0, 0.01895547483800664, 0.0, -0.0153063948943221, 0.0, 0.011991781187014171, 0.0, -0.00902966973603139, 0.0, 0.006429265429057311, 0.0, -0.0041909172206831095, 0.0, 0.002307159429942032, 0.0, -0.0007640912688993988, 0.0, -0.0004574549922619716, 0.0, 0.0013818533800252922, 0.0, -0.0020368191969114624, 0.0, 0.0024518110847748724, 0.0, -0.002657378619420523, 0.0, 0.00268653429562538, 0.0, -0.002567703491417293, 0.0, 0.010696114983773689]","True","False","6.526668616690934e-05","-9.776616072265654e-08","0.00011589899171249642","0.00011753683908616103","0.0005526020139187127","0.0005739451064207465"
"4096","101","1","0.0001080623411063","24.89669179916382","[0.18880737673399423, -0.16651020122765162, 0.14447596633488743, -0.12287569099572651, 0.10187394153628129, -0.08162632204191458, 0.062277182342726695, -0.04395761810277604, 0.026783764016862017, -0.010855325341563148, -0.00374564173082477, 0.01695559860628295, -0.028730018873457944, 0.03904358746206084, -0.04789007312068274, 0.05528176959173164, -0.061248584873534524, 0.06583694860138486, -0.06910851791184332, 0.07113860021923256, -0.07201435972522945, 0.0718328576164636, -0.0706989209617881, 0.06872303031407948, -0.06601940006245584, 0.0627040133417003, -0.05889240596868078, 0.05469758055417211, -0.050228410564625264, 0.04558825059062764, -0.04087349757443897, 0.036172367183908635, -0.03156396860231626, 0.027117473555533445, -0.022891645815011723, 0.018934971588758502, -0.01528572821288206, 0.01197167857927017, -0.009010433335233124, 0.006410771245531654, -0.004173407872063665, 0.002290961951415402, -0.0007490248580634493, -0.0004717362607759291, 0.0013948777511972135, -0.00204826951901025, 0.002462088745627398, -0.0026667350078891376, 0.0026937433971533906, -0.0025750338895207704, 0.010712877944349133]","[0.0, 0.1888073767339951, 0.0, -0.16651020122765234, 0.0, 0.14447596633488882, 0.0, -0.12287569099572931, 0.0, 0.10187394153628665, 0.0, -0.08162632204192333, 0.0, 0.062277182342739906, 0.0, -0.043957618102794846, 0.0, 0.026783764016887528, 0.0, -0.010855325341596521, 0.0, -0.003745641730782418, 0.0, 0.016955598606230547, 0.0, -0.028730018873394547, 0.0, 0.039043587461985566, 0.0, -0.04789007312059467, 0.0, 0.055281769591630205, 0.0, -0.061248584873419235, 0.0, 0.06583694860125536, 0.0, -0.0691085179116995, 0.0, 0.07113860021907453, 0.0, -0.07201435972505747, 0.0, 0.07183285761627828, 0.0, -0.07069892096159017, 0.0, 0.06872303031386992, 0.0, -0.06601940006223583, 0.0, 0.06270401334147117, 0.0, -0.05889240596844415, 0.0, 0.054697580553929495, 0.0, -0.050228410564378365, 0.0, 0.04558825059037829, 0.0, -0.04087349757418894, 0.0, 0.03617236718365967, 0.0, -0.03156396860207, 0.0, 0.02711747355529147, 0.0, -0.022891645814775388, 0.0, 0.01893497158852897, 0.0, -0.015285728212660268, 0.0, 0.011971678579056712, 0.0, -0.009010433335028357, 0.0, 0.0064107712453355115, 0.0, -0.004173407871875817, 0.0, 0.0022909619512350905, 0.0, -0.0007490248578896774, 0.0, -0.0004717362609445222, 0.0, 0.001394877751362284, 0.0, -0.002048269519173726, 0.0, 0.00246208874579131, 0.0, -0.002666735008055701, 0.0, 0.002693743397324873, 0.0, -0.0025750338896994617, 0.0, 0.010712877944537206]","False","False","-7.213264844618816e-05","-7.213265415784154e-05","8.643486468284331e-06","8.643485462052195e-06","3.6060117891145715e-05","3.606011132295528e-05"
"8192","101","1","9.011553457897709e-06","26.342387914657593","[0.18880724543915975, -0.1665098446598391, 0.1444754754041975, -0.12287514498121727, 0.10187334257159998, -0.08162560548114212, 0.062276288842866054, -0.04395654642919299, 0.02678257550168855, -0.010854117943560723, -0.003746777692286974, 0.01695662555135239, -0.02873097029182654, 0.03904452434324792, -0.04789098690963659, 0.05528254957547055, -0.061249132541803, 0.06583728447997814, -0.06910871724756008, 0.07113867735992753, -0.07201426034935972, 0.07183250543885274, -0.07069827821888963, 0.06872216966840296, -0.06601844080006034, 0.06270293710515862, -0.05889107240175334, 0.05469594022615828, -0.05022654248064199, 0.04558624817338745, -0.04087146254268095, 0.03617035537968588, -0.03156186808606537, 0.02711520457778137, -0.022889419374261404, 0.018932969634607576, -0.015283763861151066, 0.011969631062524104, -0.009008596474852863, 0.0064092903435721, -0.004171964402916657, 0.0022894299430182854, -0.0007477001523021714, -0.0004728292535562741, 0.0013960395304297107, -0.002049397150821204, 0.0024628605825811603, -0.0026674169320051533, 0.002694514285385114, -0.002575293659755912, 0.01071406732166648]","[0.0, 0.1888072454391595, 0.0, -0.1665098446598388, 0.0, 0.14447547540419725, 0.0, -0.1228751449812171, 0.0, 0.1018733425715999, 0.0, -0.08162560548114232, 0.0, 0.062276288842866664, 0.0, -0.043956546429194124, 0.0, 0.026782575501690283, 0.0, -0.010854117943563165, 0.0, -0.003746777692283631, 0.0, 0.016956625551348047, 0.0, -0.02873097029182104, 0.0, 0.03904452434324122, 0.0, -0.047890986909628515, 0.0, 0.05528254957546108, 0.0, -0.06124913254179208, 0.0, 0.06583728447996573, 0.0, -0.06910871724754622, 0.0, 0.07113867735991208, 0.0, -0.07201426034934269, 0.0, 0.07183250543883428, 0.0, -0.07069827821886979, 0.0, 0.06872216966838178, 0.0, -0.06601844080003796, 0.0, 0.0627029371051353, 0.0, -0.058891072401729104, 0.0, 0.05469594022613336, 0.0, -0.05022654248061652, 0.0, 0.045586248173361696, 0.0, -0.04087146254265504, 0.0, 0.036170355379660034, 0.0, -0.03156186808603973, 0.0, 0.027115204577756118, 0.0, -0.022889419374236757, 0.0, 0.01893296963458358, 0.0, -0.015283763861127817, 0.0, 0.011969631062501748, 0.0, -0.009008596474831428, 0.0, 0.006409290343551545, 0.0, -0.004171964402896957, 0.0, 0.0022894299429993413, 0.0, -0.0007477001522838629, 0.0, -0.0004728292535740828, 0.0, 0.0013960395304472052, 0.0, -0.0020493971508385965, 0.0, 0.0024628605825987287, 0.0, -0.0026674169320231402, 0.0, 0.0026945142854038146, 0.0, -0.0025752936597755937, 0.0, 0.010714067321687499]","False","False","-9.736428461604163e-05","-9.73642851967993e-05","1.0833328802793516e-06","1.0833328604992938e-06","4.767517800374765e-06","4.767517944537225e-06"
"16384","101","1","2.174221830687409e-06","27.145997047424316","[0.18880726755934304, -0.16650992796963757, 0.14447564052509945, -0.12287538521341743, 0.10187364000260057, -0.0816259466022541, 0.062276667969658014, -0.04395697900026511, 0.02678307919312481, -0.010854663440522648, -0.003746251215230831, 0.016956139054496586, -0.028730492023616796, 0.039044023713393244, -0.047890473390681934, 0.05528206422035269, -0.06124869946508435, 0.06583687915515553, -0.06910831483831278, 0.0711383023841573, -0.0720139418376852, 0.07183223705022612, -0.07069805394932452, 0.06872199414970144, -0.06601830952892725, 0.06270285467508506, -0.05889104234542347, 0.05469594305778411, -0.05022659303577269, 0.045586390435419955, -0.040871657332186694, 0.036170533176659685, -0.031562072588154085, 0.027115485341465684, -0.02288970508779558, 0.01893322582855281, -0.015284055035330937, 0.011969939291656394, -0.009008852928678179, 0.0064095410987876356, -0.004172250722217942, 0.002289687781558078, -0.0007479324782815582, -0.0004725601449678543, 0.0013957942838999096, -0.0020492302454529657, 0.0024626920969218554, -0.0026672731096676018, 0.002694428849693411, -0.00257511666973188, 0.01071411440485987]","[0.0, 0.18880726755934274, 0.0, -0.16650992796963737, 0.0, 0.1444756405250992, 0.0, -0.1228753852134174, 0.0, 0.1018736400026006, 0.0, -0.08162594660225445, 0.0, 0.06227666796965872, 0.0, -0.04395697900026618, 0.0, 0.02678307919312647, 0.0, -0.010854663440524841, 0.0, -0.003746251215227963, 0.0, 0.016956139054492923, 0.0, -0.028730492023612195, 0.0, 0.039044023713387686, 0.0, -0.04789047339067533, 0.0, 0.05528206422034495, 0.0, -0.06124869946507541, 0.0, 0.0658368791551454, 0.0, -0.06910831483830139, 0.0, 0.07113830238414476, 0.0, -0.07201394183767144, 0.0, 0.07183223705021122, 0.0, -0.0706980539493085, 0.0, 0.0687219941496844, 0.0, -0.06601830952890927, 0.0, 0.06270285467506631, 0.0, -0.05889104234540402, 0.0, 0.054695943057764054, 0.0, -0.05022659303575222, 0.0, 0.04558639043539926, 0.0, -0.040871657332165925, 0.0, 0.03617053317663893, 0.0, -0.0315620725881335, 0.0, 0.02711548534144543, 0.0, -0.022889705087775783, 0.0, 0.0189332258285336, 0.0, -0.01528405503531232, 0.0, 0.011969939291638488, 0.0, -0.009008852928660986, 0.0, 0.0064095410987711505, 0.0, -0.00417225072220213, 0.0, 0.0022896877815429028, 0.0, -0.0007479324782669115, 0.0, -0.00047256014498209557, 0.0, 0.0013957942839138869, 0.0, -0.0020492302454668478, 0.0, 0.002462692096935829, 0.0, -0.0026672731096818855, 0.0, 0.0026944288497082526, 0.0, -0.002575116669747468, 0.0, 0.01071411440487641]","False","False","-9.94567131814561e-05","-9.945671318034588e-05","1.2176026484134883e-06","1.2176026124648362e-06","6.034694152605435e-06","6.03469397579548e-06"
"32768","101","1","1.257475957038686e-06","32.96793007850647","[0.18880724966067, -0.1665098752865595, 0.14447555436897289, -0.12287526392264535, 0.10187347940077357, -0.08162574907438408, 0.062276448038951555, -0.04395674600566141, 0.026782824808103442, -0.010854385694966814, -0.0037465350269104522, 0.016956420677444756, -0.02873078024957823, 0.039044315910503564, -0.04789075186126897, 0.055282320395746334, -0.06124894052235042, 0.06583711028048346, -0.06910852347924845, 0.07113847319344338, -0.07201408112924737, 0.07183235355613289, -0.0706981358959567, 0.06872203722545639, -0.06601832413347905, 0.06270283403749184, -0.058890982340726976, 0.054695866648505696, -0.05022650518305954, 0.04558627102168553, -0.04087151230024763, 0.03617037858678555, -0.03156190115867257, 0.027115299279281264, -0.022889518718464494, 0.018933033758487792, -0.015283856541745815, 0.011969748388430786, -0.009008663555495858, 0.006409347077968842, -0.004172070415438474, 0.0022895256191467622, -0.0007477787895472534, -0.00047269849430986314, 0.001395920662458854, -0.002049352845643192, 0.002462788141929575, -0.002667355533305145, 0.0026945093647979704, -0.002575158034002219, 0.01071428955164823]","[0.0, 0.1888072496606698, 0.0, -0.16650987528655925, 0.0, 0.14447555436897272, 0.0, -0.1228752639226452, 0.0, 0.10187347940077357, 0.0, -0.08162574907438434, 0.0, 0.062276448038952076, 0.0, -0.043956746005662364, 0.0, 0.026782824808104944, 0.0, -0.010854385694968896, 0.0, -0.0037465350269075635, 0.0, 0.016956420677441006, 0.0, -0.02873078024957354, 0.0, 0.039044315910497854, 0.0, -0.047890751861262154, 0.0, 0.055282320395738334, 0.0, -0.061248940522341255, 0.0, 0.06583711028047305, 0.0, -0.06910852347923674, 0.0, 0.07113847319343047, 0.0, -0.07201408112923317, 0.0, 0.07183235355611747, 0.0, -0.07069813589594018, 0.0, 0.06872203722543868, 0.0, -0.0660183241334604, 0.0, 0.06270283403747236, 0.0, -0.05889098234070682, 0.0, 0.05469586664848493, 0.0, -0.050226505183038284, 0.0, 0.045586271021664064, 0.0, -0.04087151230022605, 0.0, 0.036170378586764015, 0.0, -0.031561901158651255, 0.0, 0.027115299279260253, 0.0, -0.022889518718443913, 0.0, 0.01893303375846779, 0.0, -0.01528385654172644, 0.0, 0.011969748388412197, 0.0, -0.009008663555477981, 0.0, 0.006409347077951728, 0.0, -0.0041720704154220405, 0.0, 0.0022895256191309797, 0.0, -0.0007477787895320042, 0.0, -0.0004726984943246592, 0.0, 0.0013959206624734226, 0.0, -0.002049352845657657, 0.0, 0.002462788141944146, 0.0, -0.002667355533320046, 0.0, 0.0026945093648134476, 0.0, -0.0025751580340185203, 0.0, 0.01071428955166559]","False","False","-9.953249542871134e-05","-9.953249591354574e-05","9.769730955927213e-08","9.769723808624552e-08","4.5695899619779823e-07","4.569585491109862e-07"
